SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
formation.alim.national.agri_sial-si2a-autoform;sial-si2a-autoform;2016;Décembre;01 Dec 2016 - 10:05;29 Dec 2016 - 06:29;16;51;3,19;82189;1611,55;83595;1639,12;82,15;1649,41
formation.alim.national.agri_sial-si2a-stagiaire;sial-si2a-stagiaire;2016;Décembre;01 Dec 2016 - 11:55;28 Dec 2016 - 11:13;18;41;2,28;21416;522,34;21659;528,27;25,29;631,56
formation.alim.national.agri_sial-usagers-autoform;sial-usagers-autoform;2016;Décembre;01 Dec 2016 - 09:29;27 Dec 2016 - 16:51;32;77;2,41;28107;365,03;30890;401,17;50,03;665,40
formation.alim.national.agri_sial-usagers-stagiaire;sial-usagers-stagiaire;2016;Décembre;NA;28 Dec 2016 - 11:05;19;24;1,26;7902;329,25;9185;382,71;24,47;1044,17
forums.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 07:59;31 Dec 2016 - 12:00;114;236;2,07;2300;9,75;3956;16,76;34,53;149,84
forums.agricoll.national.agri;;2016;Décembre;01 Dec 2016 - 08:00;30 Dec 2016 - 10:26;101;145;1,44;874;6,03;1462;10,08;36,33;256,55
ftp.agriculture.ader.gouv.fr;;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
ftp.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 07:38;31 Dec 2016 - 22:42;76;126;1,66;172;1,37;200;1,59;1,38;11,24
ftp.national.agri;;2016;Décembre;01 Dec 2016 - 15:40;29 Dec 2016 - 16:37;45;63;1,40;483;7,67;128913;2046,24;149821,76;2435198,19
ged.agriculture;;2016;Décembre;01 Dec 2016 - 08:18;30 Dec 2016 - 16:47;155;551;3,55;17537;31,83;58429;106,04;2966,99;5513,97
ged.agriculture.ader.gouv.fr;;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
ged.agriculture.ader.gouv.fr_gednet;gednet;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
ged.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 11:22;30 Dec 2016 - 10:25;80;160;2,00;9918;61,99;24612;153,82;3279,20;20986,88
ged.agriculture.gouv.fr_gednet;gednet;2016;Décembre;01 Dec 2016 - 11:22;30 Dec 2016 - 10:25;80;160;2,00;9918;61,99;24612;153,82;3279,20;20986,88
ged.agriculture_gedsi;gedsi;2016;Décembre;01 Dec 2016 - 08:18;30 Dec 2016 - 16:47;155;551;3,55;17537;31,83;58429;106,04;2966,99;5513,97
ged.national.agri;;2016;Décembre;01 Dec 2016 - 01:02;31 Dec 2016 - 20:02;1160;6993;6,03;259865;37,16;831016;118,84;16274,81;2383,16
ged.national.agri_gedcourrier;gedcourrier;2016;Décembre;01 Dec 2016 - 04:35;30 Dec 2016 - 14:27;97;490;5,05;18871;38,51;55594;113,46;317,57;663,66
ged.national.agri_gednet;gednet;2016;Décembre;01 Dec 2016 - 10:46;28 Dec 2016 - 11:20;25;79;3,16;3807;48,19;10353;131,05;856,38;11100,43
ged.national.agri_gedsi;gedsi;2016;Décembre;01 Dec 2016 - 01:02;31 Dec 2016 - 20:02;998;5648;5,66;236236;41,83;764118;135,29;15100,86;2737,83
ged1.drdaf21-bourgogne.agri;;2016;Décembre;01 Dec 2016 - 09:33;22 Dec 2016 - 15:45;2;16;8,00;447;27,94;1794;112,12;16,97;1086,00
geo.national.agri;;2016;Décembre;01 Dec 2016 - 08:11;30 Dec 2016 - 18:12;70;389;5,56;356478;916,40;357180;918,20;759,52;1999,37
geo.national.agri_geo-ide-base-doc;geo-ide-base-doc;2016;Décembre;09 Dec 2016 - 10:34;22 Dec 2016 - 14:43;3;6;2,00;153;25,50;745;124,17;12,50;2134,00
gestion.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:07;30 Dec 2016 - 16:19;76;672;8,84;26668;39,68;43586;64,86;878,42;1338,54
gestion.agriculture.gouv.fr_darwin;darwin;2016;Décembre;01 Dec 2016 - 00:07;30 Dec 2016 - 12:03;34;73;2,15;6519;89,30;17332;237,42;299,08;4195,36
gestion.agriculture.gouv.fr_decouverte-mobile;decouverte-mobile;2016;Décembre;01 Dec 2016 - 14:47;28 Dec 2016 - 10:17;16;16;1,00;1456;91,00;1571;98,19;6,39;408,94
gestion.national.agri;;2016;Décembre;01 Dec 2016 - 07:49;30 Dec 2016 - 18:56;400;3379;8,45;273487;80,94;618753;183,12;12868,17;3899,68
gestion.national.agri_decouverte;decouverte;2016;Décembre;01 Dec 2016 - 07:59;30 Dec 2016 - 16:13;206;2374;11,52;177579;74,80;409951;172,68;10214,48;4405,91
gestion.national.agri_escale;escale;2016;Décembre;01 Dec 2016 - 07:49;30 Dec 2016 - 16:20;45;177;3,93;6021;34,02;27443;155,05;139,93;809,53
gestion.national.agri_themis;themis;2016;Décembre;01 Dec 2016 - 08:09;30 Dec 2016 - 15:54;12;91;7,58;11986;131,71;16857;185,24;243,70;2742,32
gestion.national.agri_themis-stats;themis-stats;2016;Décembre;09 Dec 2016 - 13:03;30 Dec 2016 - 15:03;3;6;2,00;177;29,50;616;102,67;3,06;521,33
identification.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:59;25641;156022;6,08;1553387;9,96;4115273;26,38;19989,07;131,19
imbosh.agricoll.agriculture.gouv.fr;;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
info.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:55;37538;71129;1,89;345584;4,86;990065;13,92;118960,44;1712,60
info.agriculture.gouv.fr_gedei;gedei;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:55;37532;71109;1,89;345465;4,86;989831;13,92;118959,66;1713,07
info.national.agri;;2016;Décembre;01 Dec 2016 - 05:22;31 Dec 2016 - 19:47;2289;7620;3,33;122833;16,12;325675;42,74;21772,88;2925,91
info.national.agri_gedei;gedei;2016;Décembre;01 Dec 2016 - 05:22;31 Dec 2016 - 19:47;2289;7620;3,33;122833;16,12;325675;42,74;21772,88;2925,91
listes.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 08:27;31 Dec 2016 - 19:21;174;262;1,51;2206;8,42;3329;12,71;26,76;104,59
listes.agricoll.national.agri;;2016;Décembre;01 Dec 2016 - 05:46;30 Dec 2016 - 15:11;205;316;1,54;3349;10,60;4747;15,02;243,09;787,72
mesdemarches.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:59;49327;66478;1,35;197617;2,97;1787260;26,88;13449,75;207,17
mire.national.agri;;2016;Décembre;01 Dec 2016 - 14:31;29 Dec 2016 - 14:28;8;13;1,62;55;4,23;108;8,31;55,40;4364,00
mire.rmap.auzeville.agri;;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
obm.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 22:23;1199;2353;1,96;35447;15,06;163298;69,40;401,98;174,94
obm.agricoll.national.agri;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 22:16;3508;19657;5,60;436956;22,23;2611189;132,84;16744,06;872,25
opush.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:59;30895;88332;2,86;3083174;34,90;3083174;34,90;109606,51;1270,63
partage.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 01:42;30 Dec 2016 - 16:49;794;1348;1,70;13601;10,09;58522;43,41;23466,20;17825,95
partage.agricoll.national.agri;;2016;Décembre;01 Dec 2016 - 07:44;31 Dec 2016 - 11:55;1307;2484;1,90;40032;16,12;126324;50,86;25098,53;10346,58
peche.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 05:11;31 Dec 2016 - 15:08;138;689;4,99;187581;272,25;385640;559,71;12055,11;17916,45
