Localisation;Code  postal;Ville ;Superficie
Quai Charles-Pasqua coulée verte;92300;Levallois;10 000 m²
Rues Collange et Baudin;92300;Levallois;1 200 m²
Boulevard Bineau;92300;Levallois;1 000 m²
Rucher de l’Île de la Jatte;92300;Levallois;300 m²
Allée Youri Gagarine, rue de Lorraine et rue Jules-Guesde;92300;Levallois;2 650 m²
Promenade basse de l’Île de la Jatte;92300;Levallois;340 m²
Îlot Pablo-Picasso;92300;Levallois;500 m²
