FID,sous_type,iden,shape
odt_det_pdipr.488,Boucle locale,318,"MULTILINESTRING ((-0.3396924549999767 44.81109320300004, -0.3400493319999782 44.81141753300005, -0.3404875789999551 44.81185688000005, -0.3408797679999793 44.812126352000064, -0.3413111379999805 44.81242187200007, -0.3416179509999324 44.812756411000066, -0.3417344789999674 44.81307756700005, -0.3418047989999309 44.813489841000035, -0.3417792649999569 44.814804399000025, -0.3421974599999658 44.81535222300005, -0.3427976409999474 44.816003624000075, -0.3434877999999344 44.81615785900004, -0.3435663249999266 44.81674092700007, -0.3435056309999709 44.817057386000045, -0.3430290489999379 44.81819390700008, -0.3435840549999512 44.81869340900005, -0.3441234239999744 44.81913029100008, -0.3446188769999594 44.81944224200004, -0.3449591479999299 44.81915498800004, -0.3454777089999652 44.819421377000026, -0.3457929029999605 44.81966570600008, -0.3458236459999284 44.82004294300003, -0.3465821909999249 44.820303495000076, -0.3471578809999301 44.82044249200004, -0.3476020919999314 44.82047668900003, -0.3479004659999418 44.820370437000065, -0.347910188999947 44.82004621400006, -0.3478527619999454 44.81990361600003, -0.3478587129999369 44.81923749900005, -0.3478907869999262 44.818588747000035, -0.3480043599999476 44.81779401800003, -0.3480994649999616 44.81740472000007, -0.3481884149999246 44.817150568000045, -0.3483143879999488 44.816877515000044, -0.3485270359999504 44.81656635600007))"
odt_det_pdipr.489,Boucle locale,319,"MULTILINESTRING ((-0.3283172609999383 44.756778058000066, -0.3280572569999549 44.75715331300006, -0.3276206259999412 44.75753283600005, -0.3262542439999265 44.758015810000074, -0.32492141299997 44.75840796400007, -0.3237566469999251 44.758616060000065, -0.3228711409999505 44.75885340600007, -0.3221387299999492 44.75912305000003, -0.3214625659999797 44.75924734400007, -0.3218463759999395 44.75961606000004, -0.3221018889999527 44.75994287300006, -0.3222060059999308 44.76027333600007, -0.3223552339999287 44.76075570000006, -0.3224009659999751 44.76118656300008, -0.321949085999961 44.76151243500004, -0.3214328349999391 44.76181285900003, -0.3207782169999405 44.76212561300008, -0.320596213999977 44.76228298800004, -0.3205792749999432 44.76272436100004, -0.3206912569999645 44.76348660300005, -0.3210149419999766 44.76445072700005, -0.3210779799999273 44.76498016700003, -0.3210617089999346 44.76516954400006, -0.3210024619999672 44.76525196600005, -0.3208801249999738 44.765335909000044, -0.320793933999937 44.76538298200006, -0.320493666999937 44.76544421400007, -0.3203696229999764 44.76549219900005, -0.3202830039999753 44.76553028300003, -0.320275080999977 44.765629466000064, -0.3202416789999347 44.76599024400008, -0.3201586579999684 44.76637021500005, -0.3200653949999719 44.76653444900006, -0.3198803899999802 44.76662889900007, -0.3192255279999472 44.76667167100004, -0.3187902909999707 44.76681714100005, -0.3185843119999276 44.76700208800003, -0.3183650359999319 44.76743933400007, -0.3176577299999508 44.76770834100006, -0.3173157899999524 44.76793823500003, -0.3171378989999312 44.76814441400006, -0.3170828139999458 44.768355824000025, -0.316219326999942 44.76872310200008, -0.3139876699999604 44.768903529000056))"
odt_det_pdipr.490,Boucle locale,320,"MULTILINESTRING ((-0.2954241699999329 44.77093201400004, -0.2952892279999446 44.77128620500008, -0.2952848349999613 44.772267226000054, -0.2955756379999457 44.772809239000026, -0.2958381129999452 44.77274897900003, -0.2962768379999261 44.772675511000045, -0.296637306999969 44.77254991500007, -0.2970087009999247 44.772388059000036, -0.2974780869999449 44.772160867000025, -0.2977746059999618 44.772018796000054, -0.2983331679999424 44.77180746800008, -0.2986957429999393 44.771726811000065))"
odt_det_pdipr.491,Boucle locale,322,"MULTILINESTRING ((-0.3223332449999248 44.802567331000034, -0.3219769539999788 44.80225193600006, -0.3218417189999627 44.80206620600006, -0.3217931589999807 44.80184238900006, -0.3218603689999782 44.80166078000008, -0.3221484359999636 44.801338859000055, -0.3224050329999386 44.80115268700007, -0.3228324049999287 44.80083640600003, -0.3233282609999719 44.800365482000075, -0.3236946319999561 44.80009566500007, -0.3241127849999543 44.79985159600005, -0.3245491199999719 44.79972408000003, -0.3249875929999462 44.799641508000036, -0.3253877589999661 44.79955086000007, -0.3257218029999649 44.79939880900008, -0.3259888639999531 44.79916737900004, -0.3262512169999354 44.79883706700008, -0.3263194789999488 44.798412444000064, -0.3273496019999698 44.797748616000035, -0.3281685019999259 44.79716187500003, -0.3284370529999592 44.79722738500004, -0.3287051759999713 44.79728390400004, -0.3291605309999568 44.79729090200004, -0.3292850679999333 44.797251895000045, -0.3295337109999537 44.79716489200007, -0.3298362809999276 44.797148580000055, -0.3300365659999329 44.79710774200004, -0.3302103159999774 44.79704054700005, -0.3303444739999577 44.79693831000003, -0.3306564739999658 44.797119757000075, -0.3312348859999474 44.797321759000056, -0.332313213999953 44.79793464200003, -0.3331882719999726 44.79852543700008, -0.3335537949999434 44.79876857700003, -0.3343182559999605 44.79942503600006, -0.334974003999946 44.79992213200006, -0.3357759449999662 44.80056867400003, -0.3352938499999709 44.800796338000055, -0.3347315289999528 44.80119693200004, -0.3351906099999269 44.80154579600003, -0.3357710629999246 44.80205371100004, -0.3358293889999686 44.80274526000005, -0.3359817619999603 44.802759569000045, -0.3363220729999625 44.803003312000044, -0.3366354149999324 44.80321171000003, -0.337011031999964 44.80340060000003, -0.3373065939999265 44.80350143100003, -0.3374846529999331 44.80352411500007, -0.3376222529999495 44.80349378200003, -0.33859307299997 44.802912279000054))"
odt_det_pdipr.492,Boucle locale,323,"MULTILINESTRING ((-0.3223332449999248 44.802567331000034, -0.3221181729999785 44.80256351400004, -0.3216689909999673 44.80242134500003, -0.3212820889999648 44.80225967600006, -0.3208778629999642 44.801999429000034, -0.3204083769999784 44.801695754000036, -0.3200711329999422 44.801514886000064, -0.3197368799999367 44.801396941000064, -0.3192376369999579 44.801264967000066, -0.3182939289999354 44.80108969100007, -0.3174908179999534 44.80094702200006, -0.3168173819999538 44.80087322400004, -0.3160925919999613 44.80078265800006, -0.3155475499999625 44.80075076300005, -0.3149515769999312 44.80071108900006, -0.3146573479999688 44.80063716500007, -0.3137360889999741 44.80066829700007, -0.3129427899999655 44.800732346000075, -0.3125918219999448 44.80079476900005, -0.3126600809999331 44.80170207100008, -0.3118023739999671 44.803342556000075, -0.3106649869999387 44.80468376300007, -0.3101281449999647 44.80429166700003, -0.3093820549999578 44.80375159600004, -0.3086924389999694 44.803336159000025, -0.308090917999948 44.80317958900008, -0.3072107699999265 44.80301169300003))"
odt_det_pdipr.493,Boucle locale,324,"MULTILINESTRING ((-0.0182133719999342 44.74239417000007, -0.0176254759999779 44.74402638000004, -0.0174242579999486 44.74434560900005, -0.017122876999963 44.74468497300006, -0.0166571219999696 44.74501884700004, -0.0158311989999334 44.745495376000065, -0.0153332509999586 44.74596490300007, -0.0140289619999407 44.74737842400003, -0.0137282979999327 44.74773575900008, -0.0130938529999298 44.74886504300008, -0.0129651029999422 44.749407672000075, -0.013041057999942 44.75031485800008, -0.0127775109999675 44.75125627500006, -0.0124385919999668 44.75160542300006, -0.0116667729999449 44.752170748000026, -0.0108380629999374 44.75258431100008, -0.01043961299996 44.752718766000044, -0.0102556419999473 44.752848656000026, -0.009701267999958 44.75287845100007, -0.0094916839999541 44.752999886000055, -0.0085388499999794 44.754369868000026, -0.0079605479999714 44.754130220000036, -0.0072961919999557 44.75394638800003, -0.0059443429999533 44.75332725700008, -0.0053278369999248 44.753079410000055, -0.0041671569999266 44.75250118800005, -0.0035647869999593 44.75228902400005, -0.0033958889999326 44.752175634000025, -0.002740805999963 44.75191059600007, -0.0016912449999609 44.75157293800004, -0.0011041399999385 44.75142342400005))"
odt_det_pdipr.494,Boucle locale,325,"MULTILINESTRING ((-0.1016089529999249 44.76044057400003, -0.1024976169999263 44.75938609800005, -0.1025453449999532 44.75932205300006, -0.1025675289999413 44.75896162400005, -0.1028337509999346 44.75869478000004, -0.1039371739999524 44.75793248900004, -0.1043130169999245 44.75757323000005, -0.1044297799999754 44.757354683000074, -0.1044065789999422 44.75711223800005, -0.1057135839999432 44.757254266000075, -0.1067580519999751 44.757168137000065, -0.1072946389999743 44.757309219000035, -0.1072611619999293 44.75712099300006, -0.1080225359999645 44.75489049400005, -0.1134018259999721 44.755454977000056, -0.1128869909999253 44.754656553000075, -0.1128077819999476 44.75428937500004, -0.1129249819999245 44.75321595300005, -0.1129786769999441 44.75242289600004, -0.1129318659999399 44.751353117000065, -0.112696218999929 44.75029653400003, -0.1123280739999473 44.74967482100004, -0.1122505429999592 44.74847974900007, -0.1101946399999747 44.748822346000054, -0.109742065999967 44.74886838400005, -0.1087332469999751 44.748899763000054, -0.1067474129999368 44.74766601600004, -0.105953460999956 44.74770160600008, -0.1041232699999455 44.747139247000064, -0.1033250899999416 44.74678798100007, -0.1026901269999598 44.746415101000025, -0.1021498229999338 44.74589614900003, -0.1018502929999272 44.74568681300008, -0.1041136439999377 44.74315316700006))"
odt_det_pdipr.495,Boucle locale,326,"MULTILINESTRING ((-0.1793193209999799 44.664003035000064, -0.1798876549999591 44.66430498700004, -0.1808989499999711 44.66436284800005, -0.1812795689999689 44.664696081000045, -0.1815253499999585 44.66483443300007, -0.18209087799994 44.66507344900003, -0.1822631069999261 44.66525847500003))"
odt_det_pdipr.517,Transversal,1750,"MULTILINESTRING ((-0.4833034279999424 44.79149686000005, -0.4836573199999634 44.79149681400003, -0.4844286029999694 44.791252092000036, -0.4850588339999717 44.79121797500005, -0.4857295779999618 44.79098481600005, -0.486112263999928 44.79080402400007, -0.4863644049999607 44.789789563000056, -0.4863151979999429 44.78956582100005, -0.4858165009999311 44.78920057700003, -0.4854250619999334 44.788706588000025, -0.4852595409999481 44.78843181900004, -0.4846226419999766 44.78708010100007, -0.4845265849999692 44.786929556000075, -0.4844389999999521 44.78644579300004, -0.4841856589999338 44.786434271000076, -0.4838574279999648 44.78619066300007, -0.480318241999953 44.78768510100008))"
odt_det_pdipr.518,Transversal,1751,"MULTILINESTRING ((-0.4895132869999657 44.80458613800005, -0.4886767219999797 44.804292555000075))"
odt_det_pdipr.496,Voie de Soulac,703,"MULTILINESTRING ((-0.8774831529999574 44.58654506200003, -0.8787331439999662 44.585059338000065, -0.8793806459999587 44.58405028200008, -0.8800213039999676 44.58358148100007, -0.8807068839999488 44.58323737500007, -0.8814634679999358 44.58259415300006, -0.8820545189999507 44.58191977000007, -0.8823017559999471 44.581399472000044, -0.8822751629999743 44.580716177000056, -0.8824116099999628 44.58046015200006, -0.8824872499999401 44.580241912000076, -0.8826198839999506 44.58013901600003, -0.8831171269999345 44.58002543600003, -0.8834874099999297 44.580113597000036, -0.8843094069999324 44.58061156200006, -0.8846717629999716 44.58078096000003, -0.8871651699999461 44.583408140000074, -0.8886904709999612 44.58496556500006, -0.8892483889999312 44.584373123000034, -0.8913542089999282 44.58200702000005, -0.8927886119999471 44.58263995200008, -0.8934219329999564 44.582702348000055, -0.8937853659999746 44.58288968700003, -0.8939758759999563 44.58313611600005, -0.894292638999957 44.583387833000074, -0.8949929769999585 44.58352025800008, -0.8963533539999275 44.58374127400003, -0.8971918629999323 44.58408564500007, -0.8986485669999524 44.58444781700007, -0.8997589219999327 44.58491918200008, -0.8999453199999721 44.58509371400004, -0.9000841209999635 44.585971733000065, -0.900916729999949 44.58577618800007, -0.9022852169999283 44.585699860000034, -0.9029323179999551 44.58556377300005, -0.9035742279999681 44.58533782500007, -0.9037135769999622 44.58535171900007, -0.9043077819999326 44.58517217700006, -0.9052384759999654 44.58471267400006, -0.9059459449999281 44.58431375500004, -0.9064852759999553 44.58383878300003, -0.9067568119999692 44.58352473200006, -0.9069722269999261 44.58332935100003, -0.9078782419999243 44.582879553000055, -0.9098078129999294 44.584883827000056, -0.912072678999948 44.58723820900008, -0.9138993489999621 44.58920046000003, -0.9145812599999772 44.58988238200004, -0.9161860659999661 44.59149111800008, -0.917639084999962 44.59287029800004, -0.9190319659999773 44.594080219000034, -0.9195579359999329 44.59446069300003, -0.9204600869999808 44.59502804500005, -0.9212978109999312 44.59557029600006, -0.9224667039999304 44.596174734000044, -0.9249853799999528 44.59724318800005, -0.9271205809999401 44.598214959000074, -0.9293554249999261 44.59916572800006, -0.9323538469999448 44.60046280600005, -0.9337750289999462 44.60106863100003, -0.9372893349999458 44.60256626800003, -0.937414571999966 44.60212147200008, -0.9377950229999783 44.60173208300006, -0.93880536599994 44.60112589600004, -0.9394430969999803 44.60061181800006, -0.9396086509999577 44.59999479100003, -0.9400367739999638 44.59977499900003, -0.9422947209999393 44.598744527000065))"
odt_det_pdipr.497,Circuit départemental,704,"MULTILINESTRING ((-0.8729699389999723 44.54771216000006, -0.8733807719999618 44.54785316600004, -0.8738693329999592 44.54825292000004, -0.8744427779999455 44.548596187000044, -0.875376532999951 44.54885690700007, -0.8758935619999306 44.54909380700008, -0.8773228379999409 44.549655044000076, -0.877635737999924 44.549843905000046, -0.878010149999966 44.54978794200008, -0.8787497889999258 44.54995530700006, -0.8793301869999368 44.55019933700004, -0.8809528639999371 44.55061985300006, -0.8813914459999523 44.55080502100003, -0.8830817139999567 44.55064747200004, -0.8855553959999725 44.55032289900004, -0.8871993129999396 44.55045467300005, -0.8882609139999431 44.55009047300007, -0.8889474039999641 44.549989304000064, -0.8897129029999746 44.54994881700003, -0.8898977789999662 44.54988038000005, -0.8901239679999549 44.54987373400007, -0.8919226289999642 44.54963185300005, -0.9035471669999424 44.551053694000075, -0.9037565219999806 44.551191533000065, -0.9098638059999757 44.55188427300004, -0.9110816049999357 44.55204629200006, -0.9122062479999613 44.55212104200007, -0.914422606999949 44.55213646900006, -0.9143825009999773 44.552965750000055, -0.9141851029999657 44.554339748000075, -0.9142061839999656 44.55535623900005, -0.9144125709999571 44.55652926600004, -0.9147184679999327 44.55768134600004, -0.9154191299999752 44.55760659800006, -0.9165030639999259 44.55762850800005, -0.9222940869999547 44.55741184300007, -0.9223447759999317 44.55785139100004, -0.9224750439999525 44.55836058800003, -0.9225147819999506 44.55861143900006, -0.9228000909999423 44.55897201800008, -0.9228487969999719 44.558943570000054, -0.923179637999965 44.559437813000045, -0.9235167459999616 44.56003988300006, -0.9236941709999655 44.56049367300005, -0.9235296019999737 44.561128635000046, -0.9234980649999329 44.56166963700008, -0.9227255299999797 44.56441089500004, -0.9230856649999737 44.565192308000064, -0.9243372789999285 44.56549720500004, -0.9265436169999361 44.56598076100005, -0.9269164199999409 44.566545760000054, -0.927182370999958 44.567221947000064, -0.9274745439999492 44.56769932800006, -0.9280589059999329 44.56865409000005, -0.928372574999969 44.56906782300007, -0.9277534469999296 44.569464269000036, -0.9272165569999515 44.569759256000054, -0.9266911839999352 44.570035895000046, -0.9256927969999538 44.570623616000034, -0.9248327049999716 44.57099119500003, -0.9232224939999583 44.57166906200007, -0.9213906619999648 44.57243448600008, -0.9209139569999252 44.57268265100004, -0.9205770919999736 44.57295367000006, -0.9202821069999345 44.57329545700003, -0.91881279699993 44.575319250000064, -0.9183941569999661 44.57570069900004, -0.9184708849999765 44.576589539000054, -0.9184179269999504 44.57676213000008, -0.918032233999952 44.57727761800004, -0.9175365089999445 44.57785037100007, -0.9180381469999475 44.57846559400008, -0.9185754279999401 44.57904375500004, -0.9188666129999774 44.57928716200007, -0.9190949369999544 44.57953243000003, -0.919594123999957 44.579670658000055, -0.9197166589999597 44.57982904800008, -0.9197962029999758 44.58011472900006, -0.9200103989999775 44.58033341000004, -0.9204430229999616 44.58062662800006, -0.9208808659999477 44.58100970100003, -0.9213192389999563 44.58140175800003, -0.9215203499999802 44.58161182400005, -0.9218219929999805 44.58203493700006, -0.9222483279999665 44.582436349000034, -0.9227134809999598 44.58263858400005, -0.9234159619999787 44.58280677100004, -0.9237129739999546 44.58293297800003, -0.9239890169999398 44.58313181500006, -0.9243006939999532 44.58329359000004, -0.9248779769999373 44.58347448600006, -0.9252546129999359 44.58367033500008, -0.9254610079999566 44.58375422000006, -0.9261519469999371 44.584156765000046, -0.927045082999939 44.584787334000055, -0.9272310409999704 44.58495283500008, -0.9273436169999627 44.585372549000056, -0.9274295099999676 44.58555002300005, -0.9275662229999284 44.58573498800007, -0.927764237999952 44.58589112900006, -0.9279643419999388 44.58608321200006, -0.9284661689999325 44.58669839000004, -0.9288297159999388 44.587101646000065, -0.9294672609999566 44.58766778200004, -0.9300550449999605 44.58824439600005, -0.9305999049999514 44.58851624000005, -0.9315015169999583 44.589506576000076, -0.9317068819999577 44.58978851000006, -0.9322229389999279 44.59021422400008, -0.9326818999999773 44.590524619000064, -0.932878374999973 44.59065379400005, -0.9330743369999368 44.59055795200004, -0.9334154359999616 44.59035877700006, -0.9342993289999413 44.590611515000035, -0.935443634999956 44.59100951700003, -0.9366241099999684 44.59137942500007, -0.9388855529999773 44.592140175000054, -0.9394917959999702 44.59238314500004, -0.9396867189999512 44.59248535100005, -0.9401866139999697 44.592848504000074, -0.9410905419999267 44.59365867500003, -0.9418142139999759 44.59418617400007, -0.9432311959999424 44.59515205100007, -0.9440995139999586 44.595567205000066, -0.9446754109999347 44.59572104100005, -0.9457821269999727 44.59590403000004, -0.9472514489999639 44.59604017100003, -0.9459840649999478 44.59698716500003, -0.9453128729999776 44.59735826000008, -0.9449492479999435 44.59760315200003, -0.9440857819999451 44.59834903500007, -0.9436775869999678 44.59847823400003, -0.942689818999952 44.59860672100007, -0.9422947209999393 44.598744527000065))"
odt_det_pdipr.498,Circuit départemental,802,"MULTILINESTRING ((-0.2065614709999295 44.49545438000007, -0.2050598809999542 44.49616399200005, -0.2047094729999799 44.49619910000007, -0.2016772539999465 44.49558543900008, -0.2012401599999407 44.49564953300006, -0.2006377989999351 44.49595138500007, -0.2004615959999683 44.49622539000006, -0.200268413999936 44.49723759900007, -0.1995882589999383 44.497766186000035, -0.1980553409999288 44.49973610500007, -0.1976060609999308 44.500367321000056, -0.1974991069999419 44.50134154400007, -0.1973354309999422 44.50217311400007, -0.196824529999958 44.50366953200006, -0.1965563149999525 44.50385567600006, -0.1945280589999356 44.50488321500006))"
odt_det_pdipr.499,Circuit départemental,803,"MULTILINESTRING ((-0.1637220269999489 44.39741389200003, -0.162841698999955 44.39737099700005, -0.1618011909999382 44.39739472800005, -0.160819197999956 44.39760605500004, -0.1605676749999248 44.397593793000055, -0.1603537609999535 44.39758067400004, -0.1599740869999664 44.397508352000045, -0.1595701389999249 44.39745457500004, -0.1588919859999578 44.39744303100008, -0.1586275299999329 44.39742206300008, -0.1583364089999577 44.39736571200007, -0.158021807999944 44.39734588500005, -0.1577965549999476 44.39736001000006, -0.1575360789999536 44.39742891800006, -0.1571396939999659 44.39754590600006, -0.1566069989999619 44.39770198200006, -0.1560233599999492 44.39784122000003, -0.1551024289999532 44.39801511700006, -0.1543185989999642 44.39816789500003, -0.1529057309999757 44.39856888500003, -0.1526193769999509 44.39862037700004, -0.1520211969999536 44.39871493800007, -0.1497241469999722 44.39927092100004, -0.1493797049999444 44.400565318000076, -0.1486523169999714 44.400860727000065, -0.1484240279999654 44.40109083100003, -0.1484986109999795 44.40135905200003, -0.1493406649999542 44.40223965900003, -0.1494830999999408 44.40262330200005, -0.1496861629999557 44.403527401000076, -0.1495691189999775 44.40371899500008, -0.1493458209999403 44.403778043000045, -0.1488799429999403 44.40374362600005, -0.1484094579999464 44.403889252000056, -0.1483158979999644 44.40404432400004, -0.1483841399999619 44.40416873600003, -0.1485817259999749 44.404380186000026, -0.1483910349999746 44.40460943700003, -0.1477773749999756 44.405208162000065, -0.1468726129999709 44.40432896100003, -0.1447863049999682 44.403692446000036, -0.1443818009999518 44.404196444000036, -0.1437512099999481 44.40469656100004, -0.1430378599999358 44.405027603000065, -0.142292303999966 44.405197420000036, -0.1405099199999427 44.40519273900003, -0.1400625509999713 44.406435448000025, -0.1393859099999304 44.40760236300008, -0.1389058069999578 44.40838695700006, -0.138786553999978 44.40910042000007, -0.1382186559999354 44.40988699400003, -0.1371453169999768 44.410882910000055, -0.1362583639999571 44.41155071600008, -0.136903105999977 44.41194103500004, -0.138198645999978 44.41314439000007, -0.1390444539999294 44.413539154000034, -0.1393071099999474 44.413803133000044, -0.1392331619999254 44.41411970200005, -0.1388113559999624 44.41480401300004, -0.138275885999974 44.41547289300007, -0.1374106919999463 44.41692296600007))"
odt_det_pdipr.500,Circuit départemental,804,"MULTILINESTRING ((-0.1697490939999398 44.47871096500006, -0.1697603089999689 44.47896264000008))"
odt_det_pdipr.501,Circuit départemental,805,"MULTILINESTRING ((-0.0331620209999528 44.435186790000046, -0.0333031019999339 44.43495882000008, -0.0334658679999507 44.43464940900003, -0.0332815309999432 44.43444646700004))"
odt_det_pdipr.502,Circuit départemental,806,"MULTILINESTRING ((-0.0329843769999343 44.431861808000065, -0.0329098079999426 44.43217830700007, -0.032938243999979 44.432555559000036, -0.0330498959999659 44.433119945000044, -0.0331322969999519 44.43358599800007, -0.0332626089999621 44.43399703500006, -0.0332815309999432 44.43444646700004))"
odt_det_pdipr.503,Circuit départemental,807,"MULTILINESTRING ((-0.0912225779999289 44.413592265000034, -0.0910261979999518 44.41369558100007, -0.0908086109999431 44.41388933600007, -0.0904177849999428 44.414140909000025, -0.089965412999959 44.414420833000065, -0.0895643609999297 44.41472661000006, -0.0893380979999279 44.41501052500007, -0.0890726619999782 44.41525931600006, -0.0887821419999568 44.415508663000026, -0.0887103829999774 44.415591223000035, -0.0887765699999363 44.415670730000045, -0.0894810229999621 44.415997022000056, -0.089286953999931 44.416154266000035, -0.0890321179999773 44.41635783800007, -0.0887732549999782 44.41675943200005, -0.0880711189999488 44.41648706600006, -0.0880275369999595 44.41664097800003, -0.0880657779999296 44.41694602700005, -0.0880335749999404 44.41707269700004, -0.0879394399999569 44.41721873000006, -0.0878300539999373 44.41730212300007, -0.0871297589999358 44.417947396000045, -0.0868050739999262 44.41827846500007, -0.0859192309999344 44.417821211000046, -0.0857874659999425 44.41796807400004, -0.0853643279999687 44.41776149900005, -0.0853483059999576 44.41768088100008, -0.0850760509999304 44.417479968000066, -0.0847893249999743 44.417234388000054, -0.0846835839999471 44.41711076800004, -0.0843174029999432 44.41735277600003, -0.0844420799999739 44.417916829000035, -0.0843020209999281 44.41816283900005, -0.084031735999929 44.418591664000076, -0.0812373189999676 44.41753772800007, -0.0800021049999486 44.41859061700006, -0.0800024909999593 44.418599605000054))"
odt_det_pdipr.504,Circuit départemental,808,"MULTILINESTRING ((-0.0702022789999432 44.44482539000006, -0.0701012689999629 44.44510651400003, -0.0698071889999596 44.44557181600004, -0.0696134829999551 44.44603491300006, -0.0686771719999797 44.44822373300008, -0.0685757649999346 44.44849586700008, -0.0685394019999421 44.44882055700003, -0.0680397809999249 44.44888549600006, -0.0673891969999545 44.44894474500006, -0.0664629349999473 44.449019029000056, -0.0655397399999629 44.44916521300007, -0.0645937449999678 44.449365871000055, -0.0641443069999354 44.44942969300007, -0.0637796399999502 44.44941968300003, -0.0632734919999507 44.449331793000056, -0.062705752999932 44.44927224000003, -0.0626682059999553 44.449569962000055, -0.0627200319999588 44.449901717000046, -0.0629662169999392 44.45037317200007, -0.0630697719999489 44.450739783000074, -0.0632002419999367 44.45085388900003, -0.0628428469999562 44.45101465800008, -0.062268003999975 44.45137811700005, -0.0614452409999444 44.45181897100008, -0.0609121509999682 44.45198357500004, -0.0604433349999454 44.45218276000003, -0.0597383819999777 44.45244108500003, -0.059085530999937 44.45274325200006, -0.0585330659999386 44.453043224000055, -0.0581444249999663 44.453060708000066))"
odt_det_pdipr.505,Circuit départemental,809,"MULTILINESTRING ((-0.0912225779999289 44.413592265000034, -0.0926630219999538 44.41293955700007, -0.0930808499999784 44.41273236300003, -0.0938382929999762 44.41283252800008, -0.094858004999935 44.41173927400007, -0.0956905179999694 44.41125296000007, -0.095851204999974 44.41119541200004, -0.0959985719999281 44.41112016500006, -0.0965374989999646 44.41081130300006, -0.0966366499999367 44.41078211000007, -0.0967248159999485 44.41078914900004, -0.0976195719999282 44.41145304600008, -0.0977594519999343 44.41149492300008, -0.0982732709999254 44.41234721400008, -0.0986182539999732 44.413068302000056, -0.0986482869999463 44.41347249800003, -0.0981543279999642 44.41511192000007, -0.0991594089999239 44.41658308400008, -0.0993035799999689 44.41672383100007))"
odt_det_pdipr.506,Circuit départemental,810,"MULTILINESTRING ((-0.0585129409999468 44.456111641000064, -0.0588114579999797 44.45604214200006, -0.0595964369999251 44.456186941000055, -0.0602844639999489 44.45641482600007, -0.061257315999967 44.45654651000007, -0.062214173999962 44.45659756200007, -0.062920801999951 44.45667207500003, -0.0635049989999743 44.45682123800003, -0.0642695029999345 44.45707441600007, -0.0645932259999427 44.457301253000026, -0.064963536999926 44.458030902000075, -0.0652049009999587 44.45868240100003, -0.0651670889999423 44.45926803700007, -0.0663659109999344 44.45939472800006, -0.0675141519999443 44.45951351900004, -0.0676336359999254 44.45966384900004, -0.0676588619999734 44.45996020000007, -0.0675946969999472 44.46022252100005, -0.0675625459999765 44.46064608800003, -0.0681873939999491 44.461451123000074, -0.0682091669999636 44.46166657500004, -0.0680845519999593 44.46198420400003, -0.0681903399999442 44.46210784500005, -0.0687434869999492 44.46241061300003))"
odt_det_pdipr.519,Transversal,1752,"MULTILINESTRING ((-0.4947151869999402 44.80370577600007, -0.4935161069999481 44.80349353100007, -0.4923806189999596 44.80328864400008, -0.4922192149999773 44.80334678200006, -0.4920501879999506 44.80350411900008, -0.4919578219999607 44.80367748900005, -0.4914367409999727 44.80412285300008, -0.49122392299995 44.804164307000065, -0.4905236069999432 44.804065250000065, -0.4901903429999379 44.80397478500004, -0.4901335759999483 44.804102242000056, -0.4900123169999802 44.80420435000008, -0.4895132869999657 44.80458613800005))"
odt_det_pdipr.520,Transversal,1753,"MULTILINESTRING ((-0.4779733519999354 44.78553994600003, -0.4776546869999265 44.78573707700008, -0.4772584829999573 44.78590018400007, -0.4788364039999351 44.78711992800004))"
odt_det_pdipr.507,Circuit départemental,811,"MULTILINESTRING ((-0.1023831699999391 44.428990242000054, -0.1034456379999256 44.429749343000026, -0.1035357819999376 44.429801319000035, -0.1037219889999506 44.429752189000055, -0.1039458279999508 44.42970222100007, -0.1047505059999594 44.43001719600005, -0.1047916449999775 44.43009725300004, -0.104440737999937 44.43040196900006, -0.105056488999935 44.43070315400007, -0.1044664629999374 44.43099520200008, -0.1047020009999642 44.43121488300005, -0.1049975319999703 44.431370249000054, -0.1052405479999266 44.43147280200003, -0.104894632999958 44.43218227700004, -0.1030993219999346 44.43189834700007, -0.1028074499999434 44.43269658200006, -0.1027415329999712 44.432913979000034, -0.1023379179999324 44.43374169100008, -0.1022677119999571 44.43386021400005, -0.1021704709999654 44.43393435300004, -0.1017409719999591 44.434744644000034, -0.100226063999969 44.43513820600003, -0.099962431999927 44.435719877000054, -0.0998195789999272 44.43619089900005, -0.0963110869999468 44.43665568400007, -0.0949119239999732 44.439439822000054, -0.0948523009999462 44.43951312000007, -0.0948428619999504 44.439585306000026, -0.0948577379999733 44.439638958000046, -0.0949349539999389 44.43968223100006, -0.0953026719999457 44.43976404600005, -0.0953297049999264 44.43980843200006, -0.0953077209999265 44.439880896000034, -0.0948591989999272 44.440835535000076, -0.0948030689999655 44.44098973000007, -0.0948292069999752 44.44130404800006, -0.0948945359999698 44.441653485000074, -0.0949900089999574 44.44211921600004, -0.095049395999979 44.442621735000046, -0.0950935189999314 44.443061613000054, -0.0951764489999505 44.44352762200003, -0.0952010349999455 44.44380598600003, -0.0951538359999518 44.44416691500004, -0.0951180189999263 44.44450060200006, -0.09511828899997 44.44479750000005, -0.0944902999999613 44.44537824100007, -0.0933856319999791 44.44655435400006, -0.0915201329999604 44.44872798700004, -0.0912478159999637 44.449111893000065, -0.0878080849999492 44.44915200600008, -0.0850076539999804 44.44828718400004, -0.0848508919999631 44.44814669300007, -0.0847675669999717 44.446502070000065))"
