Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Agriculture et Developpement durable",72622,120170,1.65,441.78
"Etat et collectivites territoriales",59552,139487,2.34,450.59
"Sante et Affaires sociales",39383,77573,1.97,493.57
Economie,36866,71238,1.93,417.59
"Jeunesse et Education",33583,66174,1.97,467.39
"Securite et Justice",30665,81552,2.66,383.27
"Societe et Politique de la ville",25372,56958,2.24,552.78
"Emploi et Travail",24398,53312,2.19,458.31
"Europe et Monde",1636,10143,6.20,421.49
