Date de l'export,Code du dpartement,Libell du dpartement,Code de la commune,Libell de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprims,% Exp/Ins,% Exp/Vot,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp
14/12/2015 09:30,33,GIRONDE,1,Abzac,1448,715,"49,38",733,"50,62",11,"0,76","1,5",4,"0,28","0,55",718,"49,59","97,95",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,282,"19,48","39,28",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,168,"11,6","23,4",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,268,"18,51","37,33",,,,,,,,
14/12/2015 09:30,33,GIRONDE,2,Aillas,595,198,"33,28",397,"66,72",11,"1,85","2,77",12,"2,02","3,02",374,"62,86","94,21",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,175,"29,41","46,79",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,121,"20,34","32,35",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,78,"13,11","20,86",,,,,,,,
14/12/2015 09:30,33,GIRONDE,3,Ambars-et-Lagrave,9806,4862,"49,58",4944,"50,42",99,"1,01",2,80,"0,82","1,62",4765,"48,59","96,38",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,2264,"23,09","47,51",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,1171,"11,94","24,58",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1330,"13,56","27,91",,,,,,,,
14/12/2015 09:30,33,GIRONDE,4,Ambs,2141,1072,"50,07",1069,"49,93",35,"1,63","3,27",23,"1,07","2,15",1011,"47,22","94,57",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,490,"22,89","48,47",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,233,"10,88","23,05",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,288,"13,45","28,49",,,,,,,,
14/12/2015 09:30,33,GIRONDE,5,Andernos-les-Bains,10087,3955,"39,21",6132,"60,79",98,"0,97","1,6",78,"0,77","1,27",5956,"59,05","97,13",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,2351,"23,31","39,47",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,2579,"25,57","43,3",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1026,"10,17","17,23",,,,,,,,
14/12/2015 09:30,33,GIRONDE,6,Anglade,643,252,"39,19",391,"60,81",7,"1,09","1,79",9,"1,4","2,3",375,"58,32","95,91",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,171,"26,59","45,6",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,89,"13,84","23,73",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,115,"17,88","30,67",,,,,,,,
14/12/2015 09:30,33,GIRONDE,7,Arbanats,769,281,"36,54",488,"63,46",13,"1,69","2,66",5,"0,65","1,02",470,"61,12","96,31",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,196,"25,49","41,7",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,152,"19,77","32,34",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,122,"15,86","25,96",,,,,,,,
14/12/2015 09:30,33,GIRONDE,8,Arbis,201,75,"37,31",126,"62,69",5,"2,49","3,97",6,"2,99","4,76",115,"57,21","91,27",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,58,"28,86","50,43",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,34,"16,92","29,57",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,23,"11,44",20,,,,,,,,
14/12/2015 09:30,33,GIRONDE,9,Arcachon,10638,4569,"42,95",6069,"57,05",57,"0,54","0,94",106,1,"1,75",5906,"55,52","97,31",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,1601,"15,05","27,11",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,3339,"31,39","56,54",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,966,"9,08","16,36",,,,,,,,
14/12/2015 09:30,33,GIRONDE,10,Arcins,300,123,41,177,59,7,"2,33","3,95",1,"0,33","0,56",169,"56,33","95,48",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,70,"23,33","41,42",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,43,"14,33","25,44",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,56,"18,67","33,14",,,,,,,,
14/12/2015 09:30,33,GIRONDE,11,Ars,5129,2161,"42,13",2968,"57,87",52,"1,01","1,75",49,"0,96","1,65",2867,"55,9","96,6",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,1068,"20,82","37,25",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,1135,"22,13","39,59",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,664,"12,95","23,16",,,,,,,,
14/12/2015 09:30,33,GIRONDE,12,Arsac,2761,1273,"46,11",1488,"53,89",28,"1,01","1,88",19,"0,69","1,28",1441,"52,19","96,84",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,601,"21,77","41,71",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,502,"18,18","34,84",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,338,"12,24","23,46",,,,,,,,
14/12/2015 09:30,33,GIRONDE,13,Artigues-prs-Bordeaux,5569,2226,"39,97",3343,"60,03",78,"1,4","2,33",54,"0,97","1,62",3211,"57,66","96,05",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,1590,"28,55","49,52",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,987,"17,72","30,74",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,634,"11,38","19,74",,,,,,,,
14/12/2015 09:30,33,GIRONDE,14,Les Artigues-de-Lussac,805,323,"40,12",482,"59,88",12,"1,49","2,49",5,"0,62","1,04",465,"57,76","96,47",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,188,"23,35","40,43",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,138,"17,14","29,68",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,139,"17,27","29,89",,,,,,,,
14/12/2015 09:30,33,GIRONDE,15,Arveyres,1525,618,"40,52",907,"59,48",17,"1,11","1,87",24,"1,57","2,65",866,"56,79","95,48",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,349,"22,89","40,3",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,316,"20,72","36,49",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,201,"13,18","23,21",,,,,,,,
14/12/2015 09:30,33,GIRONDE,16,Asques,359,150,"41,78",209,"58,22",8,"2,23","3,83",9,"2,51","4,31",192,"53,48","91,87",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,105,"29,25","54,69",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,58,"16,16","30,21",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,29,"8,08","15,1",,,,,,,,
14/12/2015 09:30,33,GIRONDE,17,Aubiac,225,85,"37,78",140,"62,22",3,"1,33","2,14",3,"1,33","2,14",134,"59,56","95,71",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,65,"28,89","48,51",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,36,16,"26,87",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,33,"14,67","24,63",,,,,,,,
14/12/2015 09:30,33,GIRONDE,18,Aubie-et-Espessas,878,369,"42,03",509,"57,97",8,"0,91","1,57",15,"1,71","2,95",486,"55,35","95,48",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,236,"26,88","48,56",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,108,"12,3","22,22",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,142,"16,17","29,22",,,,,,,,
14/12/2015 09:30,33,GIRONDE,19,Audenge,5526,2441,"44,17",3085,"55,83",73,"1,32","2,37",45,"0,81","1,46",2967,"53,69","96,18",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,1377,"24,92","46,41",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,916,"16,58","30,87",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,674,"12,2","22,72",,,,,,,,
