"rang_vaccinal","date_debut_semaine","nb"
1,2021-01-18,319821
2,2021-01-18,983
1,2021-01-25,306647
2,2021-01-25,18200
1,2021-02-01,231675
2,2021-02-01,75311
1,2021-02-08,176081
2,2021-02-08,136092
1,2021-02-15,35080
2,2021-02-15,299550
1,2021-02-22,16249
2,2021-02-22,288202
1,2021-03-01,24172
2,2021-03-01,200782
1,2021-03-08,15563
2,2021-03-08,150115
