code_zone,lib_zone,date_ech,date_dif,polluant,code_pol,lib_pol,etat,source,couleur,com_court,com_long,id,ESRI_OID,Shape__Area,Shape__Length
36,INDRE,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13131,27,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13132,28,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13133,29,6411859042.5,668328.122191185
45,LOIRET,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,O3,7,OZONE,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13134,30,6804336827,619225.461380519
18,CHER,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13135,31,7292985466,596865.016705076
28,EURE-ET-LOIR,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13136,32,5927309047,569971.643751021
36,INDRE,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13137,33,6886626765.5,538640.680355598
37,INDRE-ET-LOIRE,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13138,34,6146936907,521658.663145014
41,LOIR-ET-CHER,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13139,35,6411859042.5,668328.122191185
45,LOIRET,2021/01/11 00:00:00+00,2021/01/10 00:00:00+00,PM10,5,PARTICULES PM10,PAS DE DEPASSEMENT,Lig'Air,#19FF19,,,13140,36,6804336827,619225.461380519
