Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Emploi et Travail",79554,154706,1.94,375.74
"Etat et collectivites territoriales",37016,98515,2.66,553.32
"Sante et Affaires sociales",32895,74972,2.28,509.45
Economie,28856,64889,2.25,515.13
"Jeunesse et Education",27002,63173,2.34,529.33
"Societe et Politique de la ville",18523,48234,2.60,551.44
"Securite et Justice",12662,38522,3.04,466.83
"Agriculture et Developpement durable",10570,34577,3.27,485.27
"Europe et Monde",1248,10939,8.77,597.58
