INSEE;NATURE;DATAPPRO;LIBELLE;URLFIC;IDURBA;TYPEPSC;ID_NCA;LIB_TYPEPSC2;TXT;NOMFIC;DATVALID;geometry
06033;"BATI REMARQUABLE : Site dir du ""Laurume"" (Période antique à priori llle-lle S.avant NE)";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4306;;18;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.16985356, 43.77777225]}
06033;BATI REMARQUABLE : Chapelle des Pénitants-Blancs : inscription Gallo-romaine (env lle s. aprés NE);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4345;;04;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18799517, 43.79263509]}
06033;BATI REMARQUABLE : Aqueduc;2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;695;;13;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.1852288, 43.79322158]}
06033;BATI REMARQUABLE : Verrerie des Filagnes (Période moderne XVllle ou contemporaine);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;692;;26;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.16878297, 43.77842733]}
06033;BATI REMARQUABLE : Médiathèque André Verdet (Période très contemporaine : dernière moitié XXe S.);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4310;;41;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.19222622, 43.77452084]}
06033;"BATI REMARQUABLE : Structure en pierre sèche du ""Clot de Ripert"" (Période Moderne XVlle-XVllle S.)";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4135;;19;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.16625003, 43.78554465]}
06033;"BATI REMARQUABLE : Site dit de ""La Roche Fendue"" (Période préhistorique)";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4343;;17;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17706309, 43.7924536]}
06033;BATI REMARQUABLE : Moulin du Gourg Ouest;2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;693;;29;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17810679, 43.78275022]}
06033;BATI REMARQUABLE : Banc : inscription Gallo-romaine (env lle s. aprés NE);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4138;;02;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18701976, 43.79199126]}
06033;BATI REMARQUABLE : Les grottes du Gourg;2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4308;;28;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17680588, 43.78443373]}
06033;BATI REMARQUABLE : Oratoire Saint Joseph (Période Moderne XVllle ou contemporaine : XlXe siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4125;;31;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18970225, 43.78824011]}
06033;"BATI REMARQUABLE : Site du Vallon de ""La Perdigonerie""";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4124;;39;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18828858, 43.7743304]}
06033;BATI REMARQUABLE : Oratoire de la Clapière (Période Moderne XVllle ou contemporaine : XlXe siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4127;;15;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17622484, 43.78020836]}
06033;BATI REMARQUABLE : Piscine de Carros (Période très contemporaine : dernière moitié XXe S.);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4174;;40;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.19263104, 43.76971759]}
06033;BATI REMARQUABLE : Clocher-Tour : vestiges de l'église Notre Dame de Cola (Période médévale Vllle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4309;;07;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18482703, 43.79238324]}
06033;BATI REMARQUABLE : Four à pain communal (Période moderne  : XVlle - XVllle siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4123;;08;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18723446, 43.79202068]}
06033;BATI REMARQUABLE : Pyramides, rond-pont Antoine de Saint Exupéry (Période trés contemporaine);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4140;;42;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.19555518, 43.7693724]}
06033;"BATI REMARQUABLE : Site de ""Monteguise""";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;694;;22;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17155127, 43.79674703]}
06033;BATI REMARQUABLE : Bassin du chemin du Carrousset;2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4344;;27;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18396297, 43.80019641]}
06033;BATI REMARQUABLE : Four à chaux;2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;3966;;25;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17535683, 43.77661612]}
06033;BATI REMARQUABLE : Four à pain (Période contemporaine : XlXe siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4346;;09;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.1878282, 43.7920732]}
06033;BATI REMARQUABLE : Chapelle des Pénitants-Blancs : (Période moderne : XVllle siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4126;;05;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18803213, 43.79278438]}
06033;BATI REMARQUABLE : Eglise Saint-Claude (Période moderne : XVlle siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4088;;10;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18699834, 43.79235002]}
06033;"BATI REMARQUABLE : Moulin de ""La Gabarée""";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4137;;36;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.19221808, 43.7966783]}
06033;BATI REMARQUABLE : Villa Barbary (Période contemporainr : XlXe siècle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;696;;12;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.1864426, 43.79186901]}
06033;"BATI REMARQUABLE : Borne du ""Pont de Vence au Broc""";2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;3967;;24;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.17032796, 43.77266744]}
06033;BATI REMARQUABLE : Château de Carros - périodes médévale (Xlle) et moderne XVle- XVllle);2018-12-21;Construction à protéger ou à mettre en valeur pour des motifs d'ordre esthétique, historique ou écologique;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/plu-de-carros;00000603320181221;07;4139;;01;PLU de Carros;2013-06-21;{"type": "Point", "coordinates": [7.18691855, 43.79256345]}
