Années;Naissances;Naissances hors commune;Reconnaissances anticipées;Reconnaissances;Changements de nom;Mariages;Décès;Transcriptions décès
2016;1;14;5;0;0;2;8;5
2015;0;7;4;0;0;9;12;10
2014;1;12;5;1;1;4;8;10
2013;0;11;4;1;1;8;11;7
2012;1;12;6;0;0;7;5;7
2011;0;14;5;2;0;3;7;5
2010;0;15;8;0;0;4;5;8
2009;0;11;4;0;0;8;10;4
2008;0;8;5;0;1;6;6;11
2007;0;6;3;0;0;3;6;11
2006;0;14;7;0;0;4;7;7
2005;0;16;6;0;0;2;10;8
2004;0;10;6;0;0;3;4;12
2003;0;11;4;0;0;2;13;8
