n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Commune;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilit‚;observations;date_maj
CGLE;CGLE;;;Helios Savoie Technolac;Av Lac Leman, 73370 Le Bourget du Lac;73370;Le Bourget du Lac;5.875084;45.639752;1;19648233;48 kva;flexible;oui;;;23/10/2018
CGLE;CGLE;;;La poste Chambery;Avenue Marechal Leclerc, Gare, 73000 Chambery;73000;Chambery;5.916559;45.570200;1;1,96143E+13;9 kva;flexible;oui;;;
