Code,Communes,superficie (km²)
33114,Cavignac,"6,63"
33115,Cazalis,"46,81"
33116,Cazats,"7,48"
33117,Cazaugitat,"14,35"
33118,Cénac,"7,5"
33119,Cenon,"5,52"
33120,Cérons,"7,83"
33121,Cessac,"3,65"
33122,Cestas,"99,57"
33123,Cézac,"19,16"
33124,Chamadelle,"15,35"
33125,Cissac-Médoc,"23,62"
33126,Civrac-de-Blaye,"13,25"
33127,Civrac-sur-Dordogne,"1,94"
33128,Civrac-en-Médoc,"18,35"
33129,Cleyrac,"6,07"
33130,Coimères,"12,91"
33131,Coirac,"5,76"
33132,Comps,"1,66"
33133,Coubeyrac,"5,61"
33134,Couquèques,"6,33"
33135,Courpiac,"2,21"
33136,Cours-de-Monségur,"9,64"
33137,Cours-les-Bains,"10,43"
33138,Coutras,"33,69"
33139,Coutures,"3,4"
33140,Créon,"8,02"
33141,Croignon,"4,62"
33142,Cubnezais,"10,3"
33143,Cubzac-les-Ponts,"8,92"
33144,Cudos,"34,21"
33145,Cursan,"6,07"
33146,Cussac-Fort-Médoc,"18,01"
33147,Daignac,"5,73"
33148,Dardenac,"1,5"
33149,Daubèze,"5,63"
33150,Dieulivol,"10,47"
33151,Donnezac,"35,75"
33152,Donzac,"4,41"
33153,Doulezon,"7,36"
33154,Les Églisottes-et-Chalaures,"17,16"
33155,Escaudes,"25,77"
33156,Escoussans,"5,11"
33157,Espiet,"6,79"
33158,Les Esseintes,"5,1"
33159,Étauliers,"12,98"
33160,Eynesse,"7,59"
33161,Eyrans,"4,28"
33162,Eysines,"12,01"
33163,Faleyras,"10,44"
33164,Fargues,"15,41"
33165,Fargues-Saint-Hilaire,"7,02"
33166,Le Fieu,"14,67"
33167,Floirac,"8,67"
33168,Flaujagues,"7,8"
33169,Floudès,"3,7"
33170,Fontet,"7,67"
33171,Fossès-et-Baleyssac,"9,4"
33172,Fours,"4,64"
33173,Francs,"6,59"
33174,Fronsac,"15,29"
33175,Frontenac,"14,4"
33176,Gabarnac,"5,21"
33177,Gaillan-en-Médoc,"42,02"
33178,Gajac,"12,28"
33179,Galgon,"15,18"
33180,Gans,"7,01"
33181,Gardegan-et-Tourtirac,"9,58"
33182,Gauriac,"5,54"
33183,Gauriaguet,"5,37"
33184,Générac,"9,44"
33185,Génissac,"13,04"
33186,Gensac,"9,38"
33187,Gironde-sur-Dropt,"8,84"
33188,Giscos,"32,06"
33189,Gornac,"8,35"
33190,Goualade,17
33191,Gours,"7,89"
33192,Gradignan,"15,77"
33193,Grayan-et-l'Hôpital,"45,4"
33194,Grézillac,"7,79"
33195,Grignols,"22,7"
33196,Guillac,"3,06"
33197,Guillos,"22,67"
33198,Guîtres,"5,02"
33199,Gujan-Mestras,"53,99"
33200,Le Haillan,"9,26"
33201,Haux,"10,21"
33202,Hostens,"57,64"
33203,Hourtin,"190,5"
33204,Hure,"7,09"
33205,Illats,"29,24"
33206,Isle-Saint-Georges,"4,35"
33207,Izon,"15,59"
33208,Jau-Dignac-et-Loirac,"41,23"
33209,Jugazan,"5,53"
33210,Juillac,"5,86"
33211,Labarde,"4,76"
33212,Labescau,"5,99"
33213,La Brède,"23,28"
33214,Lacanau,"214,02"
33215,Ladaux,"4,29"
33216,Lados,"6,49"
33218,Lagorce,"28,47"
33219,La Lande-de-Fronsac,"8,53"
33220,Lamarque,"8,91"
33221,Lamothe-Landerron,"9,18"
33222,Lalande-de-Pomerol,"8,25"
33223,Landerrouat,"4,99"
33224,Landerrouet-sur-Ségur,"3,14"
33225,Landiras,"59,75"
33226,Langoiran,"10,14"
33227,Langon,"13,71"
33228,Lansac,6
33229,Lanton,"136,19"
33230,Lapouyade,"25,8"
33231,Laroque,"2,97"
33232,Lartigue,"13,64"
33233,Laruscade,"46,76"
33234,Latresne,"10,39"
33235,Lavazan,"8,97"
33236,Lège-Cap-Ferret,"93,62"
33237,Léogeats,"19,61"
33238,Léognan,"41,43"
33239,Lerm-et-Musset,"36,87"
33240,Lesparre-Médoc,"36,97"
33241,Lestiac-sur-Garonne,"2,98"
33242,Les Lèves-et-Thoumeyragues,"15,58"
33243,Libourne,"20,63"
33244,Lignan-de-Bazas,"11,1"
33245,Lignan-de-Bordeaux,"8,94"
33246,Ligueux,"5,05"
33247,Listrac-de-Durèze,"5,31"
33248,Listrac-Médoc,"61,9"
33249,Lormont,"7,36"
33250,Loubens,"5,89"
33251,Louchats,"39,24"
33252,Loupes,"4,87"
33253,Loupiac,"9,57"
33254,Loupiac-de-la-Réole,"5,32"
33255,Lucmau,"66,73"
33256,Ludon-Médoc,"18,69"
33257,Lugaignac,"3,66"
33258,Lugasson,"6,32"
33259,Lugon-et-l'Île-du-Carnay,"10,94"
33260,Lugos,"62,14"
33261,Lussac,"23,43"
33262,Macau,"19,56"
33263,Madirac,"1,86"
33264,Maransin,"29,94"
33266,Marcenais,"9,04"
33267,Marcillac,"32,23"
33268,Margaux,"7,36"
33269,Margueron,"13,57"
33270,Marimbault,"6,71"
33271,Marions,"16,32"
33272,Marsas,"8,13"
33273,Martignas-sur-Jalle,"26,39"
33274,Martillac,"17,09"
33275,Martres,"3,03"
33276,Masseilles,"6,72"
33277,Massugas,"14,41"
33278,Mauriac,"10,02"
33279,Mazères,"13,14"
33280,Mazion,"3,71"
33281,Mérignac,"48,17"
33282,Mérignas,"9,56"
33283,Mesterrieux,"3,59"
33284,Mios,"137,41"
33285,Mombrier,"4,25"
33287,Mongauzy,"6,84"
33288,Monprimblanc,"4,97"
33289,Monségur,"9,91"
33290,Montagne,"26,66"
33291,Montagoudin,"3,34"
33292,Montignac,"6,48"
33293,Montussan,"8,3"
33294,Morizès,"5,87"
33295,Mouillac,"1,87"
33296,Mouliets-et-Villemartin,"15,91"
33297,Moulis-en-Médoc,"20,56"
33298,Moulon,"13,25"
33299,Mourens,"10,63"
33300,Naujac-sur-Mer,"98,55"
33301,Naujan-et-Postiac,"11,1"
33302,Néac,"6,88"
33303,Nérigean,"9,98"
33304,Neuffons,"4,67"
33305,Le Nizan,"15,21"
33306,Noaillac,"7,94"
33307,Noaillan,"31,8"
33308,Omet,"2,62"
33309,Ordonnac,"10,21"
33310,Origne,"27,19"
33311,Paillet,"2,48"
33312,Parempuyre,"21,8"
33314,Pauillac,"22,74"
33315,Les Peintures,"13,13"
33316,Pellegrue,"38,18"
33317,Périssac,"12,16"
33318,Pessac,"38,82"
33319,Pessac-sur-Dordogne,"7,78"
33320,Petit-Palais-et-Cornemps,"14,32"
33321,Peujard,"10,98"
33322,Le Pian-Médoc,"30,12"
33323,Le Pian-sur-Garonne,"6,35"
33324,Pineuilh,"17,36"
33325,Plassac,"7,12"
33326,Pleine-Selve,"4,23"
33327,Podensac,"8,34"
33328,Pomerol,"6,24"
33329,Pompéjac,"9,74"
33330,Pompignac,"11,62"
33331,Pondaurat,"8,74"
33332,Porchères,"13,19"
33333,Le Porge,"149,03"
33334,Portets,"15,49"
33335,Le Pout,"3,93"
33336,Préchac,"63,87"
33337,Preignac,"13,26"
33338,Prignac-en-Médoc,"7,44"
33339,Prignac-et-Marcamps,"9,66"
33341,Pugnac,"13,53"
33342,Puisseguin,"17,25"
33343,Pujols-sur-Ciron,"7,53"
33344,Pujols,"7,4"
33345,Le Puy,"8,15"
33346,Puybarban,"5,58"
33347,Puynormand,"7,64"
33348,Queyrac,"30,73"
33349,Quinsac,"8,14"
33350,Rauzan,"6,5"
33351,Reignac,"37,43"
33352,La Réole,"12,53"
33353,Rimons,"14,38"
33354,Riocaud,"10,4"
33355,Rions,"10,65"
33356,La Rivière,"3,22"
33357,Roaillan,"11,48"
33358,Romagne,"5,15"
33359,Roquebrune,"6,52"
33360,La Roquille,"6,51"
33361,Ruch,"14,49"
33362,Sablons,"11,84"
33363,Sadirac,"19,11"
33364,Saillans,"6,22"
33365,Saint-Aignan,"2,75"
33366,Saint-André-de-Cubzac,"23,15"
33367,Saint-André-du-Bois,10
33369,Saint-André-et-Appelles,"10,25"
33370,Saint-Androny,"11,65"
33371,Saint-Antoine,"0,2"
33372,Saint-Antoine-du-Queyret,"6,85"
33373,Saint-Antoine-sur-l'Isle,"10,4"
33374,Saint-Aubin-de-Blaye,"11,54"
33375,Saint-Aubin-de-Branne,"5,52"
33376,Saint-Aubin-de-Médoc,"34,72"
33377,Saint-Avit-de-Soulège,"2,84"
33378,Saint-Avit-Saint-Nazaire,"18,61"
33379,Saint-Brice,"5,76"
33380,Saint-Caprais-de-Blaye,"5,17"
33381,Saint-Caprais-de-Bordeaux,"10,26"
33382,Saint-Christoly-de-Blaye,"28,06"
33383,Saint-Christoly-Médoc,"7,55"
33384,Saint-Christophe-des-Bardes,"7,69"
33385,Saint-Christophe-de-Double,"36,13"
33386,Saint-Cibard,"3,54"
33387,Saint-Ciers-d'Abzac,"11,71"
33388,Saint-Ciers-de-Canesse,"6,8"
33389,Saint-Ciers-sur-Gironde,"38,34"
33390,Sainte-Colombe,"4,06"
33391,Saint-Côme,"5,96"
33392,Sainte-Croix-du-Mont,"8,98"
33393,Saint-Denis-de-Pile,"28,27"
33394,Saint-Émilion,"27,02"
33395,Saint-Estèphe,"23,54"
33396,Saint-Étienne-de-Lisse,"7,09"
33397,Sainte-Eulalie,"9,06"
33398,Saint-Exupéry,"4,19"
33399,Saint-Félix-de-Foncaude,"10,33"
33400,Saint-Ferme,"20,09"
33401,Sainte-Florence,"3,21"
33402,Sainte-Foy-la-Grande,"0,51"
33403,Sainte-Foy-la-Longue,"9,37"
33404,Sainte-Gemme,"9,55"
33405,Saint-Genès-de-Blaye,"7,41"
33406,Saint-Genès-de-Castillon,"6,8"
33407,Saint-Genès-de-Fronsac,"6,96"
33408,Saint-Genès-de-Lombaud,"6,14"
33409,Saint-Genis-du-Bois,"2,34"
33411,Saint-Germain-de-Grave,"6,16"
33412,Saint-Germain-d'Esteuil,"44,71"
33413,Saint-Germain-du-Puch,"11,76"
33414,Saint-Germain-de-la-Rivière,"4,28"
33415,Saint-Gervais,"5,58"
33416,Saint-Girons-d'Aiguevives,"11,94"
33417,Sainte-Hélène,"127,87"
33418,Saint-Hilaire-de-la-Noaille,"11,45"
33419,Saint-Hilaire-du-Bois,"4,5"
33420,Saint-Hippolyte,"4,45"
33421,Saint-Jean-de-Blaignac,"5,58"
33422,Saint-Jean-d'Illac,"120,58"
33423,Saint-Julien-Beychevelle,"16,3"
33424,Saint-Laurent-Médoc,"136,55"
33425,Saint-Laurent-d'Arce,"8,07"
33426,Saint-Laurent-des-Combes,"3,86"
33427,Saint-Laurent-du-Bois,"7,41"
33428,Saint-Laurent-du-Plan,"2,39"
33429,Saint-Léger-de-Balson,"38,04"
33431,Saint-Léon,"4,49"
33432,Saint-Loubert,"2,11"
33433,Saint-Loubès,"25,07"
33434,Saint-Louis-de-Montferrand,"10,8"
33435,Saint-Macaire,"1,79"
33436,Saint-Magne,"82,66"
33437,Saint-Magne-de-Castillon,"13,87"
33438,Saint-Maixant,"7,68"
33439,Saint-Mariens,12
33440,Saint-Martial,"7,47"
33441,Saint-Martin-Lacaussade,"3,94"
33442,Saint-Martin-de-Laye,"9,56"
33443,Saint-Martin-de-Lerm,"7,02"
33444,Saint-Martin-de-Sescas,"8,19"
33445,Saint-Martin-du-Bois,"9,8"
33446,Saint-Martin-du-Puy,"9,1"
33447,Saint-Médard-de-Guizières,"10,37"
33448,Saint-Médard-d'Eyrans,"12,72"
33449,Saint-Médard-en-Jalles,"85,28"
33450,Saint-Michel-de-Castelnau,"42,61"
33451,Saint-Michel-de-Fronsac,"5,49"
33452,Saint-Michel-de-Rieufret,"18,94"
33453,Saint-Michel-de-Lapujade,"7,47"
33454,Saint-Morillon,"20,4"
33456,Saint-Palais,"9,76"
33457,Saint-Pardon-de-Conques,"6,68"
33458,Saint-Paul,"10,87"
33459,Saint-Pey-d'Armens,"4,2"
33460,Saint-Pey-de-Castets,"11,07"
33461,Saint-Philippe-d'Aiguille,"5,87"
33462,Saint-Philippe-du-Seignal,"3,38"
33463,Saint-Pierre-d'Aurillac,"6,52"
33464,Saint-Pierre-de-Bat,"8,95"
33465,Saint-Pierre-de-Mons,"9,27"
33466,Saint-Quentin-de-Baron,"8,69"
33467,Saint-Quentin-de-Caplong,"11,27"
33468,Sainte-Radegonde,"12,48"
33470,Saint-Romain-la-Virvée,"7,82"
33471,Saint-Sauveur,"21,89"
33472,Saint-Sauveur-de-Puynormand,"5,57"
33473,Saint-Savin,"33,87"
33474,Saint-Selve,"17,74"
33475,Saint-Seurin-de-Bourg,"2,47"
33476,Saint-Seurin-de-Cadourne,"15,77"
33477,Saint-Seurin-de-Cursac,"2,36"
33478,Saint-Seurin-sur-l'Isle,"8,83"
33479,Saint-Sève,"4,8"
33480,Saint-Sulpice-de-Faleyrens,"18,17"
33481,Saint-Sulpice-de-Guilleragues,"6,89"
33482,Saint-Sulpice-de-Pommiers,"9,82"
33483,Saint-Sulpice-et-Cameyrac,"15,04"
33484,Saint-Symphorien,"106,29"
33485,Sainte-Terre,"13,93"
33486,Saint-Trojan,"3,05"
33487,Saint-Vincent-de-Paul,"13,88"
33488,Saint-Vincent-de-Pertignas,"7,61"
33489,Saint-Vivien-de-Blaye,"5,69"
33490,Saint-Vivien-de-Médoc,"29,4"
33491,Saint-Vivien-de-Monségur,"15,83"
33492,Saint-Yzan-de-Soudiac,"11,14"
33493,Saint-Yzans-de-Médoc,"11,54"
33494,Salaunes,"42,64"
33495,Salignac,"13,04"
33496,Sallebœuf,"14,8"
33498,Salles,"137,98"
33499,Les Salles-de-Castillon,"10,81"
33500,Samonac,"3,9"
33501,Saucats,"89,15"
33502,Saugon,"15,5"
33503,Saumos,"57,65"
33504,Sauternes,"11,32"
33505,La Sauve,"18,64"
33506,Sauveterre-de-Guyenne,"31,75"
33507,Sauviac,"11,15"
33508,Savignac,"17,02"
33509,Savignac-de-l'Isle,"4,47"
33510,Semens,"3,67"
33511,Sendets,"8,36"
33512,Sigalens,"18,33"
33513,Sillas,"7,63"
33514,Soulac-sur-Mer,"28,89"
33515,Soulignac,"11,49"
33516,Soussac,"6,61"
33517,Soussans,"13,55"
33518,Tabanac,8
33519,Le Taillan-Médoc,"15,16"
33520,Taillecavat,"9,49"
33521,Talais,"15,27"
33522,Talence,"8,35"
33523,Targon,"25,88"
33524,Tarnès,"1,45"
33525,Tauriac,"10,51"
33526,Tayac,"7,22"
33527,Le Teich,"87,08"
33528,Le Temple,"71,83"
33529,La Teste-de-Buch,"180,2"
33530,Teuillac,"7,15"
33531,Tizac-de-Curton,"3,97"
33532,Tizac-de-Lapouyade,"9,4"
33533,Toulenne,"6,58"
33534,Le Tourne,"2,53"
33535,Tresses,"11,54"
33536,Le Tuzan,18
33537,Uzeste,"26,05"
33538,Valeyrac,"13,49"
33539,Vayres,"14,46"
33540,Vendays-Montalivet,"101,46"
33541,Vensac,34
33542,Vérac,"8,59"
33543,Verdelais,"4,75"
33544,Le Verdon-sur-Mer,"17,09"
33545,Vertheuil,"21,94"
33546,Vignonet,"4,15"
33547,Villandraut,"12,58"
33548,Villegouge,"13,84"
33549,Villenave-de-Rions,"2,56"
33550,Villenave-d'Ornon,"21,26"
33551,Villeneuve,"4,63"
33552,Virelade,"13,41"
33553,Virsac,"3,6"
33554,Yvrac,"8,48"
33555,Marcheprime,"24,56"
