Code,Communes,superficie (km²)
33001,Abzac,"13,44"
33002,Aillas,"35,13"
33003,Ambarès-et-Lagrave,"24,76"
33004,Ambès,"28,85"
33005,Andernos-les-Bains,"20,01"
33006,Anglade,"13,82"
33007,Arbanats,"7,6"
33008,Arbis,"8,74"
33009,Arcachon,"7,56"
33010,Arcins,"6,77"
33011,Arès,"48,25"
33012,Arsac,"32,6"
33013,Artigues-près-Bordeaux,"7,28"
33014,Les Artigues-de-Lussac,"10,16"
33015,Arveyres,"17,27"
33016,Asques,"6,28"
33017,Aubiac,"5,62"
33018,Aubie-et-Espessas,"7,55"
33019,Audenge,"82,09"
33020,Auriolles,"7,03"
33021,Auros,"15,32"
33022,Avensan,"52,24"
33023,Ayguemorte-les-Graves,"6,33"
33024,Bagas,"3,63"
33025,Baigneaux,"7,93"
33026,Balizac,"41,78"
33027,Barie,"5,33"
33028,Baron,"10,34"
33029,Le Barp,"107,32"
33030,Barsac,"14,48"
33031,Bassanne,"2,54"
33032,Bassens,"10,28"
33033,Baurech,"7,68"
33034,Bayas,"10,82"
33035,Bayon-sur-Gironde,"5,7"
33036,Bazas,"37,29"
33037,Beautiran,"6,35"
33038,Bégadan,"22,15"
33039,Bègles,"9,96"
33040,Béguey,"3,16"
33042,Belin-Béliet,"156,03"
33043,Bellebat,"4,87"
33044,Bellefond,"3,19"
33045,Belvès-de-Castillon,"6,61"
33046,Bernos-Beaulac,"36,8"
33047,Berson,"17,98"
33048,Berthez,"6,03"
33049,Beychac-et-Caillau,"15,62"
33050,Bieujac,"6,97"
33051,Biganos,"52,73"
33052,Les Billaux,"6,26"
33053,Birac,"10,17"
33054,Blaignac,"3,18"
33055,Blaignan,"6,83"
33056,Blanquefort,"33,72"
33057,Blasimon,"29,76"
33058,Blaye,"6,42"
33059,Blésignac,"2,5"
33060,Bommes,"5,8"
33061,Bonnetan,"4,29"
33062,Bonzac,"7,49"
33063,Bordeaux,"49,36"
33064,Bossugan,"2,42"
33065,Bouliac,"7,48"
33066,Bourdelles,"7,06"
33067,Bourg,"10,54"
33068,Bourideys,"48,44"
33069,Le Bouscat,"5,28"
33070,Brach,"28,61"
33071,Branne,"2,41"
33072,Brannens,"6,04"
33073,Braud-et-Saint-Louis,"49,24"
33074,Brouqueyran,"5,66"
33075,Bruges,"14,22"
33076,Budos,"21,1"
33077,Cabanac-et-Villagrains,69
33078,Cabara,"3,42"
33079,Cadarsac,"2,28"
33080,Cadaujac,"15,33"
33081,Cadillac,"5,44"
33082,Cadillac-en-Fronsadais,"3,81"
33083,Camarsac,"5,35"
33084,Cambes,"5,34"
33085,Camblanes-et-Meynac,"8,68"
33086,Camiac-et-Saint-Denis,"6,6"
33087,Camiran,"5,8"
33088,Camps-sur-l'Isle,"3,02"
33089,Campugnan,"6,23"
33090,Canéjan,12
33091,Cantenac,"14,26"
33092,Cantois,8
33093,Capian,"18,23"
33094,Caplong,"9,27"
33095,Captieux,"119,33"
33096,Carbon-Blanc,"3,86"
33097,Carcans,"175,4"
33098,Cardan,"4,25"
33099,Carignan-de-Bordeaux,"8,78"
33100,Cars,"11,1"
33101,Cartelègue,"11,45"
33102,Casseuil,"6,34"
33103,Castelmoron-d'Albret,"0,04"
33104,Castelnau-de-Médoc,"23,92"
33105,Castelviel,"8,02"
33106,Castets-en-Dorthe,"8,69"
33107,Castillon-de-Castets,"4,47"
33108,Castillon-la-Bataille,"5,68"
33109,Castres-Gironde,"6,97"
33111,Caudrot,"6,12"
33112,Caumont,"7,58"
33113,Cauvignac,"5,51"
