objectid,commune,id_numero,inseecom,date_maj,nom_abrege,nom_ecole
1,Belfort,7,90010,1899/12/30 00:00:00+00,Mat. Bartholdi,7 Ecole Maternelle Auguste BARTHOLDI
3,Belfort,19,90010,1899/12/30 00:00:00+00,Mat. Kergomard,19 Ecole Maternelle Pauline KERGOMARD
4,Belfort,9,90010,1899/12/30 00:00:00+00,Mat. Chateaudun,10 Ecole Maternelle CHATEAUDUN
5,Belfort,25,90010,1899/12/30 00:00:00+00,Mat. Pergaud,25 Ecole Maternelle Louis PERGAUD
6,Belfort,15,90010,1899/12/30 00:00:00+00,Mat. Hugo,15 Ecole Maternelle Victor HUGO
7,Belfort,3,90010,1899/12/30 00:00:00+00,Mat. Aubert,3 Ecole Maternelle Raymond AUBERT
8,Belfort,21,90010,1899/12/30 00:00:00+00,Mat. Luther-King,21 Ecole Maternelle Martin LUTHER KING
9,Belfort,23,90010,1899/12/30 00:00:00+00,Mat. Metzger,23 Ecole Maternelle Hubert METZGER
10,Belfort,27,90010,1899/12/30 00:00:00+00,Mat. Rucklin,27 Ecole Maternelle René RUCKLIN
11,Belfort,11,90010,1899/12/30 00:00:00+00,Mat. Dreyfus-Schmidt,11 Ecole Maternelle Pierre DREYFUS-SCHMIDT
12,Belfort,17,90010,1899/12/30 00:00:00+00,Mat. Jaurès,17 Ecole Maternelle Jean JAURES
13,Belfort,29,90010,1899/12/30 00:00:00+00,Mat. Schoelcher,29 Ecole Maternelle Victor SCHOELCHER
16,Belfort,5,90010,1899/12/30 00:00:00+00,Mat. Barres,5 Ecole Maternelle Les BARRES
17,Belfort,13,90010,1899/12/30 00:00:00+00,Mat. Géhant,13 Ecole Maternelle Emile GEHANT
321,Belfort,30,90010,2016/06/06 00:00:00+00,Mat. St-Exupéry,8 Ecole Maternelle Antoine de SAINT-EXUPERY
322,Belfort,2,90010,2016/06/06 00:00:00+00,Mat. Aragon,9 Ecole Maternelle Louis ARAGON
