NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
271;31/12/2019;18914422.53;0;0;2000;17386069.78;1526352.75;0;0;0;0
281;31/12/2019;14440195.31;0;0;56945.16;12954902.61;1117997.39;0;305354.11;0;4996.04
293;31/12/2019;34532490.69;0;0;2126;32742994.41;1052369.35;0;635572.37;99428.56;0
301;31/12/2019;47208992.55;0;0;774612.51;41307561.56;3224517.89;0;1393306.69;471335.5;37658.4
311;31/12/2019;123851606.04;0;0;0;114597279.57;8142404;0;379443.88;732478.59;0
321;31/12/2019;8078783.28;0;0;0;7736123.9;335160.09;0;7499.29;0;0
331;31/12/2019;100348888.02;0;0;15000;90232703.77;9066666.47;0;904517.78;130000;0
348;31/12/2019;76682699.59;0;0;12720;66085750.66;9736008.21;107777;439402.92;276005.82;25034.98
351;31/12/2019;47101671.25;0;0;10389.78;41540979.26;4015574.88;0;1361993.45;172733.88;0
361;31/12/2019;7503831.22;0;0;9100;6102197.8;703494.17;0;362252.19;303937.83;22849.23
371;31/12/2019;27369463.31;0;0;4581;25100796.04;1772788.42;145000.42;346297.43;0;0
388;31/12/2019;74745153.05;0;0;119166.41;66157097.51;6477193.15;0;1613928.03;377408.63;359.32
391;31/12/2019;8331802.19;300;0;17952;7773938.84;413202.04;0;98409.3100000001;28000;0
401;31/12/2019;14441057.29;0;0;26047;12064176.46;1680570.4;132598.64;537664.79;0;0
411;31/12/2019;8505618.7;0;0;2470.97;6875713.29;772299.2;45000;810135.24;0;0
428;31/12/2019;36736568.96;0;0;0;33942265.22;1773180.06;0;199812.74;817666.84;3644.1
431;31/12/2019;10385026.34;0;0;6972.08;9847267.42;505491.84;0;0;25295;0
441;31/12/2019;80324938.67;0;0;1036094.52;67991454.05;8900685.53;0;2030290.72;327120.27;39293.58
451;31/12/2019;26588575.4;0;0;0;23434656.48;1567783.45;21000;843885.14;569623.21;151627.12
461;31/12/2019;6641189.59;0;0;0;5864352.32;314744.75;0;0;434637.14;27455.38
471;31/12/2019;15569489.21;0;0;14147.4;14229175.93;1220687.36;0;105478.52;0;0
481;31/12/2019;3212522.11;0;0;0;2918675.79;261904.84;0;31941.48;0;0
493;31/12/2019;36337261.89;152100;0;712257.27;32188224.18;2409410.6;0;875269.84;0;0
501;31/12/2019;15602731.33;0;0;35359.25;13418642.33;992884.71;6333.51;668635.85;474899.24;5976.44
511;31/12/2019;26317853.35;0;0;0;21928234.74;3918923.12;0;418698.25;51464.12;533.12
521;31/12/2019;5233725.92;0;0;164063.05;4320020.81;185675.95;0;165149.11;398817;0
531;31/12/2019;6891330.35;0;0;65667.56;6411371.79;342033.5;70257.5;0;2000;0
541;31/12/2019;35333693.14;0;0;75000;31052222.68;3456002.55;71835.68;678632.23;0;0
551;31/12/2019;7627079.13;0;0;266745.03;6437458.97;788338.14;0;126421.36;0;8115.63
561;31/12/2019;27436242.7;29800;0;33100;24679017.42;1854469;173391;467101.28;199364;0
571;31/12/2019;38959949.41;0;0;38385;35093388.59;3400399;97900;329876.82;0;0
581;31/12/2019;7786779.02;0;0;25492;6482877.85;532438.43;0;509989.39;235981.35;0
598;31/12/2019;105177414.33;0;0;109212;97712658.48;7355543.85;0;0;0;0
608;31/12/2019;27695197.98;136525.71;0;195411.24;24895860.87;2467400.16;0;0;0;0
611;31/12/2019;6916961.09;0;0;4000;6469170.38;443790.71;0;0;0;0
623;31/12/2019;43254855.85;0;0;564130;37906344.84;4574572.91;0;114177.27;95630.83;0
631;31/12/2019;25812691.63;0;0;31668.8;22896474.76;2701977.26;0;182570.81;0;0
643;31/12/2019;33836535.46;0;0;193310;30758122.33;2491386.54;0;130176.68;251140.81;12399.1
651;31/12/2019;7168092.62;0;0;406335;5870956.78;698992.44;16000;71264.44;63147.96;41396
661;31/12/2019;21592938.62;0;0;6512;19919459.33;1077130.81;0;506385.78;73276.59;10174.11
671;31/12/2019;74312618.68;0;0;81511;66556708.21;7393124.86;0;281274.61;0;0
681;31/12/2019;44469707.06;0;0;31100;39635557.55;4253498.02;47177.52;502373.97;0;0
698;31/12/2019;153864573.56;0;0;0;138767858.57;15107027.99;0;0;0;-10313
701;31/12/2019;7416815.15;0;0;64459.04;6040959.1;647405.93;100000;160456.2;401182.48;2352.4
711;31/12/2019;20216626.77;0;0;13628.14;16839817.55;3026447.91;0;281733.17;55000;0
721;31/12/2019;17299745.13;0;0;4600;13729990.01;2758120.97;0;755069.74;0;51964.41
731;31/12/2019;22822915.48;0;0;0;20160397.75;1635447.95;825650;201419.78;0;0
741;31/12/2019;44467971.09;0;0;722089.32;40438467.77;3303814;0;0;0;3600
751;31/12/2019;315968687.99;0;0;153842;289751311.32;25715090.6;0;0;348444.07;0
768;31/12/2019;46128588.56;0;0;72832;41840322.83;4135807.82;79625.91;0;0;0
771;31/12/2019;75235518.53;0;0;2457113.51;64146691.95;8629320.06;2393.01;0;0;0
781;31/12/2019;118891043.56;0;0;-2690;108989934.45;9885799.11;18000;0;0;0
791;31/12/2019;12265454.63;0;0;0;11292626.48;850398.7;0;62429.45;60000;0
801;31/12/2019;19912902.36;0;0;915726.83;16646665.69;2093017.33;226945.9;23946.61;0;6600
811;31/12/2019;21085141.82;0;0;0;19693083.6;1161338.49;18436;209463.73;2820;0
821;31/12/2019;11363039.73;0;0;976;10260231.09;511199.06;0;115357.69;332371.41;142904.48
831;31/12/2019;69325213.51;0;0;371569.91;62506993.26;4508473.47;0;1104097.45;331178.34;502901.08
841;31/12/2019;32522682.26;0;0;0;30573044.38;1296123.99;10000;305849.47;337664.42;0
851;31/12/2019;17429117.45;0;0;111041.28;13680517.32;2852993.16;15986;768579.69;0;0
861;31/12/2019;17163296.12;0;0;-23366;16153674.66;755161;15383;262443.46;0;0
871;31/12/2019;15127063.73;0;0;0;13959058.16;1068444.82;0;0;99560.75;0
881;31/12/2019;12377585.24;0;0;11817;10680768.89;1504027.1;29228.74;0;130000;21743.51
891;31/12/2019;14412501.38;0;0;828;13095920.76;1203152.62;0;0;112600;0
901;31/12/2019;5317117.72;0;0;0;4945702.78;279593.42;0;91821.52;0;0
911;31/12/2019;85044929.94;5100;0;1000;78332523.62;5245074.14;0;1461232.18;0;0
921;31/12/2019;179025011.31;0;0;332371.85;159085080.84;19607558.62;0;0;0;0
931;31/12/2019;126724843.55;0;0;-446868;115725423.05;10533457.81;505878;318563.79;88388.9;0
941;31/12/2019;136289562.33;0;0;0;123018721.05;13270841.28;0;0;0;0
951;31/12/2019;84147201.54;0;0;165361.82;76962045.5;5705609.57;0;1307598.61;-113.24;6699.28
971;31/12/2019;18166073.4;7197.3;0;-6066.66;15767364.01;2397578.75;0;0;0;0
972;31/12/2019;20920890.73;0;0;336333;19553939.98;823667.63;0;206950.12;0;
973;31/12/2019;22767076.66;0;0;0;16718973.62;6048103.04;0;0;0;0
974;31/12/2019;70803424.96;0;0;819863.19;51444887.22;16415845.18;15000;1732945.09;250000;124884.28
976;31/12/2019;4324067.87;0;0;2449566.11;0;1874501.76;0;0;0;0
