X,Y,FID,DOSSIER,CODE_INSEE,NO,TYPE_VOIE,NOM_VOIE,PLAI,PLUS,PLS,TOTAL_LS,TOTAL_LGT,CONSTRUCTEUR,BAILLEUR,SUBENTION,DATE_APPRO,DATE_ODS,DATE_FIN,URL_DELIB,GlobalID
255617.625799999,6275244.3415,11,H17-009,95014,18 B,RUE,DU GENERAL DE GAULLE,7,8,6,21,31,NEXITY,FRANCE HABITATION,21000,2017/11/28 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/5c788a1231814cbdb31707ad91c0991f/data,{FAFE2FC7-CB79-42ED-88FD-5DC67D3DC812}
256230.1862,6272844.3581,12,H18-001,95598,11,PLACE,SESTRE,0,0,2,2,,sans objet,Soisy-sous-Montmorency,2000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{A6B7F39D-8C4A-4AA9-A2D2-2BDF3EA7F646}
256212.569899999,6272825.846,13,H18-001,95598,6,PLACE,SESTRE,0,0,3,3,,sans objet,Soisy-sous-Montmorency,3000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{1B67FF51-404B-40F6-B308-F84E93B88EA9}
255332.9531,6271920.142,14,H18-001,95598,1,AVENUE,DE POITOU,0,0,1,1,,sans objet,Soisy-sous-Montmorency,1000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{AC59381F-8E9A-44FC-92B4-6F24955BA539}
255370.873,6271919.8434,15,H18-001,95598,4,AVENUE,DE POITOU,0,0,1,1,,sans objet,Soisy-sous-Montmorency,1000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{967EFBB0-0A74-4A0C-86C4-173723F5028E}
256220.1732,6272867.6314,16,H18-001,95598,2,RUE,BLANCHE,0,0,2,2,,sans objet,Soisy-sous-Montmorency,2000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{1AD8CEDD-7B73-4D35-B5F0-C4D4669CD876}
257042.468400002,6272617.7181,17,H18-001,95598,24,RUE,LEON JOUHAUX,0,0,1,1,,sans objet,Soisy-sous-Montmorency,1000,0118/02/11 01:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{85866807-7A3A-4912-ABB0-F3D097490522}
256433.659400001,6273145.0142,18,H18-001,95598,5,RUE,DU PUITS GRENET,0,0,1,1,,sans objet,Soisy-sous-Montmorency,1000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{04C220E2-2053-412E-A527-C040F950D05B}
256481.134,6273121.4262,19,H18-001,95598,7,RUE,DU PUITS GRENET,0,0,3,3,,sans objet,Soisy-sous-Montmorency,3000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{13F58997-EA15-4AE4-AAC1-1EA8136F9676}
255588.9705,6273393.4346,20,H18-001,95598,5,ALLEE,DE L EUROPE,0,0,2,2,,sans objet,Soisy-sous-Montmorency,2000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{112CF450-2FD3-47C4-BB68-D577543DABD2}
256246.595199998,6272793.0643,21,H18-001,95598,2,RUE,JEAN MERMOZ,0,0,2,2,,sans objet,Soisy-sous-Montmorency,2000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{88DF36BA-F97A-44BD-B02B-CDB4AB0DC45B}
256072.223200001,6272624.0668,22,H18-001,95598,4,AVENUE,DU GENERAL DE GAULLE,0,0,2,2,,sans objet,Soisy-sous-Montmorency,2000,2018/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/48e2a149c8bd44c09f455774621e693b/data,{9CD6E355-902B-4576-AB02-2033B33E90A2}
255398.383299999,6271751.0551,23,H18-002,95598,6,AVENUE,VOLTAIRE,0,0,12,12,,sans objet,AFCM,12000,2018/04/03 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/3254912ecd4e4d548dd8d804ad6ca44d/data,{2C4DE266-428B-4297-AA46-BC5C45B8C4DE}
255521.100499999,6271709.8508,24,H18-002,95598,24,AVENUE,VOLTAIRE,0,0,11,11,,sans objet,AFCM,11000,2018/04/03 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/3254912ecd4e4d548dd8d804ad6ca44d/data,{BFB9C67F-C923-47AD-AB1C-95D468825384}
260886.6296,6280658.0434,26,H18-003,95229,90,ROUTE,DE DOMONT,4,8,0,12,47,AMETIS,PICARDIE HABITAT,24000,2018/04/03 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/7aa0835faf12411b85dcb8fe7a5ba629/data,{44095696-F816-4B2A-8997-7FDB212B77AF}
262865.211800002,6280127.1889,27,H18-004,95229,29B,,GRANDE RUE,3,4,3,10,10,PICARDIE HABITAT,PICARDIE HABITAT,20000,2018/04/03 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/dc485bfda2d54f589be3b4b9ad8fa002/data,{314C25B4-B6C5-408E-A679-3770FAC2EF70}
257827.951200001,6269414.9991,28,H18-005,95197,29,AVENUE,DE LA DIVISION LECLERC,4,3,3,10,10,sans objet,PLAINE DE FRANCE,40000,2018/04/03 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/2d556fdd6efd40749b09d12990132964/data,{8CC34FBA-DB26-4D0A-A03B-5753DA928D0E}
254798.490699999,6277791.9851,29,H18-006,95426,159,RUE,DE PARIS,11,17,7,35,35,,OPAC DE L'OISE,35000,2018/05/22 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/339e7cb7cc954fb8964c73694ecec580/data,{DAF9A30B-44D7-425C-9AA5-466DBD5C68D8}
254981.788600001,6275204.2678,30,H18-007,95369,3,RUE,HENRY DUNANT,13,12,5,30,61,OPAC DE L'OISE,OPAC DE l'OISE,66000,2018/09/25 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/b3cb15dc791a4b2eb37d9850a3cc1cff/data,{EEF81A7F-710F-40CF-8EE3-0D4587670CFC}
251288.826299999,6276133.5399,31,H18-008,95574,99,AVENUE,DU GENERAL LECLERC,9,11,8,28,91,LE BAIL,FRANCE HABITATION,56000,2018/09/25 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/7c46a3bf057f44a788eb568421c4eccf/data,{6A31372C-351A-4410-A0C3-B39A4013F012}
256693.058400001,6269544.8038,32,H18-009,95210,3,BOULEVARD,COTTE,3,5,2,10,27,EDOUARD DENIS,FRANCE HABITATION,20000,2018/09/25 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/af42c42fb439405ca67670abcec914f2/data,{7615AF85-3467-4244-A37B-E3CFC7CA70C0}
254135.601100001,6277622.18,33,H18-010,95426,6,RUE,DES METIGERS,4,6,2,12,12,SCCV LES JACINTHES,OPAC DE L'OISE,24000,2018/09/25 21:59:59,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/20c98d1bbb4241a78a66fd61399dd9f0/data,{500D7545-32CA-42EB-98D4-42BCB9F727E2}
261982.126499999,6271567.4773,34,H18-011,95288,,,,20,0,0,20,20,OPAC de l'OISE,OPAC de l'OISE,20000,2019/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/99e48986737c4af3b3e8e9620f15dbd0/data,{A9603854-A099-4189-993E-C90406A7EF19}
262114.697,6271156.6283,35,H18-011,95427,,,,38,0,0,38,38,OPAC de l'OISE,OPAC de l'OISE,38000,2019/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/99e48986737c4af3b3e8e9620f15dbd0/data,{58F15FE0-C6E3-4B83-B145-A3AD8CD7D225}
262962.670200001,6271279.6441,36,H18-011,95288,,,,35,0,0,35,35,OPAC de l'OISE,OPAC de l'OISE,35000,2019/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/99e48986737c4af3b3e8e9620f15dbd0/data,{E07E5E2D-9271-4743-86CB-5830DF04AAA4}
253479.694499999,6277122.3003,37,H18-012,95574,,,,59,8,20,87,87,Caritas Habitat,Caritas Habitat,87000,2019/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/2eba7b6d87734aa9b890a18381afbb73/data,{F0EB374E-357C-47C1-86ED-1D9EA5277028}
252756.822299998,6276221.344,38,H18-013,95574,,,,7,9,7,23,61,Bouygues Immobilier,France Habitation,46000,2019/02/12 23:00:00,,,https://agglo-plainevallee.maps.arcgis.com/sharing/rest/content/items/925f8c3dd0434894a8a0e21ed5a7dbf4/data,{2BDD3B7C-C56A-423E-A64A-7E97A1BD808D}
