code,nom,surf_km2,pop_tot,pop_mun
"4",Hainaut Cambrésis,"2943","755097","745435"
"3",Artois - Artois Douaisis,"3001","1092923","1077844"
"8",Aisne Nord - Est Somme,"4461","352179","343410"
"5",Littoral Sud,"3505","283139","276393"
"1",Littoral - Côte d'Opale,"3564","859639","844209"
"6",Oise,"5891","841252","821552"
"2",Espace Métropolitain de Lille,"985","1275578","1259598"
"7",Aisne Sud,"3977","268668","261862"
"9",Grand Amiénois - Grand Roye,"3621","387354","379673"
