OBJECTID,code_voie,metre,t_inf140,t_inf120,t_inf90,t_inf120sm,t_p5,t_p8,t_p12,t_dev2,t_sol,t_cont_rc,t_contv_ch,t_abstrot,numphoto,observatio,commune,chiffrage,fk_objet,created_user,created_date,last_edited_user,last_edited_date,rue,url_photo_avant,url_photo_apres,clc_taux_courant,clc_taux_initial,tmp_somme_taux,CreationDate,Creator,EditDate,Editor,GlobalID,SHAPE_Length
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410303,Aucune observation,SAINT-QUENTIN,700,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410303.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{A678F7BE-5E34-4476-A0A8-3207F1B2BA53},155.508026421901
17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1410310,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410310.JPG,nophoto.JPG,0,0,2,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{BC0AD386-BDDB-456D-A184-4D0F85F5E387},177.777045601691
18,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410322,Aucune observation,SAINT-QUENTIN,3300,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410322.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{096D1BCF-CB3E-463F-800A-A9E182935437},117.778920367144
19,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,10329,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P10329.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{412F4B37-FB62-43F5-A81F-E34E5917836D},31.6092734165683
20,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,1410459,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410459.JPG,nophoto.JPG,25,25,0.75,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{B3AC4AAC-34FF-4706-8AFA-862759E28241},201.108107286782
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410451,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410451.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{7D6BB646-D03E-4717-AD19-4ECA05913126},149.80914771085
22,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410450,Aucune observation,SAINT-QUENTIN,1200,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410450.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{00D18039-516B-4F9B-A7F9-A7964B412CF0},144.143475262634
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nophoto,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,nophoto.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{F067895F-5730-49AB-A01E-72384FB04D4C},34.3712971350696
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1410443,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410443.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{1D40E162-F45A-484C-84C5-EA2E849328B0},35.0333610656185
25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410438,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410438.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{2770EE1D-5A8B-412B-9E77-A9907F0CFF9F},147.319191586381
26,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410439,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410439.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{0FCBD05D-BB95-471E-9C18-E0225F6CB4E9},159.062403404718
27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1400192,Aucune observation,SAINT-QUENTIN,1900,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400192.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{FEE80A66-CC6C-4F05-B1E8-D8BFF7CC7DAF},37.2735982546186
28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1400180,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400180.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{AF6BC67E-EBEE-4CD3-B642-5F032E59A4DF},130.784780206403
29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1400173,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400173.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{1554EE30-09F1-407E-91AE-4034EE0947AB},77.6133669275828
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nophoto,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,nophoto.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{D3063294-97D4-4CCE-8D0E-34451294602A},2.74600385390315
31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1400194,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400194.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{C7FF3656-4A45-42EE-9DC6-BC46A4814820},155.906009205106
32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1400197,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400197.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{EA2002A5-7839-4241-990E-9C5797A2F469},73.6452397782557
33,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1410290,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410290.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{533974C5-BBEF-44D6-A4D5-E6288430061C},161.669291818266
34,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410285,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410285.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{4215C269-D8B3-426F-ACAE-E28CC7B094FD},153.297833466518
35,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410282,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410282.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{18E17268-9409-4E7F-A6FF-809305414182},72.6253189584911
36,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1410277,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410277.JPG,nophoto.JPG,0,0,1.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{682E40AC-56B4-46FA-AC0E-AED354EDAFE7},184.20574034532
37,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1410274,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410274.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{9011CB26-561D-41B4-97C4-B5A31B41EEA2},94.0110047844392
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1410270,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410270.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{B4BB3527-C3B3-4C3F-8286-68FE749B93EB},147.712332545356
39,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1410271,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410271.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{AC19215C-33E5-4E3E-BB95-95ACD549F5B3},146.302917089725
40,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1410333,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410333.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{AABDA277-2337-4AAB-8212-1B653A90ECA8},66.2180172702271
41,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1410331,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410331.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{87C56F1B-64E9-483D-AD5B-3FE21EF7656C},51.7001160033921
42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1410331,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410331.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{1B280762-9BC2-4C0F-B254-A8B97726B6CC},70.5378418311045
43,0,0,0,0,0,0,0.25,0,0,0.25,1,0,0,0,1410268,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410268.JPG,nophoto.JPG,0,0,1.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{95585729-2D37-44C1-A38D-2A9FDB0C303A},67.0054476907049
