X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.4354833020001,-20.9220487429999,214,1,Allée F.Vincent,Le Brulé,HS,CINOR,26/08/2019,30/08/01
55.438041717,-20.921663687,215,1,Sentier Mercure,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.4393064110001,-20.917064336,216,1,Arrêt R. des Bambous PK9 sous kiosque,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.440444461,-20.913147538,217,1, R. des Bambous arrêt Arthur Raimbaud,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.4415187700001,-20.9111595549999,218,2, R. des Bambous arrêt les Mandarines et kiosque,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.440445213,-20.9100909709999,219,1, R. des Bambous arrêt Pluis d'Or,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.4408873990001,-20.9101503809999,220,1, R. des Bambous park au dessous arrêt Pluis d'Or,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.4343857600001,-20.91505755,221,4,Zone de loisir le Brulé,Le Brulé,RAS,CINOR,26/08/2019,30/08/01
55.441480332,-20.905092301,222,1,Maison Quartier Bassin Couderc,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4414177040001,-20.904426793,223,1,Allée des Topazes arrêt Bassin Couderc,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4444563590001,-20.9047139219999,224,2,Allée des Topazes arrêt Tourmaline,La Bellepière,mont.HS désc.RAS,CINOR,26/08/2019,30/08/01
55.4428254580001,-20.9024898939999,225,1,Allée des Topazes arrêt St. Monique,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4431487210001,-20.900358915,226,2,Allée des Topazes arrêt des Amétthystes,La Bellepière,mont.RAS désc.HS,CINOR,26/08/2019,30/08/01
55.4431129100001,-20.9002240839999,227,1,Rue des Amétthystes prés de la boutique,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4446006900001,-20.900738256,228,1,Allée des Topazes face arrêt des Citrines,La Bellepière,mont.RAS,CINOR,26/08/2019,30/08/01
55.4445111200001,-20.900409714,229,1,Allée des Topazes arrêt des Citrines,La Bellepière,désc.RAS,CINOR,26/08/2019,30/08/01
55.444484281,-20.900131787,230,1,Allée des Topazes prés de l'école Canal Brulé,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4438430120001,-20.897586159,231,1,Allée des Topazes arrêt Beryls Bleus sans desc.,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4428579410001,-20.896678106,232,1,Allée des Topazes arrêt Grenats,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.445427404,-20.8969874009999,233,1,Allée des Topazes arrêt des Rubis,La Bellepière,HS,CINOR,26/08/2019,30/08/01
