Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",59145,169663,2.87,509.70
"Sante et Affaires sociales",28952,73056,2.52,482.98
Economie,19069,67578,3.54,492.76
"Jeunesse et Education",16479,45590,2.77,535.29
"Societe et Politique de la ville",16432,42901,2.61,586.03
"Agriculture et Developpement durable",8373,25474,3.04,507.30
"Emploi et Travail",7400,33241,4.49,445.07
"Securite et Justice",4888,23509,4.81,510.35
"Europe et Monde",1312,11965,9.12,606.17
