id;titre;annee
1;Robin des bois;2014
2;Christophe Mae;2014
3;Stromae;2014
4;Beyonce & Jay-Z;2014
5;Tal;2014
6;Franck Dubosc;2014
7;Patrick Bruel;2014
8;One Direction;2014
9;Rolling Stones;2014
10;Indochine;2014
11;Florent Pagny;2014
12;Laurent Gerra;2014
13;Main square festival;2014
14;Chinese Man, Deluxe, Coll, Taiwan MC, Youthstar;2014
15;Les restos du coeur;2014
16;Stars 80;2014
17;Pascal Obispo;2014
18;André Rieu;2014
19;Bernard Lavilliers;2014
20;Justin Timberlake;2014
