"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"53","35","35288","2019","03528819A0170","32","2",,"SNC BATIMALO","50774112200018","23","boule","de la Tour d'Auvergne",,,"35400","SAINT MALO",,"100",,"Boule","Theodore Botrel / rue du C",,,"35400","SAINT-MALO",,"0479AL","0481AL",,2,1982,,,,1,15,19,3,7,0,0,0,45,45,,"1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,3431,0,0,0,"7",2019-12-31,"2019-12-20",
"53","35","35288","2019","03528819A0178","80","2",,"SCI COBO","81370377400014","17","rue","de Maubeuge",,,"75009","PARIS",,"100","15","Chemi","des Couardes",,,"35400","SAINT-MALO",,"0182DA","0183DA","0649DA",2,3070,,,,0,0,0,0,0,0,0,0,0,0,"1","2",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,20,19,0,0,0,"4",2019-12-31,"2019-12-19",
"53","35","35288","2019","03528819A0213","90","2",,,,,,"Parc d'Activite des 4 Rout",,,"22270","JUGON LES LACS",,"100","27","rue","de la Goeletrie",,,"35400","SAINT-MALO",,"0267BC","0269BC","0342BC",1,20568,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,"1",2019-12-31,,
"53","35","35288","2019","03528819A0220","90","2",,"SAS COPIN'IMMO","840948673 RCS","35","route","de Lohon",,,"35580","GOVEN",,"100","21","rue","De l'Insdustrie",,,"35400","SAINT-MALO",,"0101AI",,,1,296,,,,0,0,0,1,1,0,0,0,2,2,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,332,0,0,"14",2019-12-31,,
"53","35","35288","2019","03528819A0236","90","2",,"SCCV LES MARETTES","EN COURS","12","rue","Bonnet",,,"35430","SAINT PERE MARC EN POULET",,"100","30","rue","des Marettes",,,"35400","SAINT-MALO",,"0129VM",,,1,915,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,74,172,0,0,0,"4",2019-12-31,,
"53","35","35297","2019","03529719B0002","90","2","SEP","SEP MEWEN","48921901400011","7",,"RUE D ORLEANS",,,"35000","RENNES",,"100","38",,"RUE DE DINAN",,,"35290","SAINT-MEEN-LE-GRAND",,"0416AC","0415AC","0067AC",2,6438,,,,0,0,5,6,1,0,0,12,0,12,"2","1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,997,0,0,0,"7",2019-12-31,"2019-05-02",
"53","35","35306","2019","03530619A0008","90","2",,"SSCV LA CROIX HAMON","84072703600013",,,,,"43316","35432","SAINT-JOUAN DES GUERETS",,"100","7","Rue","Raoulet Brindejonc",,,"35430","SAINT-PERE MARC EN POULET",,"0135AB",,,2,705,,,,0,0,0,0,0,0,0,1,15,16,,"1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,100,1193,0,100,0,"14",2019-12-31,"2019-07-04",
"53","35","35314","2019","03531419A0014","90","2",,"SAS RESFAMILIARIS","51128385500027","6","rue","d'Acaulis",,,"35520","LA MEZIERE",,"100","13","rue","Besnier",,,"35430","SAINT-SULIAC",,"0170AH","0378AH",,1,423,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,161,66,0,17,0,"12",2019-12-31,,
"53","35","35315","2019","03531519M0005","80","2",,"DOMO INVEST","85176047000019","12",,"Rue de la Voie Romaine","ZA Le Tronchay",,"35250","SAINT SULPICE LA FORET",,"100",,"rue","de la Voie Romaine",,,"35250","SAINT SULPICE LA FORET",,"1797A","1829A",,2,1000,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,154,0,0,0,"14",2019-12-31,"2019-12-06",
"53","35","35327","2019","03532719P0080","10","2",,"MAISONS INEA","837634773","3",,"RUE DE FOUGERAY",,,"35500","VITRE",,"100","LOT 1",,"LOTISSEMENT LE DOMAINE DU",,,"35530","SERVON-SUR-VILAINE",,"0109AV",,,2,350,,,,0,0,0,0,1,0,0,1,0,1,"1","1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,118,0,0,0,"5",2019-12-31,"2019-12-17",
"53","35","35334","2019","03533419M0032","90","2",,"NEOTOA","34749837000027","41","boule","de Verdun",,"61161","35011","RENNES",,"100",,,"Lot C21",,,"35235","THORIGNE FOUILLARD",,"0207AO","0224AO","0434BH",2,2601,,,,0,5,8,6,1,0,0,0,20,20,,"1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,1486,0,0,0,"7",2019-12-31,"2019-12-12",
"53","35","35334","2019","03533419M0059","90","2","Societe anonyme a directoire","GROUPE LAUNAY","40775698000048","19","boule","de Beaumont",,"71202","35012","RENNES CEDEX",,"100",,"lieud","l'Omelais",,,"35235","THORIGNE FOUILLARD",,"0123AN","0160AN","0218AN",1,2870,,,,0,0,17,29,7,0,0,0,53,53,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,3573,0,0,0,"7",2019-12-31,,
"53","35","35345","2019","03534519E0006","90","2","SCI COUTAREL",,"44798332600024",,,"ZA Le Bois du Breil",,,"35190","Saint-Domineuc",,"100",,,"Rue des Negociants",,,"35190","Treverien",,"111AB",,,1,6290,,,,0,2,4,2,2,0,0,5,6,11,"2",,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,0,1158,0,0,0,"7",2019-12-31,,
"53","35","35353","2019","03535319M0016","90","2","SCIC HLM","SOCOBRET","30358759600048","1","rue","du Scorff","CS 54221",,"35042","RENNES",,"100",,"rue","des Glenans","Lot I2",,"35132","VEZIN LE COQUET",,"0720AP",,,1,3193,,,,0,22,24,4,0,0,0,0,50,50,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,3306,0,0,0,"7",2019-12-31,,
"53","35","35353","2019","03535319M0017","90","2","SCIC HLM","SOCOBRET","30358759600048","1","rue","du Scorff","CS 54221",,"35042","RENNES",,"100",,,,"Ilot I3",,"35132","VEZIN LE COQUET",,"0720AP",,,1,60494,,,,0,11,13,2,1,0,0,0,27,27,"4",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,1760,0,0,0,"7",2019-12-31,,
"53","35","35360","2019","03536019V0095","90","2",,"SNC ARISTIDE","85134622100019","103",,"ROUTE DE VANNES",,,"44803","ST HERBLAIN CEDEX",,"100",,,"RUE JEAN MARIE CHOLEAU",,,"35500","VITRE",,"0023DK",,,1,3108,,,,0,31,15,4,1,0,0,0,51,51,"4",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,3072,0,0,0,"14",2019-12-31,,
"53","35","35360","2019","03536019V0098","90","2",,"SNC ARISTIDE","85134622100019","103",,"ROUTE DE VANNES",,,"44803","SAINT HERBLAIN CEDEX",,"100",,,"AVENUE LE GONIDEC DE TRAIS","RUE JEAN-MARIE CHOLEAU",,"35500","VITRE",,"0023DK",,,1,9261,,,,1,56,39,0,0,0,0,0,0,104,"4",,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,0,5780,658,0,0,"14",2019-12-31,,
"53","35","35363","2019","03536319M0012","90","2",,"SARL HAMSTER","33224941600162","6","rue","des Loges",,,"35135","CHANTEPIE",,"100","8","rue","de la Cave Donjean",,,"35131","PONT PEAN",,"0523AK",,,1,642,,,,0,0,0,0,0,2,0,2,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,228,0,0,0,"7",2019-12-31,,
"53","35","35363","2019","03536319M0014","90","2",,"SAS LAMOTTE CONSTRUCTEUR","72920099800031","5","boule","Magenta",,"11214","35012","RENNES CEDEX",,"100","64","route","de Nantes",,,"35131","PONT PEAN",,"0073AJ","0074AJ","0358AJ",1,3235,,,,0,25,22,6,1,0,0,0,54,54,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,225,3300,0,225,0,"12",2019-12-31,,
"24","36","36062","2019","03606219S0004","80","2",,"MAIRIE DE CUZION","21360062000016","35","Rue","du Pré Brétory",,,"36190","CUZION",,"100",,"Rue","du Couvent","Bonnu",,"36190","CUZION",,"203D",,,2,915,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"1",2019-12-31,"2019-11-22",
"24","36","36159","2019","03615919N0035","20","2",,"OPAC 36",,"90","Avenu","Charles de Gaulle",,"115","36002","CHATEAUROUX",,"100",,"Rue","de la Charbonniere-Allee C",,,"36330","LE POINCONNET",,"0240AO","0241AO","0258AO",2,0,,,,3,15,3,0,0,0,0,21,0,21,"1","1",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,1098,0,0,0,"7",2019-12-31,"2019-12-13",
"24","36","36165","2019","03616519S0008","90","2",,"Commune de Pouligny Saint Pierre","21360165100010","1",,"Place des Combattants d'AF",,,"36300","POULIGNY-SAINT-PIERRE",,"100","8",,"Rue des Plantes",,,"36300","POULIGNY-SAINT-PIERRE",,"1195F","1363F",,1,145,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,73,19,0,0,0,"4",2019-12-31,,
"24","36","36189","2019","03618919S0005","43","2","COMMUNE DE ST DENIS DE JOUHET",,,"4","PL","DE L EGLISE",,,"36230","Saint-Denis-de-Jouhet",,"100",,,"14 JUILLET 1789","CERE",,"36230","Saint-Denis-de-Jouhet",,"367AB","196AB",,2,6937,,,,0,4,2,0,0,0,0,6,0,6,"1","1",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,483,0,0,0,"14",2019-12-31,"2019-12-18",
