"BP 2013"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1827170	1236068,91
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	591101,09
	"Total de la section Fonctionnement"	1827170	1827170
"BP 2013"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1304915,19	1584363
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	227550	10543
"Reports"	"Solde d'exécution de la section Investissement reporté"	62440,81	0
	"Total de la section Investissement"	1594906	1594906
	"TOTAL DU BUDGET"	3422076	3422076
