NOM;TYPE;NNSTAR;PLACES;HEBERG;PMR;ADRESSE;WEB;SUPERF_HA;X_WGS84;Y_WGS84
Domaine de la Ville Huchet;privé;4;107;91;Accès handicapés aux équipements;Route de la Passagère;http://www.lavillehuchet.com/;6,3;-1.986965;48.615121
Camping de la Fontaine;privé;3;43;42;Accès handicapés aux équipements + 1 chalet accessible PMR;49 rue de la Fontaine aux Pèlerins;http://www.campinglafontaine.com/;1,54;-1.959291;48.657925
Aire d'accueil camping-cars des Ilots;municipal;0;150;0;Accès handicapés parking extérieur, bus, plage du havre de Rothéneuf;Avenue de la Guimorais;http://www.saint-malo.fr/tourisme/campings-aire-camping-cars/aire-daccueil-camping-cars-des-ilots/;2,2;-1.96295366052224;48.6805172362462
Camping de la Cité d'Alet;municipal;2;300;0;Accès handicapés aux équipements (sanitaires et bureau d'accueil);Allée Gaston Buy;http://www.ville-saint-malo.fr/tourisme/campings-aire-camping-cars/camping-de-la-cite-dalet/;5,35;-2.02977631370025;48.6364086931434
