"CODE","LIBELLE","ADRESSE","TYPE","TOTAL","type","COMMUNE","id","LaMetro","LeGresivaudan","PaysVoironnais",lon,lat
"AGENCE_METRO_VELO_CAMPUS","AGENCE METRO VELO CAMPUS","BIBLIOTHÈQUE (AVENUE DE LA)","AGENCE METRO-VELO","0","MVA","Saint-Martin-d'Hères","AGENCE_METRO_VELO_CAMPUS","true","false","false",5.7697,45.193071
"AGENCE_METRO_VELO_GARE_DE_GRENOBLE","AGENCE METRO VELO GARE DE GRENOBLE","ÉMILE GUEYMARD (RUE)","AGENCE METRO-VELO","0","MVA","Grenoble","AGENCE_METRO_VELO_GARE_DE_GRENOBLE","true","false","false",5.714565123053317,45.19209430074016
