LE PRADET;;
;;
ARRETE PREFECTORAL DU 04/07/2016;;
N°;BUREAUX;ADRESSES
1;SALLE DU CONSEIL MUNICIPAL;Parc Victor Cravéro, 83220 Le Pradet
2;"FOYER DES ANCIENS ""L'ACROPOLE""";Rue Joseph Lantrua, 83220 Le Pradet
3;MAISON DES ASSOCIATIONS;Place du 8 Mai, 83220 Le Pradet
4;MAISON DES ASSOCIATIONS;Place du 8 Mai, 83220 Le Pradet
5;GROUPE SCOLAIRE CHARLES SANDRO;Rue Adrien Pellegrin, 83220 Le Pradet
6;GROUPE SCOLAIRE CHARLES SANDRO;Rue Adrien Pellegrin, 83220 Le Pradet
7;GROUPE SCOLAIRE CHARLES SANDRO;Rue Adrien Pellegrin, 83220 Le Pradet
8;GROUPE SCOLAIRE MARCEL PAGNOL;Rue Marie Mauron, 83220 Le Pradet
9;GROUPE SCOLAIRE MARCEL PAGNOL;Rue Marie Mauron, 83220 Le Pradet
10;MAISON DES ASSOCIATIONS;Place du 8 Mai, 83220 Le Pradet
