Nom;Sous-catégorie;Détail;Description;Téléphone;Site Internet;Adresse;Code postal et ville
Horaires normaux;Mairie;Ouverture le lundi de 8h30 à 12h et de 13h30 à 18h, les mardi, mercredi, vendredi de 8h30 à 12h et de 13h30 à 17h30, le Jeudi de 8h30 à 17h30;Tous services;0329795600;www.barleduc.fr;12 rue Lapique;55000 Bar-le-Duc
Horaires été;Mairie;Ouverture du lundi au vendredi de 8h30 à 12h et de 13h30 à 17h30;Tous services;0329795600;www.barleduc.fr;12 rue Lapique;55000 Bar-le-Duc
