"entityid","collectivite_distributrice","insee","nombre_d_abonnes_2008","nombre_d_abonnes_2011","nombre_d_abonnes_2013","Perte_reseau (m3)","volume_2011_produits_en_m3","Part_fixe_délégataire_2012","Part_fixe_délégataire_2013","Part_variable_délégataire_m3_2012 ","Part_variable_délégataire_m3_2013","Part_fixe_collectivité_ 2012 ","Part_fixe_collectivité_ 2013","Part_Variable_collectivité "
"AEP","MONACIA ","2A163",482,508,508,9818,58394,"71,72 €","73,25 €","0,77 €","0,79 €","11,90 €","11,90 €","0,24 €"
"EU","MONACIA ","2A163",361,361,361,,16688,"32,00 €","32,10 €","0,50 €","0,50 €","1,82 €","1,82 €","0,15 €"
