Departement,Population,Depense-totales-colleges,Dépenses-fonctionnement-colleges,Depenses-investissement-colleges,Nb-total-eleves,Depenses-fonctionnement/eleve,Depenses-investissement/eleve
Ain,636916,55 343 353 €,27 170 883 €,28 172 470 €,33562,810 €,839 €
Aisne,554512,35 403 711 €,24 095 859 €,11 307 852 €,26332,915 €,429 €
Allier,353742,14 373 883 €,6 365 911 €,8 007 972 €,14027,454 €,571 €
Alpes-de-Haute-Provence,166726,8 161 790 €,3 079 115 €,5 082 675 €,7333,420 €,693 €
Hautes-Alpes,144640,5 266 180 €,2 661 127 €,2 605 053 €,6399,416 €,407 €
Alpes-Maritimes,1096741,70 309 717 €,51 959 158 €,18 350 559 €,48017,1 082 €,382 €
Ardèche,330017,14 855 392 €,7 160 735 €,7 694 657 €,15928,450 €,483 €
Ardennes,289075,8 107 369 €,6 316 017 €,1 791 352 €,12531,504 €,143 €
Ariège,158379,5 609 974 €,2 271 307 €,3 338 667 €,6676,340 €,500 €
Aube,314825,11 611 465 €,4 381 706 €,7 229 758 €,14369,305 €,503 €
Aude,374868,38 684 614 €,17 108 240 €,21 576 374 €,15725,1 088 €,1 372 €
Aveyron,289257,9 451 702 €,5 919 271 €,3 532 431 €,11642,508 €,303 €
Bouches-du-Rhône,2022604,155 215 153 €,96 874 321 €,58 340 832 €,95036,1 019 €,614 €
Calvados,706635,28 373 297 €,14 316 393 €,14 056 904 €,32547,440 €,432 €
Cantal,152797,11 769 097 €,8 964 118 €,2 804 979 €,5822,1 540 €,482 €
Charente,366587,25 680 490 €,20 204 810 €,5 475 680 €,14556,1 388 €,376 €
Charente-Maritime,652610,40 870 917 €,29 308 936 €,11 561 980 €,27550,1 064 €,420 €
Cher,319693,15 914 423 €,6 664 843 €,9 249 580 €,12384,538 €,747 €
Corrèze,249452,7 264 606 €,4 250 784 €,3 013 822 €,10062,422 €,300 €
Corse-du-Sud,151621,0 €,0 €,0 €,5880,0 €,0 €
Haute-Corse,173889,0 €,0 €,0 €,6665,0 €,0 €
Côte-d'Or,543648,35 361 864 €,27 651 846 €,7 710 017 €,23039,1 200 €,335 €
Côtes-d'Armor,617565,47 667 279 €,27 978 013 €,19 689 266 €,28036,998 €,702 €
Creuse,125714,7 796 168 €,6 496 838 €,1 299 331 €,4191,1 550 €,310 €
