"Espèce","Date","Lieu"
"  Trifolium subterraneum L.  ","06/04/2013","Eglise de Brocas"
"  Valerianella olitoria (L.) Pollich  ","06/04/2013","Eglise de Brocas"
,,
"  Achillea millefolium L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Anthoxanthum odoratum L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Castanea sativa Mill. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Crataegus laevigata (Poir.) DC. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Cytisus scoparius (L.) Link ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Geranium rotundifolium L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Lupinus angustifolius L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Ornithopus compressus L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Ornithopus perpusillus L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Ornithopus sativus Brot. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Plantago lanceolata L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Quercus robur L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Ranunculus bulbosus L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Trifolium campestre Schreb. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Vicia hirsuta (L.) Gray ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
"  Vicia sativa L. ","25/04/2013","L'Espérance, sol sabloneux, peu humifère"
,,
"  Cerastium glomeratum Thuill.  ","06/04/2013","Chateau d'Aon, pelouse"
"  Lamium purpureum L.  ","06/04/2013","Chateau d'Aon, pelouse"
"  Mibora minima (L.) Desv.  ","06/04/2013","Chateau d'Aon, pelouse"
"  Ornithogalum umbellatum L.  ","06/04/2013","Chateau d'Aon, pelouse"
,,
" Achillea millefolium L. ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Agrostis stolonifera L. ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Aira caryophyllea L. ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Aphanes australis Rydb.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Cardamine hirsuta L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Cerastium pumilum Curtis  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Erodium aethiopicum subsp. pilosum (Thuill.) Guitt.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Festuca rubra L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Herniaria glabra L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Lamium purpureum L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Leontodon saxatilis subsp. saxatilis  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Luzula campestris (L.) DC.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Malva neglecta Wallr.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Mibora minima (L.) Desv.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Ornithopus perpusillus L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Plantago coronopus L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Plantago lanceolata L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Poa annua var. annua  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Poa pratensis subsp. pratensis  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Ranunculus bulbosus L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Senecio vulgaris L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Sonchus asper (L.) Hill  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Spergula arvensis L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Trifolium dubium Sibth.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Trifolium subterraneum L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Valerianella olitoria (L.) Pollich  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
" Veronica arvensis L.  ","06/04/2013","Etang de Brocas, pelouse thérophytique sur sables humifères tassés"
,,
"  Achillea millefolium L.  ","07/04/2013","Trépedes, lande mésophile"
"  Calluna vulgaris (L.) Hull  ","07/04/2013","Trépedes, lande mésophile"
"  Cytisus scoparius (L.) Link  ","07/04/2013","Trépedes, lande mésophile"
"  Drosera intermedia Hayne  ","07/04/2013","Trépedes, lande mésophile"
"  Erica ciliaris Loefl. ex L.  ","07/04/2013","Trépedes, lande mésophile"
"  Erica cinerea L.  ","07/04/2013","Trépedes, lande mésophile"
"  Erica scoparia L.  ","07/04/2013","Trépedes, lande mésophile"
"  Frangula alnus Mill.  ","07/04/2013","Trépedes, lande mésophile"
"  Hedera helix L.  ","07/04/2013","Trépedes, lande mésophile"
"  Helianthemum halimifolium (L.) Pers.  ","07/04/2013","Trépedes, lande mésophile"
"  Hydrocotyle vulgaris L.  ","07/04/2013","Trépedes, lande mésophile"
"  Lonicera periclymenum L.  ","07/04/2013","Trépedes, lande mésophile"
"  Luzula campestris (L.) DC.  ","07/04/2013","Trépedes, lande mésophile"
"  Pinus pinaster Aiton  ","07/04/2013","Trépedes, lande mésophile"
"  Plantago lanceolata L.  ","07/04/2013","Trépedes, lande mésophile"
"  Potentilla splendens Ramond ex DC.  ","07/04/2013","Trépedes, lande mésophile"
"  Pteridium aquilinum (L.) Kuhn  ","07/04/2013","Trépedes, lande mésophile"
"  Quercus pyrenaica Willd.  ","07/04/2013","Trépedes, lande mésophile"
"  Ranunculus aquatilis L.  ","07/04/2013","Trépedes, lande mésophile"
"  Rumex acetosella L.  ","07/04/2013","Trépedes, lande mésophile"
"  Sanguisorba minor Scop.  ","07/04/2013","Trépedes, lande mésophile"
"  Spergula arvensis L.  ","07/04/2013","Trépedes, lande mésophile"
"  Thymus serpyllum L.  ","07/04/2013","Trépedes, lande mésophile"
"  Ulex europaeus L.  ","07/04/2013","Trépedes, lande mésophile"
"  Ulex minor Roth  ","07/04/2013","Trépedes, lande mésophile"
