X,Y,FID,genre,nom,educprio,ancienom,site_pre,tps,adresse,type,export,source
343337.45,7686039.73,83,Ecole primaire,Bory Saint Vincent, , , , ,"4, chemin Bois Rouge - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
343667.95,7687123.58,84,Ecole primaire,Grand Canal, , , , ,"79, chemin Grand Canal - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342309.47,7687701.22,85,Lycée,Georges Brassens, , , , ,"16, Avenue Georges Brassen - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
337293.95,7685412.57,86,Ecole primaire,Le Brûlé,REP, ,NON,OUI,11 chemin des Frangipaniers- Le Brûlé - 97400 Saint-Denis,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
336248.86,7689395.3,87,Ecole élémentaire,Philippe-Vinson, , , , ,"34, route des Palmiers - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342129.36,7687231.39,88,Ecole maternelle,Les Bancouliers, , , , ,"8, allée des Kentias - Le Moufia - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340697.75,7687811.1,89,Collège,Montgaillard,REP+, , , ,"20, Rue du Stade,  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341709.18,7686400.74,90,Ecole maternelle,Bois de Nèfles, , , , ,"5, Chemin des Vetivers -  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
344423.1328,7687078.0024,91,Ecole maternelle,Les Cocotiers, , , , ,"6, Chemin du Case - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
334019.6791,7685921.0257,92,Ecole primaire,Les Affouches, , , , ,"52, route Antide Boyer - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339283.7,7689985.28,93,Ecole maternelle,Les Flamboyants, , , , ,"157, rue Jules Auber - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338883.45,7689911.25,94,Ecole élémentaire,Application Léon Dierx, ,application sainte marie, , ,"62, rue Ste-Marie - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341463.71,7689061.52,95,Lycée professionnel,Amiral Lacaze, , , , ,"1, Avenue Stanislas Gimart,-  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341549.64,7686317.07,96,Ecole élémentaire,Bois De Nèfles, , , , ,"151, route des Ananas - 97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342404.0,7688947.99,97,Collège,Elie Wiesel,REP+,CHAUDRON, , ,"1, Rue Bridet - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338777.71,7688635.47,98,Lycée,Bellepierre, , , , ,"51, Boulevard Gaston Monnerville - - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340686.51,7689361.86,99,Lycée,Lislet Geoffroy, , , , ,"15, Rue Christol de Sigoyer  - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
344363.33,7687514.1,100,Collège,Emile Hugot, , , , ,"7, Rue d'Emmerez de Chamoy -  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341707.3,7686936.52,101,Collège,Bois De Nèfles, , , , ,"5, Chemin des Franciscéas -  97490 Ste-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340848.61,7689415.01,102,Lycée professionnel,Julien Rontaunay, , , , ,Cité scolaire du Butor - 97490 Ste-Clotilde,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340873.57,7689534.76,103,Lycée,Leconte De Lisle, , , , ,"3, Allée des Etudiants - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
