Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",71976,151427,2.10,390.98
"Agriculture et Developpement durable",55937,94019,1.68,514.87
"Sante et Affaires sociales",49373,94788,1.92,460.52
Economie,33492,61405,1.83,428.09
"Jeunesse et Education",26409,52565,1.99,505.89
"Emploi et Travail",17661,40048,2.27,431.66
"Societe et Politique de la ville",17080,33701,1.97,547.67
"Securite et Justice",11573,33399,2.89,444.83
"Europe et Monde",1077,7223,6.71,515.06
