cell1,total
NAME,FRANCE_PROVENANCE_SUD-GIRONDE
Aquitaine,464
Ile-de-France,433
Midi-Pyrénées,179
Poitou-Charentes,104
Centre,91
Languedoc-Roussillon,85
Provence-Alpes-Côte d'Azur,77
Rhône-Alpes,70
Nord-Pas-de-Calais,68
Picardie,68
