Bureau de vote;1 Parc de jeux des 5 sens;2 La caravane à livres;3 Un café associatif à la bifurk;4 La guinguette;5 Une terrasse végétale à la Villeneuve;6 Plan d'eau punk;7 Stationnements vélos qui protègent les piétons;8 Un jardin sans frontières;9 Des défibrillateurs cardiaques en accès libre;10 Frigos solidaires;11 Géfélépots;12 Atelier de couture solidaire;13 Cuisine du cœur;14 Notre poulailler collectif à l’ile verte;15 Les jardins de Léo;16 Toiture végétalisée pédagogique et biodiverse;17 Les cendriers ludiques;18 Parc mistral au sommet;19 Glisses urbaines au fil de l’eau;20 Un lieu de bien être à la Villeneuve;21 La plage de Grenoble : be cool!
Bureau de vote mobile;377;358;431;412;279;294;472;530;571;658;495;431;799;324;281;471;414;497;304;230;307
Bureau de vote mobile secteur 1;25;17;10;13;9;21;19;23;28;24;20;12;20;21;14;12;13;19;10;8;12
Bureau de vote mobile secteur 2;4;0;1;2;0;2;1;1;2;1;0;3;1;2;0;0;0;3;0;0;2
Bureau de vote mobile secteur 3;33;18;17;12;21;15;22;33;34;38;24;21;29;6;17;24;34;14;15;11;17
Bureau de vote mobile secteur 4;42;33;107;39;31;28;43;33;42;77;67;42;104;17;26;49;32;39;31;19;29
Bureau de vote mobile secteur 5;8;9;4;6;3;3;8;5;9;6;3;11;10;2;2;4;10;13;0;3;11
Bureau de vote mobile secteur 6;41;23;14;26;24;19;33;29;43;34;17;32;37;7;11;34;20;34;22;27;23
Hôtel de Ville;99;63;63;82;36;69;117;71;133;106;75;97;114;66;49;100;95;143;65;49;78
Maison de l'International;20;23;29;31;9;24;32;33;29;42;37;23;37;20;18;38;25;48;21;15;16
MDH Abbaye;92;52;30;35;21;22;73;66;88;62;32;49;75;26;36;53;46;111;39;31;56
MDH Anatole France;49;18;15;18;8;8;21;23;37;23;12;33;45;6;19;15;13;27;12;8;20
MDH Capuche;54;36;74;38;13;22;53;37;53;52;29;39;52;19;53;33;35;35;15;16;37
MDH Centre Ville;23;20;12;28;8;18;36;26;35;29;17;27;31;25;13;26;24;35;14;13;15
MDH Chorier Berriat;93;78;49;75;28;50;111;88;88;90;66;93;99;42;56;76;66;81;53;28;45
MDH Le Patio;73;33;52;34;96;15;45;54;73;52;42;57;74;18;36;56;26;38;24;130;42
MDH Teisseire;52;30;48;39;29;19;39;51;45;54;23;35;44;18;32;41;22;42;14;30;23
Vote en ligne;417;311;608;708;295;370;922;598;554;785;695;571;774;403;559;883;623;695;425;345;224
TOTAL;1502;1122;1564;1598;910;999;2047;1701;1864;2133;1654;1576;2345;1022;1222;1915;1498;1874;1064;963;957
