Groupe;Total dépenses 2018;Total crédit 2018;Solde 2018;% consommé
Front National - Rassemblement Bleu Marine ;390 642,52 €;404 044,76 €;13 402,24 €;96,68%
les Républicains et Apparentés;395 933,08 €;675 982,00 €;280 048,92 €;58,57%
Groupe UDI - Union Centriste;330 135,71 €;388 921,00 €;58 785,29 €;84,89%
