OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
18,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 1 planche",612985a3-4d72-48e8-b62d-0a56b48941ef
19,PASSERELLE, ,ARDON,Dolines de Limère,Relevé terrain,Bois sans garde corps,4a195c79-fe52-4c8b-87f7-23141c01c02a
20,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Fixe 2 m, 2 pieds rond",1a386e86-9544-4a17-bc52-7d51daccbd37
21,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Fixe 2 m, 2 pieds rond",ba7e681f-162b-4e1f-9a7a-e8fdbbc5d33e
22,POTEAU, ,ARDON,Dolines de Limère,Relevé terrain,"Poteau rond, 37 cm * 12 cm",571d99fc-af09-4bbd-b603-e9898ea0fd98
23,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"2 m, 2 poteaux carrés * 10,5 cm",3d4ba2a8-d51c-4f8b-8eac-c765607602b9
24,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Pivotante, 3 pieds",72b22798-d4c5-4341-8223-3680ae4b9139
25,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",ff0d830b-4088-4913-8e5d-23fdfdc32615
26,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",5f3c29b2-8a5b-4092-bb4c-902c77f13a4e
27,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"2 m, 2 poteaux carrés * 10,5 cm",2939dcab-e6fd-4bdc-b004-87011ba73483
28,JEUX, ,CHATEAUNEUF-SUR-LOIRE,Parc de Châteauneuf,Relevé terrain,Multiples,113907a5-2704-433d-86d6-d69de9d05441
29,ABRI, ,CHATEAUNEUF-SUR-LOIRE,Parc de Châteauneuf,Relevé terrain,Temple,bb04e101-ef60-40c0-a719-b37613a30f8c
30,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, sans dossier",46a94af7-ae2c-4771-9434-2fb91ab1fa8e
31,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 1 planche",bcb9f709-9f39-4a44-a96f-f51422b4bc36
32,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Coulissante, 2 pieds",668841da-d16d-4581-8fdc-c18d0b0e4937
33,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Fixe 3 m, 2 pieds rond",4f7d3627-59ba-4b78-bb82-9c22f00f8b24
34,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Fixe 3 m, 2 pieds rond",5d408071-1a40-472f-bdf4-55b66162578c
35,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Coulissante, 2 pieds",d9dfa9b5-abca-4afe-a568-72aaba07441e
36,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, sans dossier",677da205-9e5c-4086-b457-9c309fc3414f
