FID,OBJECTID,CODCOMM,SUPF,Shape_Leng,Shape_Area,NOMZA,SUPERFICIE,Shape__Area,Shape__Length
1,0, ,0,1010.17434177,38620.5016904,ZA Ormes,3.86205016904,86144.0975341797,1508.13892100871
2,0,450006,0,8606.55683399,3302129.45743,ZA de Limère,330.212945743,7329325.19030762,12827.4789732086
3,0,450302,0,5764.79118987,911805.9661,ZA Portes du Loiret,91.18059661,2033093.47363281,8608.41474086756
4,0,450154,0,2159.16634209,213525.843401,ZA de Gidy,21.3525843401,476528.92565918,3224.68210870853
5,0,450154,0,1791.63173044,191417.297451,ZA de Gidy,19.1417297451,427259.07019043,2675.96894164699
