id;cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_sigture_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;Code rÈgion;Code dÈpartement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_fincieres;type_aides_fincieres;renovation_globale;marque;modele;energie_chauffage_avt_travaux;energie_chauffage_installee;generateur;type_chaudiere;cop;puissance;rendement;Colonne1
2118;;1810;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;FROLING;PE1;;BOIS;CHAUDIERE;STANDARD;;20;;
2119;1980;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;MCZ;AMY;BOIS;GAZ;POELE;;;6;;
2120;11496;1536;13032;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;ATLANTIC;EXCELIA;FIOUL;ELECTRICITE;PAC;AIR-EAU;;14;;
2121;4925;1000;5925;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;BOSCH;OLIO CONDENS 4000F;FIOUL;FIOUL;CHAUDIERE;A CONDENSATION;;22;;
2122;13111;1536;14647;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;OKOFEN;;BOIS;BOIS;CHAUDIERE;STANDARD;;15;;
2123;;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;MITSUBISHI;ECODAN HYDROBOX;;ELECTRICITE;PAC;AIR-EAU;;;;
2124;;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;FRISQUET ;HYDROCONFORT CONDENSATION;;GAZ;CHAUDIERE;A CONDENSATION;;20;94;
8;;;3912.796209;;;;;;;H1;32;;;INDIVIDUEL;1949;de 1945 ‡ 1973;;100;;;RÈnovation ‡ plusieurs gestes de travaux ;;;AUTRES;GAZ;AUTRES;;;;;
2125;;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;VIESSMANN ;VITODENS 100;;GAZ;CHAUDIERE;A CONDENSATION;;;;
18;;;4045.49763;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1976;de 1974 ‡ 1990;;100;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
19;;;19777.25118;;;;;;0;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;140;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;;AUTRES;;;;;
39;;;10600;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;131;;;RÈnovation ‡ plusieurs gestes de travaux ;;;BOIS;ELECTRICITE;AUTRES;;;;;
40;;;4688.151659;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;83;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;BOIS;POELE;;;;;
