Nom;Sous-catégorie;Détail;Description;Téléphone;Site Internet;Email;Adresse;Code postal et ville
Les Hirondelles;Restaurant;Cuisine traditionnelle;;01 47 41 00 20;;;18 rue Schlumberger;92430 - Marnes-la-Coquette
La Tête Noire;Restaurant;Cuisine traditionnelle;;01 47 41 87 68;;;4 place de la Mairie;92430 - Marnes-la-Coquette
La Scuderia;Restaurant;Pizzeria;;01 47 01 24 10;;;35 bd. De Jardy;92430 - Marnes-la-Coquette
El Paso;Restauration rapide-Sandwicherie;Pizzeria;Livraisons de pizzas;01 47 41 86 87;;;10 rue Yves Cariou;92430 - Marnes-la-Coquette
