Classe;Acces;Longueur;Repartition_par_classe
Autoroute;Libre;3633;30,56%
Autoroute;A péage;8252,04;69,43%
Nationale;Libre;10050,2;99,59%
Nationale;A péage;40,57;0,40%
Départementale;;372894;100%
