Organisme ayant libéré de la donnée en Aquitaine,Nom du portail où on peut trouver les jeux de données
Airaq,http://www.airaq.asso.fr/385-exportez-les-donnees.html
Comité départemental du Tourisme,"partenaires.tourisme-aquitaine.fr/fr/tourisme_aquitaine,20,m1_C2CAF929.html "
Communauté d'agglomération Pau-Pyrénées ,opendata.agglo-pau.com
Communauté urbaine de Bordeaux,data.lacub.fr
DATALOCAL.FR : Conseil régional d'Aquitaine ,http://www.datalocale.fr/drupal7/servicespergroupe/17047
"Données de la DREAL (Direction Régionale de l‘Environnement, de l‘Aménagement et du Logement) ",www.donnees.aquitaine.developpement-durable.gouv.fr/DREAL/
Faune aquitaine,faune-aquitaine.org
Ijba,http://www.datajournalismelab.fr/
Mairie de Bordeaux,opendata.bordeaux.fr
Mairie de Brocas,opendata.brocas.fr
Pigma,www.pigma.org/opendata
