code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,SENDETS,MAIRIE 1,,,,45.0842,-0.627255
33,,SILLAS,MAIRIE 1,,,,45.0842,-0.627255
33,,BIEUJAC,MAIRIE 1,1 Place de la Mairie - 33490 Saint-Martin-de-Sescas,,,44.5756,-0.162062
33,,BOMMES,MAIRIE 1,,,,44.5756,-0.162062
33,,CASTETS-EN-DORTHE,MAIRIE 1,,,,44.5756,-0.162062
33,,FARGUES,MAISON DU TEMPS LIBRE 1,,,,45.038,-0.439545
33,,LANGON ,CENTRE DES CARMES 1, Langon,,,44.5567,-0.249224
33,,LANGON ,ENCEINTE DU LYCEE JEAN MOULIN 2, Langon,,,44.5567,-0.249224
33,,LANGON ,ESPACE ANDRE MOURLANNE 3, Langon,,,44.5567,-0.249224
33,,LANGON ,FOYER DES PERSONNES AGEES 4, Langon,,,44.5567,-0.249224
33,,LANGON ,SALLE FRANCOIS MAURIAC 5,,,,,
33,,LEOGEATS,MAIRIE 1,,,,44.5756,-0.162062
33,,MAZERES,MAIRIE 1,,,,44.5756,-0.162062
33,,ROAILLAN,MAIRIE 1,,,,44.5756,-0.162062
33,,SAINT-LOUBERT,MAIRIE 1,,,,44.5756,-0.162062
33,,SAINT-PARDON-DE-CONQUE,MAIRIE 1,,,,44.5756,-0.162062
33,,SAINT-PIERRE-DE-MONS,SALLE COMMUNALE 1,,,,,
33,,SAUTERNES,MAIRIE 1, Sauternes,,,44.5345,-0.343195
33,,TOULENNE,COMPLEXE SPORTIF 1, Toulenne,,,44.5585,-0.26263
33,,CASTELMORON-D'ALBRET,MAIRIE 1,,,,44.5345,-0.343195
33,,COURS-DE-MONSEGUR,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,COUTURES,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,DIEULIVOL,SALLE MUNICIPALE 1, Dieulivol,,,44.6742,0.109641
33,,LANDERROUET-SUR-SEGUR (,MAIRIE 1,,,,44.5345,-0.343195
33,,MESTERRIEUX,MAIRIE 1,,,,44.5345,-0.343195
33,,MONSEGUR,MAIRIE 1,,,,44.5345,-0.343195
33,,NEUFFONS,MAIRIE 1,,,,44.5345,-0.343195
33,,LE PUY,MAIRIE 1,,,,44.5345,-0.343195
33,,RIMONS,MAIRIE 1,,,,44.5345,-0.343195
33,,ROQUEBRUNE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINTE-GEMME,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-SULPICE-DE-GUILLERAGUES,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-VIVIEN-DE-MONSEGUR,MAIRIE 1,,,,44.5345,-0.343195
33,,TAILLECAVAT,MAIRIE 1,,,,44.5345,-0.343195
33,,AURIOLLES,MAIRIE 1,,,,44.5345,-0.343195
33,,CAUMONT,MAIRIE 1,,,,44.5345,-0.343195
33,,CAZAUGITAT,MAIRIE 1,,,,44.5345,-0.343195
33,,LANDERROUAT,MAIRIE 1,,,,44.5345,-0.343195
33,,LISTRAC-DE-DUREZE,MAIRIE 1,,,,44.5345,-0.343195
33,,MASSUGAS,MAIRIE 1,,,,44.5345,-0.343195
33,,PELLEGRUE,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,SAINT-ANTOINE-DU-QUEYRET,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-FERME,SALLE D'ACCUEIL DE L'ABBAYE 1, Saint-Ferme,,,44.6942,0.056495
33,,SOUSSAC,MAIRIE 1,,,,44.5345,-0.343195
33,,ARBANATS,MAIRIE 1,,,,44.5345,-0.343195
33,,BARSAC,GROUPE SCOLAIRE  1,Rue du Groupe Scolaire - 33410 Cadillac,,,44.6381,-0.317452
33,,BARSAC,GROUPE SCOLAIRE  2,Rue du Groupe Scolaire - 33410 Cadillac,,,44.6381,-0.317452
33,,BUDOS,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,CERONS,GROUPE SCOLAIRE  1,,,,44.6381,-0.317452
