FID,STATUT,CANTON,ARRONDISSE,URL_LOIRET,COM_RURALE,POPULATION,SURFACE_KM,EPFL,INFOS,SIREN_EPCI
56,Chef-lieu de canton,FERRIERES-EN-GATINAIS,MONTARGIS,http://www.loiret.com/ferrieres-en-gatinais-5190.htm?RH=ACCUEIL,non,3395,27.4,Communes ayant délibérée favorablement, ,244500419
57,Commune simple,OUTARVILLE,PITHIVIERS,http://www.loiret.com/boisseaux-5045.htm?RH=ACCUEIL,oui,422,7.3,Communes ayant délibérée favorablement, ,244500542
58,Commune simple,SAINT-JEAN-DE-BRAYE,ORLEANS,http://www.loiret.com/semoy-5350.htm?RH=ACCUEIL,non,3107,7.7,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
59,Commune simple,FLEURY-LES-AUBRAIS,ORLEANS,http://www.loiret.com/chanteau-5077.htm?RH=ACCUEIL,oui,1281,28.9,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
60,Commune simple,AMILLY,MONTARGIS,http://www.loiret.com/mormant-sur-vernisson-5260.htm?RH=ACCUEIL,oui,125,11,Communes ayant délibérée favorablement, ,244500203
61,Commune simple,INGRE,ORLEANS,http://www.loiret.com/ormes-5279.htm?RH=ACCUEIL,non,3435,18.2,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
62,Chef-lieu de canton,OUTARVILLE,PITHIVIERS,http://www.loiret.com/outarville-5284.htm?RH=ACCUEIL,oui,1433,46.6,Communes ayant délibérée favorablement,Nouvel adhérent 2011,244500542
63,Commune simple,MALESHERBES,PITHIVIERS,http://www.loiret.com/coudray-5110.htm?RH=ACCUEIL,oui,404,12.5,Communes ayant délibérée favorablement,Nouvel adhérent 2013,244500526
64,Commune simple,NEUVILLE-AUX-BOIS,ORLEANS,http://www.loiret.com/rebrechien-5305.htm?RH=ACCUEIL,oui,1363,19.4,Communes ayant délibérée favorablement, ,244500484
65,Chef-lieu de canton,FLEURY-LES-AUBRAIS,ORLEANS,http://www.loiret.com/fleury-les-aubrais-5192.htm?RH=ACCUEIL,non,21171,10.1,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
66,Chef-lieu de canton,CHATEAU-RENARD,MONTARGIS,http://www.loiret.com/chateau-renard-5088.htm?RH=ACCUEIL,oui,2280,40.4,Communes ayant délibérée favorablement,Nouvel adhérent 2011,200022994
67,Commune simple,BRIARE,MONTARGIS,http://www.loiret.com/la-bussiere-5066.htm?RH=ACCUEIL,oui,793,35,Communes ayant délibérée favorablement, ,244500443
68,Commune simple,PATAY,ORLEANS,http://www.loiret.com/boulay-les-barres-5054.htm?RH=ACCUEIL,oui,1120,12.4,Communes ayant délibérée favorablement, ,200035764
69,Commune simple,CHECY,ORLEANS,http://www.loiret.com/boigny-sur-bionne-5042.htm?RH=ACCUEIL,non,2164,7.5,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
70,Commune simple,AMILLY,MONTARGIS,http://www.loiret.com/chevillon-sur-huillard-5096.htm?RH=ACCUEIL,oui,1308,19.4,Communes ayant délibérée favorablement, ,244500203
71,Commune simple,AMILLY,MONTARGIS,http://www.loiret.com/saint-maurice-sur-fessard-5337.htm?RH=ACCUEIL,oui,1160,15.4,Communes ayant délibérée favorablement, ,244500203
72,Commune simple,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/epieds-en-beauce-5169.htm?RH=ACCUEIL,oui,1429,40.2,Communes ayant délibérée favorablement, ,244100707
73,Commune simple,BRIARE,MONTARGIS,http://www.loiret.com/bonny-sur-loire-5048.htm?RH=ACCUEIL,oui,2049,26.7,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500443
74,Commune simple,NEUVILLE-AUX-BOIS,ORLEANS,http://www.loiret.com/loury-5232.htm?RH=ACCUEIL,oui,2519,34.3,Communes ayant délibérée favorablement, ,244500484
75,Commune simple,OUZOUER-SUR-LOIRE,ORLEANS,http://www.loiret.com/bray-en-val-5058.htm?RH=ACCUEIL,oui,1366,22.2,Communes ayant délibérée favorablement, ,244500518
76,Commune simple,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/coulmiers-5113.htm?RH=ACCUEIL,oui,535,14.2,Communes ayant délibérée favorablement, ,200030229
77,Commune simple,CLERY-SAINT-ANDRE,ORLEANS,http://www.loiret.com/mezieres-lez-clery-5249.htm?RH=ACCUEIL,oui,793,27,Communes ayant délibérée favorablement, ,244500450
78,Commune simple,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/charsonville-5086.htm?RH=ACCUEIL,oui,588,24.1,Communes ayant délibérée favorablement, ,244100707
79,Commune simple,SULLY-SUR-LOIRE,ORLEANS,http://www.loiret.com/saint-florent-le-jeune-5322.htm?RH=ACCUEIL,oui,464,37.6,Communes ayant délibérée favorablement, ,200034841
80,Commune simple,SULLY-SUR-LOIRE,ORLEANS,http://www.loiret.com/isdes-5215.htm?RH=ACCUEIL,oui,590,43.9,Communes ayant délibérée favorablement, ,200034841
81,Chef-lieu de canton,MEUNG-SUR-LOIRE,ORLEANS,http://www.loiret.com/meung-sur-loire-5247.htm?RH=ACCUEIL,non,6086,20.7,Communes ayant délibérée favorablement, ,200030229
82,Commune simple,BEAUGENCY,ORLEANS,http://www.loiret.com/baule-5032.htm?RH=ACCUEIL,non,2043,11.9,Communes ayant délibérée favorablement, ,200018323
83,Chef-lieu de canton,BEAUGENCY,ORLEANS,http://www.loiret.com/beaugency-5036.htm?RH=ACCUEIL,non,7659,16.5,Communes ayant délibérée favorablement, ,200018323
84,Commune simple,LA FERTE-SAINT-AUBIN,ORLEANS,http://www.loiret.com/ligny-le-ribault-5226.htm?RH=ACCUEIL,oui,1305,59,Communes ayant délibérée favorablement, ,200005932
85,Commune simple,COURTENAY,MONTARGIS,http://www.loiret.com/chantecoq-5078.htm?RH=ACCUEIL,oui,524,15.9,Communes ayant délibérée favorablement, ,200030559
86,Chef-lieu de canton,INGRE,ORLEANS,http://www.loiret.com/ingre-5213.htm?RH=ACCUEIL,non,7899,20.7,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
87,Commune simple,OUZOUER-SUR-LOIRE,ORLEANS,http://www.loiret.com/dampierre-en-burly-5149.htm?RH=ACCUEIL,oui,1260,48.3,Communes ayant délibérée favorablement, ,244500518
88,Commune simple,ARTENAY,ORLEANS,http://www.loiret.com/gidy-5199.htm?RH=ACCUEIL,oui,1585,23.5,Communes ayant délibérée favorablement, ,200035764
89,Commune simple,SAINT-JEAN-LE-BLANC,ORLEANS,http://www.loiret.com/saint-denis-en-val-5318.htm?RH=ACCUEIL,non,7162,17.3,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
90,Commune simple,OLIVET,ORLEANS,http://www.loiret.com/saint-hilaire-saint-mesmin-5326.htm?RH=ACCUEIL,non,2847,14.1,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
91,Chef-lieu de canton,CHECY,ORLEANS,http://www.loiret.com/checy-5094.htm?RH=ACCUEIL,non,8208,15.5,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
92,Commune simple,INGRE,ORLEANS,http://www.loiret.com/la-chapelle-saint-mesmin-5080.htm?RH=ACCUEIL,non,9658,8.9,Communes ayant délibérée favorablement,Nouvel adhérent 2012,244500468
93,Chef-lieu de canton,LA FERTE-SAINT-AUBIN,ORLEANS,http://www.loiret.com/la-ferte-saint-aubin-5191.htm?RH=ACCUEIL,non,7127,86.3,Communes ayant délibérée favorablement, ,200005932
94,Commune simple,CLERY-SAINT-ANDRE,ORLEANS,http://www.loiret.com/jouy-le-potier-5218.htm?RH=ACCUEIL,oui,1324,50.8,Communes ayant délibérée favorablement, ,244500450
