"Élections législatives 2012 – 1er tour"	"Nombre de voix"	"% Voix/Exprimés"
"Mme Laurence MOTOMAN (VEC)"	9	2,37
"M. Philippe CAZAUBON (CEN)"	22	5,8
"M. Arnaud LAGRAVE (FN)"	29	7,65
"M. Alain BACHE (FG)"	17	4,49
"M. Alain VIDALIES (SOC)"	205	54,09
"Mme Emmanuelle COUTURIER (EXG)"	1	0,26
"M. Christian SOURBES (EXG)"	1	0,26
"M. Alain DUDON (UMP)"	90	23,75
"Mme Carole CARLIER (ECO)"	2	0,53
"M. Laurent PINSOLLE (DVD)"	0	0
"M. Serge AVIGNON (PRV)"	3	0,79
		
"Élections législatives 2012 – 2ème tour"	"Nombre de voix"	"% Voix/Exprimés"
"M. Alain VIDALIES (SOC)"	222	60,99
"M. Alain DUDON (UMP)"	142	39,01
