X,Y,OBJECTID,ID_CANI,ID_COMM,LIEU,ADRESSE
4.36265532318973,48.9566960973191,1,C001,Châlons-en-Champagne,Accueil Hôtel de Ville,Place Foch
4.36303066195703,48.9563151690925,2,C002,Châlons-en-Champagne,Accueil Service de la Ville,Rue d'Orfeuil
4.3631291628416,48.9568572351414,3,C003,Châlons-en-Champagne,Service Communal Hygiène et Santé,Place Godart
4.34372344108721,48.9494379838794,4,C004,Châlons-en-Champagne,Mairie Annexe,"24, rue Henri Dunant"
4.3601142047536,48.9564430361521,5,C005,Châlons-en-Champagne,Office de tourisme,"3, Quai des Arts"
4.33294379628428,48.9628949562366,6,C006,Fagnières,Association châlonnaise de protection des animaux,Chemin du Platier
4.38006786558245,48.9398219021171,7,C007,Châlons-en-Champagne,Club Canin,"150B, avenue des Alliés"
4.38000327660264,48.9640324806804,8,C008,Châlons-en-Champagne,Centre Social et Culturel Vallée Saint-Pierre,"1, rue Jean-Sébastien Bach"
4.35594428408861,48.9690767936533,9,C009,Châlons-en-Champagne,Centre Social et Culturel Emile Schmit,"75, rue Emile Schmit"
4.343689053914,48.9494595163246,11,C011,Châlons-en-Champagne,Centre Social et Culturel Rive Gauche - Dunant,"24, rue Henri Dunant"
4.37052747362451,48.9437016069606,13,C013,Châlons-en-Champagne,Centre Social et Culturel Verbeau,Rue Georges Barbier
4.35949723214103,48.9567494094105,14,C014,Châlons-en-Champagne,Société Nationale Immobilière (S.N.I),"5, Place des 4 Fils Aymon"
4.36226595737471,48.957681438101,15,C015,Châlons-en-Champagne,PluriHabitat - Effort Remois,"5, Quai Barbat"
4.37348756535218,48.9548978867466,16,C016,Châlons-en-Champagne,Renaissance Immobilière Châlonnaise (R.I.C),"55, Boulevard Hippolyte Faure"
4.37990441015895,48.9372281518319,17,C017,Châlons-en-Champagne,Bibliothèque Diderot,"11, rue du Groupe Libération Nord"
4.3583604094914,48.9675000772482,18,C018,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Schmit,"27, rue Emile Schmit"
4.37084808949844,48.944865728143,19,C019,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Verbeau,"15, avenue du 29 août 1944"
4.34444493297973,48.9492903473415,20,C020,Châlons-en-Champagne,Châlons-en-Champagne Habitat Antenne Bidée,"20, rue Henri Dunant"
4.33851529213208,48.9489537583967,21,C021,Châlons-en-Champagne,ICF Nord-Est,Square Resistance Fer
4.38295450893799,48.9354881673184,417,C022,Châlons-en-Champagne,Camping Municipal,Rue de Plaisance
4.35574582345695,48.9547665788703,418,C023,Châlons-en-Champagne,Relais Nautique,Boulevard Victor Hugo
4.39384653220873,48.9483982210013,419,C024,Châlons-en-Champagne,Terranimo,Avenue Marc Hamet
4.39601159222248,48.9421074428438,420,C025,Châlons-en-Champagne,Jardiland,Z.A.C des Escarnotières
4.35451754981498,48.9621369519567,421,C026,Châlons-en-Champagne,Cercle Vert,"43, Chaussée du Port"
