REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA33000138,recensement immeubles MH,Aquitaine , Gironde , Monségur,Aquitaine,33,Monségur,33289,Croix de la Passion,,propriété de la commune,,"La croix, y compris son socle de pierre, en totalité (cad. non cadastré, domaine public) : inscription par arrêté du 24 janvier 2011",2011/01/24 : inscrit MH,Roy (ferronnier),1er quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA24000078,recensement immeubles MH,Aquitaine , Dordogne , Montignac,Aquitaine,24,Montignac,24291,Maison Duchêne,,propriété de la commune,,La maison en totalité (cad. AR 152) : inscription par arrêté du 12 décembre 2011,2011/12/12 : inscrit MH,Gastambide Jacques (architecte),1er quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA24000077,recensement immeubles MH,Aquitaine , Dordogne , Gout-Rossignol,Aquitaine,24,Gout-Rossignol,24199,Eglise Saint-Pierre-Es-Liens,,propriété de la commune,,"L' église en totalité (cad. AB 22) et la croix sise à son chevet (cad. domaine public, non cadastré) : inscription par arrêté du 14 décembre 2011",2011/12/14 : inscrit MH,,limite 12e siècle 13e siècle , 16e siècle , 18e siècle,,,,,,,,,,,,,,,,,
PA64000077,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Hendaye,Aquitaine,64,Hendaye,64260,"Villa "" Bakhar Etchea "" de Pierre Loti",,propriété d'une personne privée,,"La villa en totalité, avec ses terrasses, ses tourelles et son jardin (cad. AM 73) : inscription par arrêté du 16 décembre 2010",2010/12/16 : inscrit MH,,1er quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA64000076,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Hendaye,Aquitaine,64,Hendaye,64260,"Villa dite "" villa mauresque """,,propriété d'une personne privée,,La villa (cad. AM 28) et son jardin (cad. AM 27) en totalité : inscription par arrêté du 28 décembre 2010,2010/12/28 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA64000075,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Carresse-Cassaber,Aquitaine,64,Carresse-Cassaber,64168,Château de Cassaber,,propriété d'une personne privée,,Le château en totalité (cad. 169 A 487) : inscription par arrêté du 16 décembre 2010,2010/12/16 : inscrit MH,,1ère moitié 17e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA64000074,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Biriatou,Aquitaine,64,Biriatou,64130,Eglise Saint-Martin de Biriatou,,propriété de la commune,,L'église en totalité (cad. AE 27) : inscription par arrêté du 16 décembre 2010,2010/12/16 : inscrit MH,,14e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA64000073,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Bidarray,Aquitaine,64,Bidarray,64124,Pont Noblia sur la Nive,VC 3,propriété de la commune,,"Le pont en totalité (cad. non cadastré, sur la voie communale n° 3) : inscription par arrêté du 16 décembre 2010",2010/12/16 : inscrit MH,,14e siècle,,,,,,,,,,,,,,,,,,,
PA47000080,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Calignac,Aquitaine,47,Calignac,47045,Domaine de Lassalle,,propriété d'une personne privée,,"Le domaine en totalité, composé du château, des communs attenants, de la galerie voûtée fermant l'ancien jardin, de la chapelle, de l'ancien jardin et des terrasses et de la partie de l'allée d'arrivée jouxtant l'escalier (cad. B 260, 261 "," C 36, 41, 359, cf plan annexé à l'arrêté) : inscription par arrêté du 28 décembre 2010",2010/12/28 : inscrit MH,,12e siècle , limite 16e siècle 17e siècle , 18e siècle,,,,,,,,,,,,,,,,
PA40000076,recensement immeubles MH,Aquitaine , Landes , Solférino,Aquitaine,40,Solférino,40303,Ferme de Pouy,,propriété d'une société privée,,"La ferme en totalité (cad. M 630, 639, 346, 348 à 350) : inscription par arrêté du 16 décembre 2010",2010/12/16 : inscrit MH,Crouzet Henri (architecte),3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA40000075,recensement immeubles MH,Aquitaine , Landes , Hastingues,Aquitaine,40,Hastingues,40120,Maison des Jurats,,propriété privée,,"La maison en totalité (cad. AC 158, 159) : inscription par arrêté du 29 juillet 2010",2010/07/29 : inscrit MH,,15e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA33000137,recensement immeubles MH,Aquitaine , Gironde , Casseuil,Aquitaine,33,Casseuil,33102,Domaine de Montalban,,propriété privée,,"La maison de Montalban avec ses papiers peints chinois, la terrasse, les communs avec la chapelle, la basse-cour avec ses murs de clôture et sa tour d'angle circulaire (cad. AB 54, cf plan annexé à l'arrêté) : inscription par arrêté du 28 décembre 2010",2010/12/28 : inscrit MH,,18e siècle , 1er quart 19e siècle,,,,,,,,,,,,,,,,,,
PA33000136,recensement immeubles MH,Aquitaine , Gironde , Virelade,Aquitaine,33,Virelade,33552,Château de Virelade,,propriété d'une personne privée,,"Le château en totalité, ainsi que la chapelle, les communs et le parc avec ses fabriques, ses murs de clôture et ses portails (cad. OB4 606 à 616, 630, 792) : inscription par arrêté du 27 juillet 2010",2010/07/27 : inscrit MH,Bühler (architecte paysagiste) , Duphot Théodore (architecte),milieu 19e siècle,,,,,,,,,,,,,,,,,,
PA33000135,recensement immeubles MH,Aquitaine , Gironde , Saint-Symphorien,Aquitaine,33,Saint-Symphorien,33484,Grange muletière,,propriété d'une société privée,,La grange muletière en totalité (cad. AC 48) : inscription par arrêté du 16 février 2010,2010/02/16 : inscrit MH,Lamire André (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000134,recensement immeubles MH,Aquitaine , Gironde , Gardegan-et-Tourtirac,Aquitaine,33,Gardegan-et-Tourtirac,33181,Château de Pitray,,propriété d'une société privée,,"Le château, ainsi que son parc, ses jardins et ses communs (à l'exclusion du chai récent situé sur la parcelle OA 55) , en totalité (cad. OA 52 à 65, 67, 68, 72, 163, 165 à 169, 706) : inscription par arrêté du 19 avril 2010",2010/04/19 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000133,recensement immeubles MH,Aquitaine , Gironde , Floirac,Aquitaine,33,Floirac,33167,Observatoire aquitain des sciences de l'univers,,propriété de l'Etat,affecté au ministère chargé de l'éducation nationale,"Les bâtiments suivants ainsi que les instruments qu'ils contiennent de l'observatoire astronomique : bâtiment Georges Rayet, bâtiment Bouguer, équatorial photographique, grand équatorial, petit équatorial, maison du directeur, pavillon métallurgique, radioscope (ou radiotélescope) Würzburg, table équatoriale (cad. AP 80 : télescope Würzburg, petit équatorial et pavillon métallurgique, 76 : maison du directeur, 92 : bâtiment Rayet, 339 : bâtiment Bouguer, 341 : grand équatorial, 342 : équatorial photographique, 343 : table équatoriale) : inscription par arrêté du 2 avril 2010",2010/04/02 : inscrit MH,,4e quart 19e siècle , 3e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000132,recensement immeubles MH,Aquitaine , Gironde , Cadillac,Aquitaine,33,Cadillac,33081,"Cimetière dit "" cimetière des Oubliés """,,propriété de la commune,,"Le carré militaire des "" Gueules cassées "" ainsi que les deux carrés de sépultures situés de part et d'autre dudit carré militaire et le mur de clôture du même "" cimetière des Oubliés "" (murs extérieurs et mur séparant le "" cimetière des Oubliés "" du cimetière communal) (cad. A 1010) : inscription par arrêté du 26 avril 2010, modifié par arrêté du 14 septembre 2010",2010/04/26 : inscrit MH , 2010/09/14 : inscrit MH,,20e siècle,,,,,,,,,,,,,,,,,,
PA33000131,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Ancienne institution nationale des Sourdes et Muettes,Abbé-de-l'Epée (rue de l') 87,propriété d'un établissement public de l'Etat,affecté au ministère chargé de l'intérieur,"L'ancienne institution en totalité, avec ses clôtures et sa parcelle d'assiette (cad. KX 38) : inscription par arrêté du 20 septembre 2010",2010/09/20 : inscrit MH,Thiac Adolphe (maître d'oeuvre) , Labbé (architecte) , Villiet J. (peintre) , Coëffard (sculpteur),3e quart 19e siècle,,,,,,,,,,,,,,,,
PA33000125,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Maison dite maison Couturier,Rénière (rue) 28 , Fontaine-Bouquière (impasse de la) 25,propriété privée,,La maison en totalité (cad. HE 120) : classement par arrêté du 15 juillet 2010,2010/07/15 : classé MH,,2e quart 18e siècle,,,,,,,,,,,,,,,,,,
PA24000076,recensement immeubles MH,Aquitaine , Dordogne , Saint-Jean-d'Estissac,Aquitaine,24,Saint-Jean-d'Estissac,24426,Hospice de Malrigou,,propriété d'une personne privée,,L'hospice et l'ancienne orangerie devenue atelier de Pol Chambost (cad. AL 18) : inscription par arrêté du 16 décembre 2010,2010/12/16 : inscrit MH,,1ère moitié 15e siècle , 3e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA24000075,recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Chignac,Aquitaine,24,Saint-Pierre-de-Chignac,24484,Chai de Lardimalie,,propriété d'une société privée,,"Le chai avec l'ensemble plancher et foudres du cuvier et son terrain d'assiette, en totalité (cad. A 10) : inscription par arrêté du 2 avril 2010",2010/04/02 : inscrit MH,,1er quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA24000074,recensement immeubles MH,Aquitaine , Dordogne , La Bachellerie,Aquitaine,24,Bachellerie (La),24020,Chartreuse des Fraux,,propriété d'une société privée,,"La chartreuse, ses dépendances, son mur et ses deux portails, en totalité (cad. ZM 57) : inscription par arrêté du 1er juin 2010",2010/06/01 : inscrit MH,,4e quart 18e siècle,,,,,,,,,,,,,,,,,,,
PA47000079,recensement immeubles MH,Aquitaine ,47, Allez-et-Cazeneuve,Aquitaine,47,Allez-et-Cazeneuve,47006,Château de Tombebouc,,propriété d'une société privée,,"Le château avec son enceinte, son fossé et le pont qui enjambe ce dernier, en totalité (cad. D 461) : inscription par arrêté du 9 février 2009",2009/02/09 : inscrit MH,,14e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA40000074,recensement immeubles MH,Aquitaine ,40, Aire-sur-l'Adour,Aquitaine,40,Aire-sur-l'Adour,40001,Carmel Saint-Joseph,Maubec (rue) 6,propriété d'une association,,"Tous les éléments bâtis et non bâtis et les murs de clôture qui les enserrent (tout élément extérieur à ces murs étant exclus de la protection) (cad. CC 53, 61) : inscription par arrêté du 20 janvier 2009",2009/01/20 : inscrit MH,Villeneuve de (architecte),3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000130,recensement immeubles MH,Aquitaine ,33, Talence,Aquitaine,33,Talence,33522,Château Belair,Clément-Thomas (rue) 40,propriété d'une personne privée,,Le château en totalité avec sa clôture sur la rue Clément-Thomas et ses deux portails en demi-lune (cad. AX 48) : inscription par arrêté du 6 mars 2009,2009/03/06 : inscrit MH,,4e quart 18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA33000129,recensement immeubles MH,Aquitaine ,33, Mérignac,Aquitaine,33,Mérignac,33281,Domaine du Bourdieu dit Maison Laffitte,11-Novembre (place du) 2,propriété d'une personne privée,,Le domaine en totalité avec sa clôture et son portail (cad. AY 79) : inscription par arrêté du 6 mars 2009,2009/03/06 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA33000128,recensement immeubles MH,Aquitaine ,33, Léognan,Aquitaine,33,Léognan,33238,Château Belin,Gambetta (cours) 9,propriété d'une personne privée,,"Le château en totalité avec ses dépendances, l'ensemble de la parcelle et sa clôture (cad. AA 9) : inscription par arrêté du 6 mars 2009",2009/03/06 : inscrit MH,,milieu 18e siècle,,,,,,,,,,,,,,,,,,,
