Section;Sens;Chapitre (Code);Montant du BP (Statistiques)
F;D;011;22 435,00
F;D;012;659 758,00
F;D;016;39 937,00
F;R;002;192 267,21
F;R;017;697 130,00
F;R;018;25 000,00
F;R;019;0,00
I;D;20;25 200,00
I;D;21;16 047,02
I;R;001;45 885,12
I;R;10;2 325,00
I;R;28;13 542,00
