SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
ac.national.agri;;2018;Décembre;01 Dec 2018 - 00:02;31 Dec 2018 - 23:59;756;2921;3,86;297828;101,96;568570;194,65;2666,70;934,85
agorha.agriculture;;2018;Décembre;03 Dec 2018 - 07:54;31 Dec 2018 - 16:11;66;128;1,94;9926;77,55;10551;82,43;132,45;1059,58
agorha.agriculture.gouv.fr;;2018;Décembre;01 Dec 2018 - 08:33;31 Dec 2018 - 20:20;1605;13007;8,10;1417318;108,97;6995851;537,85;38925,84;3064,51
agorha.agriculture.gouv.fr_mobilite;mobilite;2018;Décembre;NA;31 Dec 2018 - 12:08;80;161;2,01;11858;73,65;13226;82,15;76,14;484,27
agorha.agriculture_aia;aia;2018;Décembre;03 Dec 2018 - 09:21;31 Dec 2018 - 16:11;61;113;1,85;9471;83,81;10022;88,69;124,78;1130,73
alim.agriculture.gouv.fr;;2018;Décembre;01 Dec 2018 - 00:00;31 Dec 2018 - 23:02;5876;20845;3,55;5352913;256,80;7170068;343,97;26042,33;1279,32
alim.agriculture.gouv.fr_TeleRuchers;TeleRuchers;2018;Décembre;01 Dec 2018 - 20:18;30 Dec 2018 - 20:36;42;45;1,07;152;3,38;4155;92,33;28,22;642,22
alim.agriculture.gouv.fr_Vivants;Vivants;2018;Décembre;NA;26 Dec 2018 - 16:58;3;8;2,67;157;19,62;3337;417,12;4,98;637,38
alim.agriculture.gouv.fr_cepp;cepp;2018;Décembre;01 Dec 2018 - 10:24;31 Dec 2018 - 19:08;633;1069;1,69;4107;3,84;22681;21,22;439,75;421,24
alim.agriculture.gouv.fr_cepp-rs;cepp-rs;2018;Décembre;01 Dec 2018 - 10:24;31 Dec 2018 - 19:08;613;1028;1,68;26271;25,56;26271;25,56;965,87;962,11
alim.agriculture.gouv.fr_choral;choral;2018;Décembre;03 Dec 2018 - 08:02;28 Dec 2018 - 17:02;8;48;6,00;2399;49,98;14088;293,50;63,44;1353,42
alim.agriculture.gouv.fr_epiphyt;epiphyt;2018;Décembre;01 Dec 2018 - 09:48;28 Dec 2018 - 16:26;35;99;2,83;2938;29,68;13590;137,27;334,12;3455,91
alim.agriculture.gouv.fr_ift;ift;2018;Décembre;01 Dec 2018 - 00:18;31 Dec 2018 - 23:02;1102;1825;1,66;16012;8,77;45518;24,94;1223,94;686,75
