Maisons des associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
NICE-EST SAINT ROCH;26/01/2016;09H00;12H00;COMMUNICATION;ANIMATION;POLICE MUNICIPALE MAIRIE DE NICE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;26/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/01/2016;09H00;12H00;HANDICAP;COURS;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;26/01/2016;09H00;13H00;ORGANISME PUBLIC;COURS;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;26/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;26/01/2016;10H00;12H00;LOISIRS;COURS;INTERNET SENIORS 2
NICE-EST SAINT ROCH;26/01/2016;10H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/01/2016;13H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/01/2016;13H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/01/2016;14H00;17H00;LOISIRS;COURS;LE CLAN DES BOULEGANS
NICE-EST SAINT ROCH;26/01/2016;14H00;17H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;26/01/2016;14H00;16H00;LOISIRS;COURS;INTERNET SENIORS 2
NICE-EST SAINT ROCH;26/01/2016;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;26/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;26/01/2016;17H00;20H00;SOCIAL;COURS;GFAA - GENERATION FEMMES D'AFRIQUE ET D'AILLEURS
NICE-EST SAINT ROCH;26/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;26/01/2016;18H00;19H00;CULTURE;ATELIER;NUX VOMICA
NICE-EST SAINT ROCH;26/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
NICE-EST SAINT ROCH;26/01/2016;18H00;19H00;CULTURE;COURS;FRANCE RUSSIE
NICE-EST SAINT ROCH;26/01/2016;18H00;20H00;ENSEIGNEMENT;REUNION;APW - ASSOCIATION DE PSYCHODYNAMIQUE WALLONIENNE
NICE-EST SAINT ROCH;26/01/2016;18H00;21H00;EMPLOI;COURS;ATHEMIS - ASSISTANCE DU TOURISME, L'HOTELLERIE ET LA MAIN D'OEUVRE INTERNATIONALE SPECIALISEE
NICE-EST SAINT ROCH;26/01/2016;19H00;21H00;DANSE ;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;26/01/2016;19H00;20H00;CULTURE;ATELIER;NUX VOMICA
NICE-EST SAINT ROCH;26/01/2016;19H00;20H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
NICE-EST SAINT ROCH;26/01/2016;19H00;20H00;CULTURE;ATELIER;NUX VOMICA
NICE-EST SAINT ROCH;26/01/2016;19H00;21H00;CULTURE;ATELIER;NUX VOMICA
NICE-EST SAINT ROCH;27/01/2016;09H00;16H00;EMPLOI;FORMATION;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;27/01/2016;09H00;12H00;HANDICAP;COURS;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;27/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;27/01/2016;09H00;12H00;COMMUNICATION;ANIMATION;POLICE MUNICIPALE MAIRIE DE NICE
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/01/2016;09H00;11H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/01/2016;09H00;12H00;SOCIAL;PERMANENCE;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;27/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;27/01/2016;10H00;12H00;ACTIVITE BIEN ETRE;ATELIER;SYNERGIE OPTIMALE
NICE-EST SAINT ROCH;27/01/2016;10H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/01/2016;11H00;13H00;SPECTACLE VIVANT;COURS;LA RAPPORTEUSE
NICE-EST SAINT ROCH;27/01/2016;13H00;14H00;SANTE;COURS;POLE PSY
NICE-EST SAINT ROCH;27/01/2016;14H00;16H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;27/01/2016;14H00;18H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/01/2016;14H00;16H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;27/01/2016;14H00;18H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/01/2016;14H00;16H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
NICE-EST SAINT ROCH;27/01/2016;15H00;21H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;27/01/2016;15H00;18H00;CITOYENNETE;COURS;SEL NICE AZUR PROVENCE 
NICE-EST SAINT ROCH;27/01/2016;15H00;16H00;SANTE;COURS;LE MIROIR DE MISCHA
NICE-EST SAINT ROCH;27/01/2016;16H00;17H00;SANTE;COURS;LE MIROIR DE MISCHA
NICE-EST SAINT ROCH;27/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/01/2016;17H00;20H00;DANSE ;COURS;APOLLO DANSE
NICE-EST SAINT ROCH;27/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-EST SAINT ROCH;27/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-EST SAINT ROCH;27/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-EST SAINT ROCH;27/01/2016;18H00;20H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-EST SAINT ROCH;27/01/2016;18H00;20H00;CULTURE;COURS;INSTITUT D'ETUDES OCCITANES - IEO06
NICE-EST SAINT ROCH;27/01/2016;18H00;20H00;MUSIQUE;COURS;DELICES DE MUSIQUE ANCIENNE
NICE-EST SAINT ROCH;27/01/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-EST SAINT ROCH;27/01/2016;18H00;21H00;CULTURE;REUNION;ASPACA - ASSOCIATION SENEGALAISE PROVENCE ALPES COTE D'AZUR
NICE-EST SAINT ROCH;27/01/2016;19H00;21H00;DANSE ;COURS;AMERICAN NEW COUNTRY ATTITUDE - ANCA
NICE-EST SAINT ROCH;28/01/2016;09H00;12H00;COMMUNICATION;ANIMATION;POLICE MUNICIPALE MAIRIE DE NICE
NICE-EST SAINT ROCH;28/01/2016;09H00;18H00;HUMANITAIRE;REUNION;ECTI - ECHANGES ET CONSULTATIONS PROFESSIONNELS SENIORS BENEVOLES
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;28/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/01/2016;10H00;11H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
NICE-EST SAINT ROCH;28/01/2016;10H00;12H00;ORGANISME PUBLIC;REUNION;MAIRIE DE NICE
NICE-EST SAINT ROCH;28/01/2016;10H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/01/2016;12H00;13H00;DANSE ;COURS;LOS TIGRES TANGO
NICE-EST SAINT ROCH;28/01/2016;13H00;21H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/01/2016;13H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/01/2016;14H00;17H00;ACTIVITE MANUELLE;REUNION;LES COUSETTES
NICE-EST SAINT ROCH;28/01/2016;14H00;15H00;EMPLOI;COURS;SNC - SOLIDARITES NOUVELLES FACE AU CHOMAGE
NICE-EST SAINT ROCH;28/01/2016;14H00;15H00;DANSE ;COURS;AZUR BALLET
NICE-EST SAINT ROCH;28/01/2016;14H00;17H00;SPORT;COURS;"YAMATO BUDO ""SPORT POUR TOUS"""
NICE-EST SAINT ROCH;28/01/2016;14H00;17H00;SENIORS;REUNION;IRSEA - ASSOCIATION DES RETRAITES IRSEA DE NICE
NICE-EST SAINT ROCH;28/01/2016;14H00;16H00;SANTE;REUNION;TOUS CONTRE LA DOULEUR
NICE-EST SAINT ROCH;28/01/2016;15H00;16H00;EMPLOI;COURS;EXPLORATION PROFESSIONNELLE
NICE-EST SAINT ROCH;28/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/01/2016;17H00;19H00;CULTURE;COURS;FRANCE RUSSIE
NICE-EST SAINT ROCH;28/01/2016;18H00;21H00;CULTURE;REUNION;ASPACA - ASSOCIATION SENEGALAISE PROVENCE ALPES COTE D'AZUR
NICE-EST SAINT ROCH;28/01/2016;18H00;19H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;28/01/2016;18H00;19H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;28/01/2016;18H00;19H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;28/01/2016;18H00;21H00;SPECTACLE VIVANT;REUNION;LA COMPAGNIE DE L'INVENT'ERE
NICE-EST SAINT ROCH;28/01/2016;19H00;21H00;ACTIVITE BIEN ETRE;COURS;DE L'ETOILE O SAMA
NICE-EST SAINT ROCH;28/01/2016;19H00;21H00;MUSIQUE;ATELIER;NHA MITA PEREIRA
NICE-EST SAINT ROCH;28/01/2016;19H00;21H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;28/01/2016;19H00;21H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/01/2016;09H00;17H00;ENSEIGNEMENT;PERMANENCE;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;29/01/2016;09H00;12H00;COMMUNICATION;ANIMATION;POLICE MUNICIPALE MAIRIE DE NICE
NICE-EST SAINT ROCH;29/01/2016;09H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;29/01/2016;09H00;12H00;SPORT;COURS;"YAMATO BUDO ""SPORT POUR TOUS"""
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;29/01/2016;09H00;12H00;HANDICAP;COURS;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;29/01/2016;09H00;17H00;ENSEIGNEMENT;PERMANENCE;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;29/01/2016;09H00;11H00;ACTIVITE BIEN ETRE;COURS;AZUR SOLEIL ACCOMPAGNEMENT
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;29/01/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/01/2016;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-EST SAINT ROCH;29/01/2016;11H00;12H00;ACTIVITE BIEN ETRE;COURS;AZUR SOLEIL ACCOMPAGNEMENT
NICE-EST SAINT ROCH;29/01/2016;13H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/01/2016;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;29/01/2016;16H00;19H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/01/2016;16H00;19H00;ENVIRONNEMENT;REUNION;SDA - SOCIETE DE DEFENSE DES ANIMAUX
NICE-EST SAINT ROCH;29/01/2016;16H00;20H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/01/2016;17H00;18H00;THEATRE;COURS;COMPAGNIE LA RESERVE
NICE-EST SAINT ROCH;29/01/2016;17H00;18H00;ARTS PLASTIQUES;COURS;LES GRENOUILLES QUI VOULAIENT VOLER
NICE-EST SAINT ROCH;29/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;29/01/2016;18H00;21H00;CITOYENNETE;REUNION;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
NICE-EST SAINT ROCH;29/01/2016;18H00;20H00;ARTS PLASTIQUES;COURS;LES GRENOUILLES QUI VOULAIENT VOLER
NICE-EST SAINT ROCH;29/01/2016;18H00;21H00;SOCIAL;COURS;LECTURE POUR TOUS
NICE-EST SAINT ROCH;29/01/2016;19H00;21H00;THEATRE;COURS;PLAYS AND SONGS
NICE-EST SAINT ROCH;29/01/2016;20H00;21H00;ARTS PLASTIQUES;COURS;LES GRENOUILLES QUI VOULAIENT VOLER
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;SPECTACLE VIVANT;COURS;LA COMPAGNIE DE L'INVENT'ERE
NICE-EST SAINT ROCH;30/01/2016;10H00;12H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;THEATRE;COURS;ELLELIA
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;CHANT;COURS;IL FAUT Y CROIRE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;SOCIAL;REUNION;PARRAIN MARRAINE POUR M'ACCOMPAGNER
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;CULTURE;REUNION;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;EMPLOI;COURS;ATHEMIS - ASSISTANCE DU TOURISME, L'HOTELLERIE ET LA MAIN D'OEUVRE INTERNATIONALE SPECIALISEE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;SOCIAL;PERMANENCE;ANIS - ASSOCIATION NICE POUR L'INTEGRATION ET LA SOLIDARITE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;11H00;13H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;SOCIAL;COURS;CAUSETTE
NICE-EST SAINT ROCH;30/01/2016;14H00;17H00;CULTURE;COURS;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;SANTE;CONFERENCE;ESPACE S'OUVRIR A LA PAROLE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/01/2016;14H00;17H00;SOCIAL;REUNION;MENSA COTE D'AZUR
NICE-EST SAINT ROCH;30/01/2016;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;14H00;17H00;CULTURE;PERMANENCE;LE RENDEZ-VOUS ASTROLOGIQUE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;SOCIAL;COURS;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;HUMANITAIRE;ASSEMBLEE GENERALE;SEKOVIO PIERRE PEPIN
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/01/2016;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/01/2016;15H00;17H00;LOISIRS;COURS;DANSONS
NICE-EST SAINT ROCH;30/01/2016;17H00;18H00;MUSIQUE;;NHA MITA PEREIRA
TRACHEL;25/01/2016;09H00;11H00;CULTURE;COURS;SZKOLA POLSKA - ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE POLONAISE DE NICE
TRACHEL;25/01/2016;12H00;14H00;ACTIVITE BIEN ETRE;COURS;LE BIEN ETRE PAR LE QI GONG
TRACHEL;25/01/2016;14H00;19H00;PROXIMITE;PERMANENCE;ASSOCIATION DU QUARTIER SAINT-ETIENNE
TRACHEL;27/01/2016;10H00;12H00;PROXIMITE;COURS;ASSOCIATION MEDIATION CITE
