Maisons des associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;25/01/2016;19H00;20H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;25/01/2016;20H00;21H00;SPORT;ANIMATION;LA GYM SUEDOISE NICE 
GARIBALDI;26/01/2016;09H00;12H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;26/01/2016;09H00;12H00;LOISIRS;PERMANENCE;LA JOIE DE VIVRE MM 06
GARIBALDI;26/01/2016;12H00;14H00;ACTIVITE BIEN ETRE;COURS;AZUR TAI CHI ASSOCIATION CULTURELLE ETHIQUE ET SOLIDAIRE EN PROVENCE ALPES COTE D'AZUR
GARIBALDI;26/01/2016;14H00;17H00;ORGANISME PUBLIC;ATELIER;DIRECTION DE LA SANTE PUBLIQUE
GARIBALDI;26/01/2016;14H00;17H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;26/01/2016;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;26/01/2016;17H00;19H00;CULTURE;COURS;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
GARIBALDI;26/01/2016;18H00;21H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;26/01/2016;18H00;20H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;26/01/2016;18H00;19H00;ACTIVITE BIEN ETRE;COURS;VAYOGA-CULTURE ET YOGA
GARIBALDI;26/01/2016;19H00;21H00;SANTE;ATELIER;L'ECOLE DE LA VIE
GARIBALDI;26/01/2016;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;26/01/2016;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;26/01/2016;20H00;21H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;27/01/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
