X,Y,objectid,ident,flux,operateur,commune,code_postale,adresse,complement_d_information,date,nb_pav,num,pav_proxi,emplacement_pav,arret_minute,etat,rouille,tag,sale,ecriture,etat_trappe,facile_ouvrir,depot_sauvage,obs,globalid
2.17139933706892,48.7838109157033,193,,TEXTILE,Le Relais Eure-et-Loir,Vélizy-Villacoublay,78140,Quartier Mozart_Angle rue de Champagne /avenue de Savoie ,face au Centre Commercial Mozart,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{33D5A905-018B-4F42-A878-B210E3A76709}
2.18171065459864,48.7843760377401,194,,TEXTILE,Le Relais Eure-et-Loir,Vélizy-Villacoublay,78140,Quartier du Mail_Parvis du Mail,devant le Carrefour Market,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{004D3C85-B09D-4954-9345-BFAE09DA67EF}
2.1940697813442,48.797402699278,196,,TEXTILE,Le Relais Eure-et-Loir,Vélizy-Villacoublay,78140,60 rue Albert Perdreaux_Vélizy Bas,à côté de la Mairie Annexe et de la Poste,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{CAE222C4-5362-4A2E-BB22-7DA12DB49842}
2.22547697512225,48.7744826072703,197,,TEXTILE,Le Relais Eure-et-Loir,Vélizy-Villacoublay,78140,Rue André Citroën_Art de Vivre,A l'entrée du parking de Castorama,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{308EF670-47DE-4575-A0D9-7E2C9372A436}
2.09349016008024,48.7367406620446,199,CHA_001,TEXTILE,Le Relais Eure-et-Loir,Châteaufort,78117,6 rue du Moulin,,2016/10/18 22:00:00+00,1,,,,,,,,,,,,,,{407F297D-4424-4F98-B2D3-4E01CBE85DC9}
2.02166178321824,48.7991269668983,201,BOI_04,Textile,Le Point Relais Val de Seine,Bois d'Arcy,78390,1 allée des myosotis,,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{269440F2-AA6F-4363-B4C0-3260886386B5}
2.07459913190474,48.8364936067504,203,BAI_02,Textile,Le Relais Val de Seine,Bailly,78870,3 chemin vert,,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{E25F3CA0-D7CC-426B-B4D5-83D62B0D0A1B}
2.13160806956783,48.8540443314886,204,BOU_01,Textile,Recytextile,Bougival,78380,Parking de la gare,A côté du PAV Verre,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{5DEBA597-B667-4136-9ACA-3715F138914B}
2.12865706521935,48.8706880447702,205,BOU_05,Textile,Emmaüs,Bougival,78380,7 ile de la loge,Le Port Marly,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{7BE7479E-5F5F-48BE-84AB-347D9340F2E4}
2.04380542103889,48.8122085105465,206,,,Le Relais Val de Seine,Fontenay Le Fleury,,13 Boulevard Beaumarchais,Parking de la résidence,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{F1CCAB0D-58EF-4704-B931-1AD9C10D590C}
