X,Y,OBJECTID,ID_STATION,STA_NOM,STA_ETIQUETTE,STA_COMMUNE_D,STA_LIGNE1_D,STA_LIGNE2_D,STA_LIGNE3_D,STA_LIGNE4_D,STA_LIGNE5_D,STA_LIGNE6_D,STA_LIGNE7_D,STA_LIGNE8_D,STA_LIGNEA_D,STA_LIGNEB_D,STA_LIGNEC_D,STA_LIGNED_D,STA_LIGNEE_D,STA_RESEAU_D
799017.545199998,6874317.9223,63,S079,ISLE AUX BOIS,Isle aux Bois,Châlons-en-Champagne,0,0,1,0,0,0,0,0,0,0,0,0,0,SITAC
799928.982900001,6874906.9808,64,S082,RPA SARRAIL,RPA Sarrail,Châlons-en-Champagne,0,0,0,0,1,0,1,0,0,0,0,0,0,SITAC
800054.138700001,6874543.6402,65,S083,PLACE DE VERDUN,Place de Verdun,Châlons-en-Champagne,0,0,0,1,1,0,1,0,0,0,0,0,0,SITAC
801079.415899999,6874756.5541,66,S085,L. BEETHOVEN,L. Beethoven,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800951.026799999,6874579.3359,67,S086,CROIX MILSON,Croix Milson,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801102.734399997,6874544.9959,68,S087,STE-MENEHOULD,Ste-Ménéhould,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800493.996399999,6874266.5314,69,S088,CHEVALIER,Chevalier,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800371.625299998,6874133.6894,70,S089,DOULCET,Doulcet,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800353.9833,6874011.8831,71,S090,CHATELET,Châtelet,Châlons-en-Champagne,0,1,1,0,0,0,0,1,0,0,0,0,0,SITAC
799988.056900002,6874209.023,72,S091,L. BOURGEOIS,L. Bourgeois,Châlons-en-Champagne,0,0,0,1,1,0,1,0,0,0,0,0,0,SITAC
799103.645599999,6873606.2442,73,S092,COLLEGE DURUY,Collège Duruy,Châlons-en-Champagne,1,0,1,1,0,0,1,0,1,1,0,0,0,SITAC
799400.974299997,6873703.971,74,S093,CATHEDRALE,Cathédrale,Châlons-en-Champagne,1,0,1,1,0,0,1,0,1,1,1,1,1,SITAC
799599.946199998,6873878.1647,75,S095,MARNE,Marne,Châlons-en-Champagne,1,0,1,1,0,0,1,0,0,0,0,0,0,SITAC
799694.926899999,6874094.0491,76,S096,LYCEE BAYEN,Lycée Bayen,Châlons-en-Champagne,0,1,1,0,0,1,0,0,0,0,0,0,0,SITAC
799919.466200002,6873925.6964,77,S097,TISSIER,Tissier,Châlons-en-Champagne,1,1,1,1,1,1,1,1,1,1,1,1,0,SITAC
800045.134499997,6873592.9949,78,S098,SAINT-ELOI,Saint-Eloi,Châlons-en-Champagne,1,1,1,0,1,0,0,0,0,0,0,0,0,SITAC
800443.137100004,6873811.5351,79,S099,CITE ADMINISTRATIVE,Cité Administrative,Châlons-en-Champagne,0,1,1,0,0,0,0,1,0,0,0,0,0,SITAC
800634.349200003,6873720.2904,80,S100,SECURITE SOCIALE,Sécurité Sociale,Châlons-en-Champagne,0,1,1,0,0,0,0,1,0,0,0,0,0,SITAC
800834.079899997,6874285.8666,81,S101,SABBATHIER,Sabbathier,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800174.917900003,6873340.3377,82,S102,PREFECTURE,Préfecture,Châlons-en-Champagne,1,1,1,0,1,0,0,0,0,0,0,0,0,SITAC
800310.2993,6873146.007,83,S103,PR. LANGEVIN,Pr. Langevin,Châlons-en-Champagne,1,1,0,0,1,0,0,0,0,0,0,0,0,SITAC
800241.8618,6873031.013,84,S104,COLLEGE PERROT D'ABLANCOURT,Collège Perrot d'Ablancourt,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
