S_ID,S_NOM,S_CAP_EH,TYP_EPUR_LIB,S_DATE_M_E_S,S_C_INSEE,X,Y,Situ,latitude,longitude
0533001V002,ABZAC ( PENOT ET PORT DU MAS),250,Lit bactérien,1/12/2000 00:00:00,33001,456133,6439551,2017,45.014943,-0.100642
0533001V003,ABZAC BOURG,1600,Boues activées,17/5/2010 00:00:00,33001,453136,6440378,2017,45.016197,-0.128651
0533002V002,AILLAS,450,Filtres plantés de roseaux,8/4/2009 00:00:00,33002,456198,6379783,2017,44.473508,-0.074703
0533006V002,ANGLADE,1000,Lagunage naturel,1/6/2009 00:00:00,33006,415002,6463790,2017,45.210719,-0.638091
0533012V004,ARSAC,6000,Boues activées,1/8/2010 00:00:00,33012,410267,6440636,2017,44.996324,-0.688946
0533014V002,LES ARTIGUES DE LUSSAC,1200,Filtres plantés de roseaux,1/12/2009 00:00:00,33014,452941,6435115,2017,44.970821,-0.14008
0533015V002,ARVEYRES BOURG,1800,Lagunage naturel,1/7/2009 00:00:00,33015,441723,6425947,2017,44.883773,-0.283502
0533015V003,ARVEYRES (Port du Noyer),600,Lagunage naturel,1/9/2002 00:00:00,33015,442887,6427827,2017,44.911853,-0.253954
0533021V002,AUROS 2,1200,Boues activées,1/7/2014 00:00:00,33021,449663,6382973,2017,44.49491,-0.146354
0533029V005,LE BARP (Brique en Bruc),12000,Boues activées,1/11/2009 00:00:00,33029,399166,6397976,2017,44.616133,-0.792801
0533030V002,BARSAC ROSEAUX,2500,Filtres plantés de roseaux,1/11/2011 00:00:00,33030,437177,6395696,2017,44.608929,-0.314165
0533033V001,BAURECH ,800,Boues activées,1/1/1988 00:00:00,33033,427641,6408570,2017,44.724938,-0.439815
0533036V001,BAZAS,18800,Boues activées,1/9/1973 00:00:00,33036,445553,6375760,2017,44.431753,-0.211993
0533037V002,BEAUTIRAN,2500,Boues activées,1/6/2007 00:00:00,33037,427395,6406619,2017,44.70292,-0.452368
0533040V001,BEGUEY,1650,Filtres plantés de roseaux,1/10/2008 00:00:00,33040,435981,6399328,2017,44.641982,-0.323681
0533042V001,BELIN BELIET,2700,Boues activées,1/12/1977 00:00:00,33042,398060,6384322,2017,44.497153,-0.791073
0533042V002,BELIN BELIET 2,2000,Filtres plantés de roseaux,7/10/2010 00:00:00,33042,397710,6386743,2017,44.497153,-0.791073
0533043V001,BELLEBAT,250,Filtre à sable,8/6/2005 00:00:00,33043,445252,6410068,2017,44.738849,-0.216888
0533045V001,BELVES DE CASTILLON,200,Filtres plantés de roseaux,27/6/2007 00:00:00,33045,460841,6424746,2017,44.878306,-0.032255
0533046V002,BERNOS BEAULAC 2,2000,Boues activées,1/7/2011 00:00:00,33046,440255,6369175,2017,44.37991,-0.259299
0533047V001,BERSON,1200,Boues activées,1/5/1992 00:00:00,33047,416302,6451346,2017,45.107822,-0.586843
