idENT_NCA;NOM;SOUS_TYPE;DIFFUSION;CODE_INSEE;CODE_EQUIP;TYPE;ADR_NCA;geometry
06088AB06604B;PLIE - BLACAS;INSERTION ET EMPLOI;1;06088;B;SOCIAL;06088AB06604;{"type": "Point", "coordinates": [7.27070643, 43.70002797]}
06042AA00080A;TENNIS;TENNIS;1;06042;A;SPORTS ET LOISIRS;06042AA00080;{"type": "Point", "coordinates": [7.14562407, 43.9934911]}
06156AA00270A;MAIRIE;MAIRIE;1;06156;A;SERVICE PUBLIC;06156AA00270;{"type": "Point", "coordinates": [7.25367058, 44.05354319]}
06088BA16446B;DOUANES;DOUANE;1;06088;B;SECURITE;06088BA16446;{"type": "Point", "coordinates": [7.20605227, 43.67040899]}
06088AB0979127A;EDF;EAU / ELECTRICITE;1;06088;A;SERVICE PUBLIC;06088AB0979127;{"type": "Point", "coordinates": [7.27208768, 43.72470352]}
06027AA015918A;COLLEGE ANDRE MALRAUX;COLLEGE;1;06027;A;EDUCATION;06027AA015918;{"type": "Point", "coordinates": [7.16168255, 43.67335888]}
06123AA0079116A;COLLEGE SAINT EXUPERY;COLLEGE;1;06123;A;EDUCATION;06123AA0079116;{"type": "Point", "coordinates": [7.18543175, 43.66613788]}
06033AA002811A;COLLEGE PAUL LANGEVIN;COLLEGE;1;06033;A;EDUCATION;06033AA002811;{"type": "Point", "coordinates": [7.19813282, 43.76873054]}
06088AR064914A;CONSULAT DES PAYS BAS;CONSULAT;1;06088;A;SERVICE PUBLIC;06088AR064914;{"type": "Point", "coordinates": [7.26250003, 43.7004113]}
06088AS107815A;CONSULAT HONORAIRE DU CHILI;CONSULAT;1;06088;A;SERVICE PUBLIC;06088AS107815;{"type": "Point", "coordinates": [7.27445608, 43.72890142]}
06088AJ01874A;VICE CONSULAT HONORAIRE  D'ESPAGNE;CONSULAT;1;06088;A;SERVICE PUBLIC;06088AJ01874;{"type": "Point", "coordinates": [7.27844394, 43.69981548]}
06088AM04408A;CONSULAT HONORAIRE D'ISLANDE;CONSULAT;1;06088;A;SERVICE PUBLIC;06088AM04408;{"type": "Point", "coordinates": [7.27195893, 43.70405676]}
06074AA00540B;ELEMENTAIRE DE LANTOSQUE;ECOLE PRIMAIRE;1;06074;B;EDUCATION;06074AA00540;{"type": "Point", "coordinates": [7.31086481, 43.9744574]}
06011AA002117A;ELEMENTAIRE;ECOLE PRIMAIRE;1;06011;A;EDUCATION;06011AA002117;{"type": "Point", "coordinates": [7.33157029, 43.70976151]}
06033AA01203B;ELEMENTAIRE JEAN MOULIN;ECOLE PRIMAIRE;1;06033;B;EDUCATION;06033AA01203;{"type": "Point", "coordinates": [7.19239993, 43.77143388]}
06034AA00644144A;CASERNE DE SAPEURS POMPIERS;CASERNE DE POMPIERS;1;06034;A;SECURITE;06034AA00644144;{"type": "Point", "coordinates": [7.23391162, 43.78929245]}
06065AA01050D;CCAS;CCAS;1;06065;D;SOCIAL;06065AA01050;{"type": "Point", "coordinates": [7.15262078, 43.7221353]}
06123AA0056353A;CCAS;CCAS;1;06123;A;SOCIAL;06123AA0056353;{"type": "Point", "coordinates": [7.18891398, 43.67482605]}
06032AA001260B;CCAS;CCAS;1;06032;B;SOCIAL;06032AA001260;{"type": "Point", "coordinates": [7.40772839, 43.72237656]}
06157AA0015228C;CCAS;CCAS;1;06157;C;SOCIAL;06157AA0015228;{"type": "Point", "coordinates": [7.1159016, 43.72013315]}
06088BA0244465A;LA BOULE D'ARGENT;CLOS BOULISTE / BOULODROME;1;06088;A;SPORTS ET LOISIRS;06088BA0244465;{"type": "Point", "coordinates": [7.23641672, 43.73660638]}
06011AA00094A;CASINO;CASINO;1;06011;A;SPORTS ET LOISIRS;06011AA00094;{"type": "Point", "coordinates": [7.33070707, 43.70398875]}
06088AL051731A;BIBLIOTHEQUE MAGNAN;BIBLIOTHEQUE;1;06088;A;CULTURE;06088AL051731;{"type": "Point", "coordinates": [7.24572735, 43.69272978]}
06088AM058849A;BIBLIOTHEQUE DE CIMIEZ;BIBLIOTHEQUE;1;06088;A;CULTURE;06088AM058849;{"type": "Point", "coordinates": [7.27163962, 43.7261365]}
06088SF03852C;BIBLIOTHEQUE ALFRED HART;BIBLIOTHEQUE;1;06088;C;CULTURE;06088SF03852;{"type": "Point", "coordinates": [7.2565537, 43.72512284]}
06075AA00757A;BIBLIOTHEQUE;BIBLIOTHEQUE;1;06075;A;CULTURE;06075AA00757;{"type": "Point", "coordinates": [7.22605957, 43.85876741]}
06088AA114445A;CAF NICE EST;CAISSE D'ALLOCATIONS;1;06088;A;SERVICE PUBLIC;06088AA114445;{"type": "Point", "coordinates": [7.28677068, 43.70601868]}
06088SX002240A;FONDATION DON BOSCO;LYCEE;1;06088;A;EDUCATION;06088SX002240;{"type": "Point", "coordinates": [7.28156509, 43.70935956]}
06088AT01103B;MAIRIE ANNEXE DE L'HOTEL DE VILLE;MAIRIE;1;06088;B;SERVICE PUBLIC;06088AT01103;{"type": "Point", "coordinates": [7.27282161, 43.69672558]}
06088AM128727A;CIMETIERE DE SAINT-ROCH;FUNERAIRE;1;06088;A;SERVICE PUBLIC;06088AM128727;{"type": "Point", "coordinates": [7.29525188, 43.71961468]}
06006AA0002655A;CIMETIERE;FUNERAIRE;1;06006;A;SERVICE PUBLIC;06006AA0002655;{"type": "Point", "coordinates": [7.23788997, 43.77694364]}
06034AA01310A;CIMETIERE;FUNERAIRE;1;06034;A;SERVICE PUBLIC;06034AA01310;{"type": "Point", "coordinates": [7.23375823, 43.7901641]}
06059AA00200A;PORT D'EZE;PORT;1;06059;A;TRANSPORT;06059AA00200;{"type": "Point", "coordinates": [7.35078211, 43.71635174]}
06088SB02250A;SQUARE BARONS DE BERRE;JARDIN;1;06088;A;ENVIRONNEMENT;06088SB02250;{"type": "Point", "coordinates": [7.25257069, 43.7188293]}
06088AR00991B;JARDIN DE LA VILLA RATTI;JARDIN;1;06088;B;ENVIRONNEMENT;06088AR00991;{"type": "Point", "coordinates": [7.27513599, 43.71039523]}
06088AF0550118A;MAIRIE ANNEXE MAGNAN;MAIRIE;1;06088;A;SERVICE PUBLIC;06088AF0550118;{"type": "Point", "coordinates": [7.25131553, 43.69390759]}
06027AA02960A;MAIRIE ANNEXE DU HAUT-DE-CAGNES;MAIRIE;1;06027;A;SERVICE PUBLIC;06027AA02960;{"type": "Point", "coordinates": [7.1455182, 43.66686831]}
06059AA000622A;MAIRIE ANNEXE D'EZE BORD DE MER;MAIRIE;1;06059;A;SERVICE PUBLIC;06059AA000622;{"type": "Point", "coordinates": [7.35275255, 43.72034333]}
06088AE036323A0;GROUPE SCOLAIRE PORT;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AE036323;{"type": "Point", "coordinates": [7.28331309, 43.69764579]}
06088AA05282A0;GROUPE SCOLAIRE TERRA AMATA;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AA05282;{"type": "Point", "coordinates": [7.28980959, 43.69997484]}
06088AA11331A0;GROUPE SCOLAIRE NIKAIA;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AA11331;{"type": "Point", "coordinates": [7.27230247, 43.69667298]}
06088BA15770A;JARDIN COMMANDANT CHARLES ARGILLIER;JARDIN;1;06088;A;ENVIRONNEMENT;06088BA15770;{"type": "Point", "coordinates": [7.25635421, 43.72916095]}
06088BA01460A;JARDIN JOSEPH PISANO;JARDIN;1;06088;A;ENVIRONNEMENT;06088BA01460;{"type": "Point", "coordinates": [7.29475252, 43.70451453]}
06088AL00443A;MATERNELLE FUON CAUDA;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AL00443;{"type": "Point", "coordinates": [7.26502269, 43.71238941]}
06088AS09652E;MATERNELLE ORCHIDEES;ECOLE PRIMAIRE;1;06088;E;EDUCATION;06088AS09652;{"type": "Point", "coordinates": [7.204413, 43.67288443]}
06088AD06163A;MATERNELLE DUBOUCHAGE;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AD06163;{"type": "Point", "coordinates": [7.27355942, 43.70363668]}
06088AS127619A;LA MAJOLYNE;EHPAD;1;06088;A;SOCIAL;06088AS127619;{"type": "Point", "coordinates": [7.25953019, 43.71623866]}
06088AF0033371TERA0;GROUPE SCOLAIRE RAYMOND MORETTI;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AF0033371TER;{"type": "Point", "coordinates": [7.20765973, 43.70556185]}
06088SX00220A;JARDIN PLACE DON BOSCO;JARDIN;1;06088;A;ENVIRONNEMENT;06088SX00220;{"type": "Point", "coordinates": [7.28134521, 43.70874535]}
06088BA15560A;LOU JARDIN DE GUSTE;JARDIN;1;06088;A;ENVIRONNEMENT;06088BA15560;{"type": "Point", "coordinates": [7.22778282, 43.70312403]}
06088SA09240A;JARDIN DE LA PLACE DE L'ARMEE DU RHIN;JARDIN;1;06088;A;ENVIRONNEMENT;06088SA09240;{"type": "Point", "coordinates": [7.28356055, 43.70753766]}
06088AG005020A;MATERNELLE I ROSALINDE RANCHER;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AG005020;{"type": "Point", "coordinates": [7.26281921, 43.72555583]}
06088AA11331B;MATERNELLE NIKAIA;ECOLE PRIMAIRE;1;06088;B;EDUCATION;06088AA11331;{"type": "Point", "coordinates": [7.27270975, 43.69651368]}
06088AS022010A;MATERNELLE SAINT EXUPERY;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AS022010;{"type": "Point", "coordinates": [7.27519519, 43.7345185]}
06088SA09460A;PLACE ARSON;JARDIN;1;06088;A;ENVIRONNEMENT;06088SA09460;{"type": "Point", "coordinates": [7.28614881, 43.70204645]}
06088SP09730A;SQUARE PIERRE ROCHER;JARDIN;1;06088;A;ENVIRONNEMENT;06088SP09730;{"type": "Point", "coordinates": [7.24561132, 43.69362917]}
06088AC16281A;ANCIEN JARDIN COMTE DE FALICON;JARDIN;1;06088;A;ENVIRONNEMENT;06088AC16281;{"type": "Point", "coordinates": [7.25522961, 43.72583521]}
06027AA00231A;MATERNELLE MOZART;ECOLE PRIMAIRE;1;06027;A;EDUCATION;06027AA00231;{"type": "Point", "coordinates": [7.14205278, 43.6521716]}
06088AE040713A;LYCEE ESTIENNE D'ORVES;LYCEE;1;06088;A;EDUCATION;06088AE040713;{"type": "Point", "coordinates": [7.24788189, 43.69929507]}
06027AA11400A;GROUPE SCOLAIRE JEAN GIONO;ECOLE PRIMAIRE;1;06027;A0;EDUCATION;06027AA11400;{"type": "Point", "coordinates": [7.1650181, 43.66844675]}
06059AA0018690BISA0;GROUPE SCOLAIRE ANDRE GIANTON;ECOLE PRIMAIRE;1;06059;A0;EDUCATION;06059AA0018690BIS;{"type": "Point", "coordinates": [7.3555839, 43.73377877]}
06088AR037444B;PMI NICE PORT;PROTECTION MATERNELLE ET INFANTILE;1;06088;B;SOCIAL;06088AR037444;{"type": "Point", "coordinates": [7.29039703, 43.70415961]}
06088AR011054C;DT 6 NORD CENTRE NICE;SERVICE MUNICIPAL;1;06088;C;SERVICE PUBLIC;06088AR011054;{"type": "Point", "coordinates": [7.25503787, 43.72579978]}
06027AA008421A;PLAGE PUBLIQUE;PLAGE;1;06027;A;TOURISME;06027AA008421;{"type": "Point", "coordinates": [7.15813643, 43.65414735]}
06027AA00842A;PLAGE LE NEPTUNE;PLAGE;1;06027;A;TOURISME;06027AA00842;{"type": "Point", "coordinates": [7.15395505, 43.65143255]}
06033AA01580A;CIMETIERE LE PLAN;FUNERAIRE;1;06033;A;SERVICE PUBLIC;06033AA01580;{"type": "Point", "coordinates": [7.1942142, 43.77663837]}
06088AM004457A;ELEMENTAIRE CHALET DES ROSES;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AM004457;{"type": "Point", "coordinates": [7.24040512, 43.69752577]}
06088AP044055A;ELEMENTAIRE II JEAN MACE;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AP044055;{"type": "Point", "coordinates": [7.28149991, 43.71884905]}
06088AC173873B;ELEMENTAIRE CORNICHE FLEURIE;ECOLE PRIMAIRE;1;06088;B;EDUCATION;06088AC173873;{"type": "Point", "coordinates": [7.20844429, 43.6859713]}
06088AL0099229A;ELEMENTAIRE FABRON;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AL0099229;{"type": "Point", "coordinates": [7.21216571, 43.68688069]}
06088AR0341148A;ELEMENTAIRE AIRE ST MICHEL;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AR0341148;{"type": "Point", "coordinates": [7.26939624, 43.74442192]}
06114AA003585A;ELEMENTAIRE JULES MUSSO;ECOLE PRIMAIRE;1;06114;A;EDUCATION;06114AA003585;{"type": "Point", "coordinates": [7.28659021, 43.73953675]}
06088AS040778A;ELEMENTAIRE II FUON CAUDA;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AS040778;{"type": "Point", "coordinates": [7.26472749, 43.71283526]}
06088BA1644194C;ELEMENTAIRE I DIGUE DES FRANCAIS;ECOLE PRIMAIRE;1;06088;C;EDUCATION;06088BA1644194;{"type": "Point", "coordinates": [7.20221266, 43.67755891]}
06088AP01656A;ELEMENTAIRE PORT;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AP01656;{"type": "Point", "coordinates": [7.28354081, 43.69778847]}
06088AA02646B;ELEMENTAIRE II THERESE ROMEO;ECOLE PRIMAIRE;1;06088;B;EDUCATION;06088AA02646;{"type": "Point", "coordinates": [7.2574311, 43.70876627]}
06088AL00446B;ELEMENTAIRE I FUON CAUDA;ECOLE PRIMAIRE;1;06088;B;EDUCATION;06088AL00446;{"type": "Point", "coordinates": [7.26462179, 43.71250328]}
06088AT0451212D;ELEMENTAIRE II BON VOYAGE;ECOLE PRIMAIRE;1;06088;D;EDUCATION;06088AT0451212;{"type": "Point", "coordinates": [7.28784638, 43.72579225]}
06088AG0044190A;ELEMENTAIRE GAIRAUTINE;ECOLE PRIMAIRE;1;06088;A;EDUCATION;06088AG0044190;{"type": "Point", "coordinates": [7.26346146, 43.73697687]}
06088AC2002167B;ELEMENTAIRE II SAINT SYLVESTRE;ECOLE PRIMAIRE;1;06088;B;EDUCATION;06088AC2002167;{"type": "Point", "coordinates": [7.24718065, 43.72557848]}
06123AA0102231A;JEU DE BOULE DE MONTALEIGNE;CLOS BOULISTE / BOULODROME;1;06123;A;SPORTS ET LOISIRS;06123AA0102231;{"type": "Point", "coordinates": [7.17254775, 43.70098669]}
06149AA003220A;CLOS SAINTE ANNE;CLOS BOULISTE / BOULODROME;1;06149;A;SPORTS ET LOISIRS;06149AA003220;{"type": "Point", "coordinates": [7.31452623, 43.73950014]}
06059AA0015859A;CLOS DE BOULES SAINT LAURENT D'EZE;CLOS BOULISTE / BOULODROME;1;06059;A;SPORTS ET LOISIRS;06059AA0015859;{"type": "Point", "coordinates": [7.38258784, 43.72980487]}
06088AS136431A;COLLEGE PORT LYMPIA;COLLEGE;1;06088;A;EDUCATION;06088AS136431;{"type": "Point", "coordinates": [7.28797597, 43.69754136]}
06065AA01142210A;CRECHE ESPACE-MOMES;CRECHE FAMILIALE;1;06065;A;PETITE ENFANCE;06065AA01142210;{"type": "Point", "coordinates": [7.16705424, 43.72232473]}
