Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",51156,141652,2.77,497.02
"Sante et Affaires sociales",37696,88113,2.34,473.42
Economie,26217,90865,3.47,419.86
"Jeunesse et Education",24249,66135,2.73,455.27
"Societe et Politique de la ville",20644,64403,3.12,503.42
"Emploi et Travail",19711,78571,3.99,403.74
"Agriculture et Developpement durable",8884,32816,3.69,511.84
"Securite et Justice",5798,29278,5.05,530.38
"Europe et Monde",2091,17043,8.15,648.91
