3526,4360,4345,3932,3764,3708,4596,3988,3980,3920,3784,3704,4399,4360,4470,4616,4425,3890,4602,4480,4270,4228,4212,3608,4403,5072,4835,4808,4413,4272,4879,4952,4580,4556,4348,4108,4473,5120,4655,4844,4991,4477,4283,4712,4530,4780,4814,4017,4107,3424,4385,4244,4015,3501,3828,3392,3995,3029,4044,3149,3379,2616,3960,4392,4080,4292,3953,2364,3690,3417,4353,4244,4178,2916,2795,4772,4481,4268,4479,3028,2810,4604,4824,4612,4562,3468,2830,3480,4912,4632,5123,3684,2920,3412,5056,4652,5303,3712,3625,2724,4796,4916,5123,3920,3575,2964,4600,5104,5407,3504,3690,3348,2944,4948,5071,3432,3710,3292,2964,4992,5243,2344,3995,3648,3160,4200,4948,2584,4105,3940,3208,4304,5334,3416,2145,3848,3536,3044,4992,3640,2200,4060,3808,3180,5219,3320,3295,3052,3568,2936,4410,3652,3465,3264,4044,3188,4564,2900,2780,2448,3484,3368,3012,3460,3530,3092,3840,4020,3207,1984,2570,2528,1556,2852,2732,2920,3300,2992,2124,3596,3282,1136,1515,1816,1868,2488,2461,2412,2335,2768,2840,3324,3270,808,745,908,1192,880,1686,1452,1680,1984,2168,1556,2999,328,350,408,508,584,1025,800,775,1028,1400,1472,1859,92,90,104,124,184,209,236,290,424,448,704,657,12,5,12,28,20,59,28,60,76,112,220,356
6558,3616,3125,2756,2714,2924,3628,3452,2640,2536,2629,2768,3393,3732,3450,3052,3188,3096,3877,3672,3155,2680,2853,2828,3845,4236,3650,3360,2960,2909,3681,3996,3790,3236,3108,3004,3544,4240,3570,3572,3636,2913,3282,3860,3680,3436,3176,2688,2764,3124,3375,3452,3099,2506,2499,2868,2960,2908,2796,2277,2139,2176,3115,3408,3316,3040,2943,1980,2775,3116,3305,2940,3050,2912,2215,3540,3445,3376,3401,2732,2145,3196,3264,3520,3623,3308,2640,2512,3916,3728,4148,3208,2395,2536,3700,3708,4218,3616,2975,2264,3752,3584,4340,3316,3090,2252,3224,3456,4335,3100,3295,2744,2173,3904,4134,2880,3255,2656,2113,3696,4045,2104,3420,3172,2436,3348,3978,2172,3295,3308,2492,2972,4060,3156,1780,3464,3060,2204,4118,3400,1750,3464,3352,2532,4151,3324,2925,2488,3244,2628,3329,3488,3265,2624,3392,2732,3357,2736,2775,2200,3156,2888,2433,3196,3045,2560,3408,3132,2631,1752,2340,2428,1384,2552,2386,2712,2990,3004,1500,3128,2733,1116,1350,1696,1632,2148,2147,2320,2220,2508,2464,2704,2778,700,645,832,1028,772,1773,1516,1570,1728,1936,1272,2527,240,280,344,436,636,832,724,830,880,1264,1348,1518,96,65,100,140,204,187,192,285,344,424,556,461,0,10,16,16,32,72,52,60,72,84,152,266
246,9853,12137,12697,14860,15193,14228,10376,10493,12996,14315,13599,14437,9472,13096,16123,16567,15868,16059,10222,13424,13784,15366,15060,15204,8758,13121,15361,16806,14887,15830,9345,13010,15692,15713,15705,15896,9611,10269,13997,15374,16138,14718,8929,10031,12494,15228,15416,14635,8279,8940,10985,13475,12363,12163,7741,8317,10671,10639,11401,11360,7426,10517,13426,13932,14128,12761,7645,10477,13759,14752,14500,12874,8568,11197,16464,14530,15220,14075,8565,11092,16708,15534,16590,14774,9153,10372,14731,17279,15645,16069,8667,10397,13796,15458,15701,15957,9297,10862,11258,15776,15744,16900,7437,10808,11090,16798,15431,15658,7430,10333,11123,12611,16950,16219,9094,9365,11207,12826,16849,16125,7249,8890,10535,11690,16778,15666,7139,8987,10668,11247,15229,17000,8339,7019,9199,10467,11064,17919,8670,5991,9050,11043,11367,16068,7175,7331,7749,9014,10622,14488,8321,8048,8275,9252,10208,15007,5853,6660,6219,8597,8389,10206,7484,8427,6930,9492,10058,10676,4091,4878,5639,4910,8884,10106,6855,7621,8314,6515,9496,9787,2842,3257,3734,5094,6896,8318,4997,5760,6797,7118,9223,9349,1509,1571,2213,3153,2827,5997,3435,4293,5020,6304,5139,9204,1048,1195,1532,2076,2014,3135,1649,2281,2706,3434,5054,7199,240,420,492,476,969,1137,928,1245,1828,2300,2374,2251,56,50,48,116,146,295,156,310,324,560,909,1551
196,2696,2415,2476,2436,3092,3372,2640,2285,2296,2664,2768,3442,2640,2605,2616,2764,3348,4049,2504,2430,2532,2724,3032,3697,2684,2765,3092,3042,3384,4353,2572,2635,2988,2777,3304,3883,2872,2430,3100,3273,3356,3891,2696,2195,2772,3116,2861,3422,2240,2250,2588,2768,2540,2679,1992,2195,2376,2524,2052,2483,1660,2570,2680,2805,3237,2936,1604,2295,2652,2880,3224,3057,2096,1655,3048,3064,3784,3272,1900,1725,2932,3072,3964,3458,2096,1970,2528,3545,3960,4417,2208,1870,2604,3416,4000,4688,2156,2135,2232,3504,3872,4666,2288,2060,2096,3732,3884,5035,1920,2115,2384,2376,3914,4567,1796,2315,2304,2356,4024,3906,1412,2310,2316,2372,3469,4440,1416,2710,2500,2396,3716,4631,1792,1415,2396,2580,2628,4687,2200,1510,2592,2792,2908,4850,1880,2005,2004,2960,3084,4515,2204,2230,2280,3400,3344,4236,1612,2010,1764,2856,3064,3330,2084,2360,2012,3384,3652,3798,1040,1580,1684,1408,2780,3204,1848,2185,2464,1652,3588,3778,716,1025,1188,1480,2328,2739,1296,1695,1880,2276,2900,3592,420,520,664,1024,840,2070,972,1045,1476,1780,1376,3083,156,220,240,360,524,1030,492,555,664,1016,1376,2052,36,85,60,128,208,203,152,145,284,388,608,561,4,5,12,16,24,68,28,25,44,80,176,308
PROJSCOT_HG,1752,1460,1884,1576,1812,2223,1560,1430,1752,1704,1676,2013,1784,1570,2108,1764,1800,2031,1872,1690,2032,1876,1628,2082,2068,1925,2276,1868,1849,2051,2028,1775,1984,1709,1820,1884,2028,1760,2000,2084,1766,1522,1796,1735,1812,1875,1657,1588,1400,1655,1816,1666,1285,1243,1284,1325,1792,1516,1208,1311,848,1315,2156,1612,1808,1670,752,1225,1912,1808,1864,1744,1112,995,2088,2236,1784,1986,1028,810,1900,1920,2000,1961,1432,1030,1560,2036,2040,2330,1460,1115,1404,1912,1992,2502,1452,1225,1180,1824,2224,2283,1488,1290,1104,1612,1940,2219,1420,1480,1440,1244,1892,2159,1296,1390,1288,1204,1824,2161,936,1650,1600,1184,1740,2020,976,1675,1496,1128,1768,2121,1468,755,1460,1444,1176,2177,1408,830,1552,1476,1240,2127,1392,1350,1244,1460,1316,1942,1336,1475,1296,1384,1172,1872,1212,1255,936,1568,1312,1092,1512,1500,1124,1732,1368,1273,756,1070,1060,660,1144,1102,1268,1205,1288,792,1392,1099,440,745,760,808,1044,957,1016,1130,1180,1100,1428,1088,308,295,436,456,344,640,616,550,700,860,540,1171,160,120,124,192,316,368,272,415,364,448,596,751,40,35,28,76,72,95,96,75,128,152,272,294,0,10,0,4,8,24,0,15,44,52,48,76
SMER,1172,1150,1328,1256,1189,1473,1000,1130,1288,1236,997,1531,1240,1440,1412,1364,1284,1530,1208,1335,1540,1304,1250,1536,1248,1500,1548,1312,1285,1507,1312,1365,1436,1492,1334,1324,1284,1275,1516,1702,1400,1361,1128,1160,1252,1484,1199,1234,976,1035,1144,1159,1138,1033,724,1070,1136,1280,995,999,552,1110,1292,1352,1274,1179,556,1070,1364,1356,1200,1154,848,830,1700,1512,1377,1514,848,775,1520,1452,1380,1577,900,820,1184,1580,1574,1693,884,745,1060,1512,1631,1736,900,1095,792,1452,1427,1688,992,1020,752,1300,1421,1722,892,950,1112,964,1568,1686,908,1010,916,908,1588,1600,732,1085,944,872,1537,1434,676,1055,1092,812,1446,1626,988,505,980,1056,950,1643,948,480,1092,1044,911,1684,904,920,788,996,880,1451,1044,935,864,1092,928,1412,880,835,684,904,980,1095,868,990,696,1136,1033,986,572,680,700,460,888,783,856,920,892,568,922,806,376,400,492,488,546,635,620,725,688,692,779,901,244,235,280,364,222,466,444,470,536,656,467,721,104,50,88,164,180,192,184,240,252,404,424,548,32,40,28,60,69,95,96,55,96,148,195,169,4,0,8,8,16,20,20,25,24,28,41,91
3524,480,480,576,488,540,823,372,530,436,572,528,708,424,500,636,612,568,807,452,465,612,596,476,645,380,500,728,601,596,714,508,545,608,532,644,689,420,465,508,735,544,581,408,465,540,708,552,541,284,410,320,554,473,490,260,365,388,600,404,550,176,410,504,553,648,578,200,360,460,568,696,625,312,295,596,560,769,725,308,270,660,624,660,759,364,280,524,596,668,829,384,315,468,652,640,964,388,395,360,752,620,860,320,350,368,676,672,815,272,395,376,428,700,774,252,310,292,364,636,763,156,350,296,392,496,702,184,425,272,336,508,689,292,175,276,332,364,682,336,175,336,316,400,644,264,275,248,384,340,531,288,340,264,392,360,553,220,320,212,288,368,377,260,260,228,296,336,385,144,185,216,152,280,338,224,245,272,144,288,345,80,75,148,136,172,222,144,150,164,220,300,358,44,65,72,104,76,110,112,150,152,188,144,252,28,15,24,40,52,82,76,75,116,136,176,159,0,15,4,8,20,17,24,35,28,64,120,90,8,0,0,8,4,0,0,0,4,4,16,48
247,428,350,212,276,226,314,432,325,292,240,280,293,448,325,276,360,264,365,380,410,384,256,300,340,424,490,320,228,324,318,404,480,340,288,315,326,368,540,420,325,321,325,376,350,464,345,232,243,364,310,356,288,258,248,276,310,320,308,216,185,236,285,348,364,321,331,256,305,292,396,250,285,288,230,396,448,301,340,308,190,312,328,323,357,348,320,252,340,376,397,336,375,232,332,445,428,400,400,268,416,421,400,368,370,268,324,416,414,308,380,336,312,440,451,232,390,376,264,384,480,212,445,384,276,386,582,308,415,360,408,379,487,392,210,448,408,390,545,468,280,528,440,439,580,416,375,376,492,404,652,328,415,420,508,460,562,396,430,304,472,508,436,464,365,368,556,502,453,220,290,308,236,390,488,344,370,448,288,472,472,192,225,264,244,361,329,208,340,396,372,431,519,88,110,100,200,94,276,120,160,228,232,215,396,40,35,52,72,130,157,124,125,132,160,223,303,12,15,24,28,43,54,16,25,44,88,105,96,0,0,4,4,5,20,4,15,8,28,32,55
3493,232,195,116,152,228,245,164,165,200,184,144,307,244,190,132,184,184,300,196,210,160,164,176,257,128,185,188,176,192,277,208,165,180,184,184,233,204,240,180,224,184,203,96,195,144,172,157,203,152,285,156,288,156,142,136,140,128,184,128,167,100,205,196,164,274,223,132,205,224,184,252,259,188,150,172,272,185,366,136,95,148,176,224,263,192,125,200,208,296,361,172,120,148,244,280,428,152,105,116,236,268,324,160,125,104,188,264,266,104,145,176,96,308,312,124,160,136,96,216,285,112,195,148,152,232,235,100,240,144,152,196,280,164,120,140,180,176,441,168,120,124,196,236,395,104,145,148,176,252,363,116,165,160,220,240,380,168,145,136,180,200,281,156,150,176,208,196,257,104,145,144,124,172,215,128,175,180,140,212,263,44,90,68,92,108,181,136,125,104,120,192,246,36,15,48,88,68,141,56,65,80,116,92,188,16,20,20,20,40,63,28,55,60,32,80,107,0,5,4,4,12,11,4,5,12,12,28,28,0,0,0,0,0,4,0,0,0,8,16,20
