"Evolution de la Taxe foncière sur le non bâti"												
"Année"	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
"Taux en %"	13,08	13,25	13,25	13,51	13,71	13,92	13,92	14,13	14,13	14,13	14,13	15,12
