cell1,total
NAME,FRANCE_PROVENANCE_MEDOC
Ile-de-France,303
Aquitaine,111
Poitou-Charentes,88
Provence-Alpes-Côte d'Azur,73
Midi-Pyrénées,68
Centre,58
Picardie,47
Nord-Pas-de-Calais,44
Haute-Normandie,40
Champagne Ardenne,37
