REGIONS;FPH;;;FPT;;;Total;;
;Hom.;Fem.;Tot.;Hom.;Fem.;Tot.;Hom.;Fem.;Tot.
ALSACE;4 664;27 080;31 744;14 759;15 924;30 683;19 423;43 004;62 427
AQUITAINE;8 756;36 843;45 599;35 270;44 539;79 809;44 026;81 382;125 408
AUVERGNE;4 133;19 872;24 005;14 320;16 611;30 931;18 453;36 483;54 936
BASSE-NORMANDIE;4 294;19 765;24 059;13 434;16 633;30 067;17 728;36 398;54 126
BOURGOGNE;4 943;24 480;29 423;14 495;18 804;33 299;19 438;43 284;62 722
BRETAGNE;8 905;39 530;48 435;28 657;41 035;69 692;37 562;80 565;118 127
CENTRE;6 467;35 246;41 713;22 981;31 064;54 045;29 448;66 310;95 758
CHAMPAGNE-ARDENNES;3 463;17 784;21 247;10 725;14 055;24 780;14 188;31 839;46 027
CORSE;1 100;3 096;4 196;5 564;4 735;10 299;6 664;7 831;14 495
FRANCHE-COMTE;2 940;16 920;19 860;10 044;12 412;22 456;12 984;29 332;42 316
HAUTE-NORMANDIE;4 885;24 490;29 375;16 695;23 221;39 916;21 580;47 711;69 291
ILE-DE-FRANCE;33 483;130 129;163 612;114 937;194 116;309 053;148 420;324 245;472 665
LANGUEDOC-ROUSSILLON;7 353;26 672;34 025;31 983;38 102;70 085;39 336;64 774;104 110
LIMOUSIN;3 180;13 582;16 762;8 552;9 937;18 489;11 732;23 519;35 251
LORRAINE;6 394;30 054;36 448;18 527;22 241;40 768;24 921;52 295;77 216
MIDI-PYRENEES;7 357;31 933;39 290;32 217;41 488;73 705;39 574;73 421;112 995
NORD-PAS-DE-CALAIS;12 900;45 490;58 390;39 749;48 412;88 161;52 649;93 902;146 551
PAYS-DE-LA-LOIRE;8 088;41 908;49 996;31 098;42 982;74 080;39 186;84 890;124 076
PICARDIE;5 806;26 015;31 821;15 672;18 929;34 601;21 478;44 944;66 422
POITOU-CHARENTES;4 573;21 767;26 340;18 209;23 805;42 014;22 782;45 572;68 354
PROVENCE-ALPES-COTE-D_AZUR;13 365;51 059;64 424;60 015;78 722;138 737;73 380;129 781;203 161
RHONE-ALPES;15 192;74 124;89 316;56 108;76 679;132 787;71 300;150 803;222 103
GUADELOUPE;1 351;3 697;5 048;5 226;6 824;12 050;6 577;10 521;17 098
GUYANE;643;1 838;2 481;2 350;2 717;5 067;2 993;4 555;7 548
MARTINIQUE;1 515;4 353;5 868;4 754;6 150;10 904;6 269;10 503;16 772
REUNION;1 994;4 931;6 925;7 355;5 859;13 214;9 349;10 790;20 139
ST PIERRE ET MIQUELON;49;147;196;145;127;272;194;274;468
MAYOTTE;551;988;1 539;2 401;1 768;4 169;2 952;2 756;5 708
ST BARTHELEMY;12;34;46;0;0;0;12;34;46
ST MARTIN;66;303;369;355;572;927;421;875;1 296
;178 422;774 130;952 552;636 597;858 463;1 495 060;815 019;1 632 593;2 447 612
