FID,ID,CODE_06,CODE_12,CHANGE,AREA_HA,LIBCODE12,GlobalID,SHAPE_Length,SHAPE_Area
16,FR-3307,211,112,211-112,5.70914447921,Terres arables hors périmètres d'irrigation,{D0EFAC3B-E235-4EE5-98D5-8EF71DCB2434},1039.30984561708,57091.4450751826
17,FR-4780,211,122,211-122,36.6137630852,Terres arables hors périmètres d'irrigation,{0FF1B343-8852-477B-B045-0E27DEFD2445},4939.28323603518,366137.630853829
18,FR-2477,133,122,133-122,11.2122981821,Chantiers,{F06448BC-F50E-4D2B-8F12-0D520ECC976B},1479.43785571524,112122.981823358
19,FR-2476,133,122,133-122,8.27969480511,Chantiers,{35B9110E-8E52-4582-B624-820FD79FA9DD},1191.15679078098,82796.9464103095
20,FR-2475,133,122,133-122,20.937278997,Chantiers,{41626CF2-AE83-44E3-9756-5E54D6A2B244},2623.24841700036,209372.793962827
21,FR-5020,211,131,211-131,5.69465903389,Terres arables hors périmètres d'irrigation,{688E41CD-7935-4AEB-99E2-12E5A61CAFFA},974.752566066856,56946.5942169772
22,FR-4779,211,122,211-122,10.192234568,Terres arables hors périmètres d'irrigation,{46103E9D-0F00-486E-8499-BD7C0FFF0AF7},1415.66813176564,101922.345679059
23,FR-11395,243,112,243-112,5.48084746075,"Surfaces essentiellement agricoles, interrompues par des espaces naturels importants",{7592A3A1-82BD-4F66-A1D8-0A19E89E57DD},1029.94255927338,54808.4731019366
24,FR-24963,324,311,324-311,10.9975628297,Forêt et végétation arbustive en mutation,{A948EF67-BD25-44A5-9295-565F52B9D3C7},1562.56527688155,109975.619554209
25,FR-24961,324,311,324-311,5.29271228144,Forêt et végétation arbustive en mutation,{67BC7A20-EEE7-4555-8F95-E08BD03A6A61},922.559620043792,52927.1223532153
26,FR-2474,133,122,133-122,9.77527031209,Chantiers,{E9BE315B-ED20-4F34-B41D-02FA2F89106E},1420.94802079251,97752.7031209964
27,FR-21814,312,324,312-324,19.1952148256,Forêts de conifères,{9EBD589C-9809-4A16-B6A2-F4C24AB1848B},1939.23037487091,191952.132427283
28,FR-4283,211,121,211-121,6.17671331638,Terres arables hors périmètres d'irrigation,{CF31BABB-F67F-4BF9-8184-19687F28C59A},1193.65461106794,61767.1331632188
