Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Emploi et Travail",40460,78714,1.95,387.52
"Etat et collectivites territoriales",35714,87752,2.46,432.58
Economie,26155,55527,2.12,447.17
"Jeunesse et Education",24094,45374,1.88,444.58
"Sante et Affaires sociales",23149,49075,2.12,461.76
"Societe et Politique de la ville",20045,40367,2.01,491.78
"Agriculture et Developpement durable",9134,22242,2.44,461.49
"Securite et Justice",8490,23965,2.82,447.89
"Europe et Monde",1196,7301,6.10,421.10
