COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,ObjectId
COURTRY,21770139000015,2019-00039,2019/07/01,9.1,Autres domaines de de compétence des communes,Convention avec la commune de Le Pin pour l acces des enfants aux accueils de loisirs de Courtry,2019,,PREF077,2019/07/02,29,27,27,,,,1
COURTRY,21770139000015,2018-00001,2018/02/12,7.1,Finances locales/Décisions budgétaires,Débat d'Orientation Budgétaire 2018,2018,,PREF077,2018/02/13,29,29,28,,1,,2
COURTRY,21770139000015,2019-00040,2019/07/01,9.1,Autres domaines de de compétence des communes,Modification des reglements interieurs des accueils de loisirs,,,PREF077,2019/07/02,29,27,27,,,,3
COURTRY,21770139000015,2018-00002,2018/02/12,3.5.3,Domaine et patrimoine,Signature d'un contrat de bail avec Bouygues Télécom portant sur la mise à disposition d'un emplacement au 1 rue de la Régale pour l'implantation d'une station radioélectrique et de ses équipements,,,PREF077,2018/02/15,29,29,24,5,,,4
COURTRY,21770139000015,2019-00041,2019/07/01,5.6.2,Exercice des mandats locaux,Mandat a accorder au Maire pour sa participation au sejour en Hollande,2019,,PREF077,2019/07/02,29,27,23,,4,,5
COURTRY,21770139000015,2019-00042,2019/07/01,8.1.2,Domaines de compétence par thèmes,Prise en charge des frais de fonctionnement des ecoles publiques maternelles et elementaires pour l annee scolaire 2019 2020,2019,,PREF077,2019/07/02,29,27,27,,,,6
COURTRY,21770139000015,2018-00003,2018/02/12,5.7.7,Institutions et vie politique,Signature d une convention de partenariat entre la CAPVM et la commune de Courtry pour la mise a disposition d informations geographiques et urbaines,,,PREF077,2018/02/13,29,29,29,,,,7
COURTRY,21770139000015,2018-00004,2018/02/12,1.4.1,Commande publique,Convention financiere entre la ville de Courtry et la communaute d agglomeration Paris Vallee de la Marne relative aux prestations de nettoiement et de salage des voies communautaires situees dans la ZAE de la Regale ,2018,,PREF077,2018/02/13,29,29,29,,,,8
COURTRY,21770139000015,2019-00043,2019/07/01,7.1.2.2,Finances locales,Aide financiere exceptionnelle en faveur d une athlete pratiquant l Ultimate frisbee Decision Modificative numero 2,2019,,PREF077,2019/07/02,29,27,27,,,,9
COURTRY,21770139000015,2019-00044,2019/07/01,1.1.4.2,Commande publique,Marche public de fourniture de denrees alimentaires pour les restaurants scolaires de la commune avenant numero 1 au lot numero 4 viandes fraiches porc et charcuterie ,2019,,PREF077,2019/07/02,29,27,27,,,,10
