X,Y,OBJECTID,ID_PAV,TOURNEE,ADRESSE,D_COMMUNE,DATE_AMENAG,JOUR,VERRE,PAPIER,TEXTILE,TYPE_TEXTILE,CARTO_SMARTPHONE,NOM,CODE_ICONE
799982.007399999,6874530.411,1,01,54,Avenue de Valmy (Maison des Syndicats),Châlons-en-Champagne,2006,Mercredi,1,1,0,-,Oui,01,110
801321.735600002,6874164.3592,2,02,35,Rue de Ceux de la Libération / Avenue de Metz,Châlons-en-Champagne,2006,Mardi,1,1,0,-,Oui,02,110
801326.838500001,6872451.3168,3,03,24,Capitole en Champagne,Châlons-en-Champagne,NR,Lundi,1,0,0,-,Oui,03,100
800343.516400002,6872377.7033,4,04,10,Cente Commercial du Verbeau / Rue Georges Barbier,Châlons-en-Champagne,2005,Lundi,1,1,1,-,Oui,04,111
800674.536700003,6872191.7834,5,05,11,Boulevard Kennedy / Fosse aux Brebis,Châlons-en-Champagne,2005,Lundi,1,1,1,-,Oui,05,111
801018.676299997,6871976.5723,6,06,12,Rue Duclos / Rue Colluel,Châlons-en-Champagne,2006,Lundi,1,1,0,-,Oui,06,110
801047.2962,6871665.0167,7,07,13,Rue du Groupe Libération Nord,Châlons-en-Champagne,2005,Lundi,1,1,1,Le Relais,Oui,07,111
801484.298500001,6871345.1233,8,08,14,Rue Edouart Manet,Châlons-en-Champagne,2006,Lundi,1,1,1,ABI 51,Oui,08,111
801961.504199997,6871853.8712,9,09,,Rue Paul Verlaine (à côté arrêt de bus),Châlons-en-Champagne,NR,,0,0,0,-,Oui,09,000
799552.236299999,6873315.2714,10,10,8,Grand Jard (Kiosque),Châlons-en-Champagne,NR,Lundi,1,0,0,-,Oui,10,100
803149.511200003,6869644.4431,11,11,17,Rue du Thermot,Sarry,NR,Lundi,1,1,0,-,Non,11,110
802217.781099997,6871596.2652,12,12,20,Chemin de St Thiebault,Châlons-en-Champagne,NR,Lundi,1,1,0,-,Oui,12,110
801669.908600003,6871817.4597,13,13,21,Rue de la Trussonnerie,Châlons-en-Champagne,2006,Lundi,1,1,0,-,Oui,13,110
