"Ville","2003/04","2004/05","2005/06","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/2013","moyenne par classe"
"Brocas",90,86,71,70,72,64,79,68,74,76,"24,7"
"RPI Sud",155,165,169,172,187,187,191,181,198,190,"23,8"
